,2015-12-31,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,"1,432",-,981,-,-,"4,777","7,030","5,631","4,879","4,765","3,723","3,073","3,138","2,808","3,249","3,010","4,132","4,061","4,132","4,382","3,913","3,926","3,853","3,191","2,928","2,851","2,488","2,415","2,805","3,201","2,646"
Cash & Cash Equivalents,"1,432",0,981,0,0,"4,777","7,030","5,631","4,879","4,765","3,723","3,073","3,138","2,808","3,249","3,010","4,132","4,061","4,132","4,382","3,913","3,926","3,853","3,191","2,928","2,851","2,488","2,415","2,805","3,201","2,646"
Cash Growth,-,-,-,-,-,-,616.62%,-,-,-0.25%,-47.04%,-45.43%,-35.68%,-41.07%,-12.73%,-2.05%,31.68%,44.62%,27.18%,45.58%,-5.30%,-3.32%,-6.75%,-27.18%,-25.17%,-27.38%,-35.43%,-24.32%,-4.20%,12.28%,6.35%
Receivables,"2,818",-,"2,563",-,-,"5,194","6,015","5,865","6,038","5,809","5,969","6,319","6,310","6,165","6,416","6,148","5,636","5,647","5,622","5,263","5,407","5,326","5,651","5,738","5,572","5,583","5,958","6,291","6,418","6,505","7,075"
Inventory,"3,671",-,"3,224",-,-,"5,309","4,507","4,696","4,675","4,681","4,620","4,871","4,807","4,739","4,608","4,534","4,616","4,469","4,421","4,181","4,212","4,110","3,979","4,151","4,052","4,111","4,587","4,786","4,957","4,964","5,094"
Other Current Assets,488,-,633,-,-,"1,301",872,862,850,863,659,649,730,"1,057",949,961,"1,118","1,031","2,280","1,960","1,980","1,525","1,582","1,627","1,647","1,790","1,559","1,894","1,626","1,491","1,486"
Total Current Assets,"8,409",-,"7,401",-,-,"16,581","18,424","17,054","16,442","16,118","14,971","14,912","14,985","14,769","15,222","14,653","15,502","15,208","16,455","15,786","15,512","14,887","15,065","14,707","14,199","14,335","14,592","15,386","15,806","16,161","16,301"
"Property, Plant & Equipment","2,554",-,"2,325",-,-,"6,255","6,959","6,593","6,335","6,226","6,228","6,218","6,130","6,141","6,240","5,997","5,710","5,536","5,358","5,163","5,086","4,982","4,877","4,804","4,531","4,381","4,538","4,513","4,723","4,768","4,893"
Goodwill and Intangibles,"9,543",-,"9,129",-,-,"27,221","26,285","26,638","26,731","26,621","26,436","26,425","26,215","26,085","26,071","10,454","10,284","10,300","10,374","10,197","10,254","10,166","10,090","10,107","9,790","9,415","10,110","10,039","10,198","10,152","10,230"
Other Long-Term Assets,"2,627",-,"2,866",-,-,"4,753","4,832","4,936","4,582","4,635","4,804","5,574","5,546","5,554","5,836","6,125","6,027","6,295","5,820","5,690","5,817","5,737","5,276","5,376","5,233","5,034","4,941","5,104","5,366","5,469","5,521"
