,2014-02-28,2014-05-31,2014-08-31,2014-11-30,2015-02-28,2015-05-31,2015-08-31,2015-11-30,2016-02-29,2016-05-31,2016-08-31,2016-11-30,2017-02-28,2017-05-31,2017-08-31,2017-11-30,2018-02-28,2018-05-31,2018-08-31,2018-11-30,2019-02-28,2019-05-31,2019-08-31,2019-11-30,2020-02-29,2020-05-31,2020-08-31,2020-11-30,2021-02-28,2021-05-31,2021-08-31,2021-11-30,2022-02-28,2022-05-31,2022-08-31,2022-11-30,2023-02-28,2023-05-31,2023-08-31,2023-11-30,Current
Market Capitalization,"32,043","32,358","30,621","35,711","35,577","37,506","39,857","40,756","38,090","37,170","36,679","38,766","42,067","48,101","52,113","49,040","49,749","46,192","45,306","43,721","41,506","36,702","31,578","32,121","23,762","11,181","12,908","18,047","29,861","34,218","27,953","20,541","23,814","16,315","11,168","12,897","13,802","14,631","20,662","19,672","18,547"
Market Cap Growth,10.90%,21.06%,5.13%,22.45%,11.03%,15.91%,30.16%,14.13%,7.06%,-0.90%,-7.97%,-4.88%,10.44%,29.41%,42.08%,26.50%,18.26%,-3.97%,-13.06%,-10.85%,-16.57%,-20.54%,-30.30%,-26.53%,-42.75%,-69.54%,-59.12%,-43.82%,25.67%,206.03%,116.56%,13.82%,-20.25%,-52.32%,-60.05%,-37.21%,-42.04%,-10.32%,85.02%,52.53%,-
Enterprise Value,"41,232","41,451","39,052","44,468","44,436","45,477","47,178","48,148","46,380","46,080","45,610","47,562","50,722","56,922","60,794","57,840","58,855","54,996","54,397","53,062","52,443","46,674","41,163","43,105","36,826","26,550","31,074","36,914","51,076","57,181","52,799","45,995","53,114","45,504","39,382","42,761","44,772","45,224","50,431","49,137","48,012"
PE Ratio,32.11,30.67,22.48,29.37,27.69,26.62,28.80,23.20,20.59,16.65,15.03,13.95,14.07,17.41,19.53,18.82,18.81,16.34,14.14,13.87,13.40,12.29,10.32,10.74,12.69,-3.79,-1.70,-1.76,-2.61,-3.75,-3.07,-2.16,-2.53,-1.78,-1.57,-2.12,-2.82,-4.22,-12.72,-265.84,-265.84
PS Ratio,2.07,2.07,1.94,2.25,2.25,2.38,2.54,2.59,2.40,2.33,2.27,2.37,2.55,2.87,3.03,2.80,2.77,2.52,2.42,2.32,2.15,1.85,1.54,1.54,1.14,0.66,1.25,3.23,35.93,242.68,42.61,10.77,6.79,2.79,1.16,1.06,0.92,0.84,1.03,0.91,0.86
PB Ratio,1.31,1.33,1.22,1.48,1.52,1.61,1.64,1.72,1.68,1.63,1.60,1.72,1.86,2.10,2.16,2.03,2.04,1.93,1.84,1.79,1.71,1.52,1.25,1.27,0.98,0.54,0.66,0.88,1.51,1.91,1.88,1.69,2.31,1.98,1.33,1.83,2.24,2.50,2.97,2.86,2.69
P/FCF Ratio,49.22,33.64,23.63,40.17,59.89,26.17,24.62,18.11,13.18,18.09,17.67,18.48,19.57,20.43,21.83,20.62,21.19,19.44,19.61,19.97,60.50,27.09,25.55,446.13,26.37,-3.37,-1.80,-1.88,-2.36,-3.10,-2.85,-2.79,-2.97,-2.32,-1.83,-1.97,-4.21,-6.78,-75.69,14.71,13.87
P/OCF Ratio,11.00,10.96,9.37,10.41,9.55,9.28,9.48,8.97,8.33,7.52,7.21,7.55,7.99,9.07,9.79,9.21,9.12,8.31,8.30,7.88,7.41,6.52,5.71,5.87,4.50,22.27,-3.60,-2.86,-3.42,-4.65,-5.18,-5.00,-6.24,-6.64,-5.81,-7.72,-197.17,13.75,6.37,4.60,4.33
Debt / Equity Ratio,0.39,0.39,0.35,0.38,0.39,0.36,0.32,0.37,0.40,0.41,0.41,0.42,0.40,0.41,0.38,0.38,0.39,0.41,0.39,0.42,0.48,0.46,0.42,0.45,0.59,1.07,1.35,1.38,1.65,1.80,2.20,2.85,3.51,4.41,4.21,5.08,5.91,5.98,4.69,4.63,4.63
Quick Ratio,0.14,0.13,0.13,0.12,0.10,0.11,0.15,0.24,0.18,0.12,0.12,0.13,0.10,0.10,0.10,0.08,0.09,0.15,0.11,0.15,0.11,0.15,0.18,0.11,0.16,0.63,0.84,1.13,1.36,1.08,0.85,0.90,0.66,0.57,0.57,0.60,0.54,0.42,0.30,0.26,0.26
Current Ratio,0.25,0.22,0.23,0.22,0.19,0.19,0.24,0.35,0.28,0.20,0.22,0.24,0.21,0.20,0.21,0.18,0.19,0.25,0.22,0.24,0.22,0.27,0.30,0.23,0.27,0.69,0.91,1.22,1.45,1.17,0.94,0.97,0.74,0.64,0.65,0.71,0.64,0.52,0.43,0.46,0.46
Interest Coverage,0.74,2.38,18.99,-0.28,1.91,4.96,24.58,6.42,3.75,11.65,25.02,12.15,7.94,8.68,28.92,12.67,9.15,12.51,36.59,11.79,7.63,9.50,36.13,9.94,-13.00,-23.09,-8.23,-5.43,-3.97,-3.71,-5.84,-6.54,-4.13,-3.95,-0.80,-2.57,-0.27,0.26,3.06,0.92,0.97
Return on Capital (ROIC),Upgrade,3.73%,3.74%,4.72%,5.32%,6.01%,6.64%,7.05%,7.71%,8.49%,8.95%,9.08%,9.43%,9.30%,9.17%,8.41%,8.22%,8.25%,8.47%,9.53%,9.40%,9.02%,9.02%,9.07%,8.69%,5.44%,-5.98%,-14.73%,-18.12%,-18.42%,-14.20%,-14.39%,-15.16%,-15.17%,-15.49%,-11.77%,-10.20%,-7.18%,-3.59%,1.14%,5.08%
Dividend Yield,2.50%,2.50%,2.60%,2.30%,2.30%,2.20%,2.10%,2.20%,2.40%,2.60%,2.70%,2.60%,2.50%,2.30%,2.20%,2.40%,2.50%,2.90%,3.10%,3.20%,3.50%,3.90%,4.50%,4.40%,6.00%,9.50%,6.10%,2.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Payout Ratio,-833.30%,192.30%,15.60%,-192.30%,416.70%,86.20%,19.20%,85.70%,166.70%,43.20%,18.10%,41.70%,72.90%,76.90%,21.70%,59.20%,83.30%,63.30%,20.70%,69.40%,104.20%,76.90%,19.40%,80.60%,-43.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,-0.02%,-0.10%,-0.16%,-0.13%,-0.10%,-0.15%,-0.15%,0.26%,1.80%,3.82%,5.22%,6.51%,5.33%,3.58%,2.25%,0.92%,1.11%,1.21%,1.77%,2.94%,3.35%,3.33%,2.77%,1.74%,1.17%,0.92%,-9.33%,-26.76%,-57.19%,-62.96%,-47.84%,-29.06%,-4.93%,-1.54%,-1.95%,-11.41%,-10.95%,-10.84%,-10.64%,-0.57%,-0.57%
Total Shareholder Return,2.48%,2.40%,2.44%,2.17%,2.20%,2.05%,1.95%,2.46%,4.20%,6.42%,7.92%,9.11%,7.83%,5.88%,4.45%,3.32%,3.61%,4.11%,4.87%,6.14%,6.85%,7.23%,7.27%,6.14%,7.17%,10.42%,-3.23%,-24.26%,-57.19%,-62.96%,-47.84%,-29.06%,-4.93%,-1.54%,-1.95%,-11.41%,-10.95%,-10.84%,-10.64%,-0.57%,-0.57%
