,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"110,408","108,262","84,153","73,442","66,752","96,649","89,399","136,177","122,449","101,613","97,026"
Market Cap Growth,29.61%,-1.94%,-22.27%,-12.73%,-9.11%,44.79%,-7.50%,52.33%,-10.08%,-17.02%,-
Enterprise Value,"120,783","133,179","108,226","98,637","133,600","177,595","163,587","199,651","177,458","169,543","164,956"
PE Ratio,23.77,20.67,15.83,11.09,-112.38,14.57,12.45,17.02,28.40,12.18,11.92
PS Ratio,0.79,0.71,0.47,0.40,0.34,0.38,0.33,0.47,0.38,0.28,0.27
PB Ratio,2.91,2.91,2.29,1.95,1.15,1.51,1.29,1.81,1.71,1.33,1.27
P/FCF Ratio,18.36,17.44,10.63,12.06,9.78,9.30,6.66,8.65,9.10,9.78,9.33
P/OCF Ratio,13.57,12.68,8.30,9.17,7.53,7.52,5.63,7.46,7.57,7.57,7.23
EV/Sales Ratio,0.87,0.87,0.61,0.53,0.69,0.69,0.61,0.68,0.55,0.47,0.46
EV/EBITDA Ratio,11.83,11.53,8.88,8.36,19.81,10.82,9.57,15.30,21.89,12.28,11.95
EV/EBIT Ratio,14.59,14.08,11.14,10.58,33.18,14.76,12.93,15.30,21.89,12.28,11.95
EV/FCF Ratio,20.09,21.46,13.67,16.20,19.57,17.09,12.18,12.68,13.19,16.31,15.87
Debt / Equity Ratio,0.34,0.74,0.75,0.72,1.26,1.39,1.23,1.01,0.99,1.04,1.04
Debt / EBITDA Ratio,1.26,2.38,2.26,2.29,10.89,5.42,4.97,5.82,8.72,5.75,5.75
Debt / FCF Ratio,2.14,4.42,3.48,4.43,10.75,8.57,6.33,4.83,5.26,7.64,7.64
Quick Ratio,0.64,0.62,0.60,0.49,0.55,0.52,0.53,0.55,0.62,0.59,0.59
Current Ratio,1.37,1.26,1.18,1.02,1.03,0.94,0.91,0.89,0.95,0.86,0.86
Asset Turnover,1.90,1.84,1.90,1.98,1.31,1.17,1.16,1.26,1.40,1.45,1.45
Interest Coverage,13.80,11.29,9.01,8.78,1.54,3.97,4.35,5.21,3.54,5.19,5.19
Return on Equity (ROE),12.20%,14.10%,14.80%,18.80%,-1.40%,10.70%,10.60%,10.90%,5.90%,11.30%,11.30%
Return on Assets (ROA),6.30%,6.30%,5.70%,7.10%,-0.40%,3.00%,3.10%,3.40%,1.90%,3.40%,3.40%
Return on Capital (ROIC),10.47%,8.88%,9.94%,11.82%,-1.29%,5.78%,6.63%,6.68%,4.14%,6.60%,6.60%
Earnings Yield,4.21%,4.84%,6.32%,9.02%,-0.89%,6.86%,8.03%,5.88%,3.52%,8.21%,8.60%
FCF Yield,5.45%,5.73%,9.41%,8.29%,10.23%,10.75%,15.02%,11.56%,10.98%,10.23%,10.71%
Dividend Yield,1.10%,1.40%,2.20%,2.80%,3.10%,2.70%,2.90%,1.90%,2.40%,3.10%,3.45%
Payout Ratio,27.60%,30.00%,34.50%,30.90%,-350.90%,39.20%,36.50%,32.90%,66.90%,37.30%,41.11%
Buyback Yield / Dilution,4.65%,3.68%,4.17%,5.10%,-1.95%,-25.00%,-0.69%,-1.14%,0.45%,2.49%,2.49%
Total Shareholder Return,5.75%,5.08%,6.37%,7.90%,1.15%,-22.30%,2.21%,0.76%,2.85%,5.59%,5.94%
