,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"9,711","11,197","7,695","9,605","11,799","12,443","19,515","22,989","25,863","17,689","23,381"
Market Cap Growth,16.67%,15.30%,-31.28%,24.82%,22.85%,5.46%,56.83%,17.80%,12.51%,-31.61%,-
Enterprise Value,"8,244","9,832","6,646","8,491","10,746","11,058","18,160","21,219","24,087","16,351","21,796"
PE Ratio,15.86,30.74,16.87,18.55,16.64,17.93,20.49,23.17,23.90,18.17,22.59
PS Ratio,3.69,3.90,2.73,3.15,3.78,3.72,5.19,5.49,5.19,3.64,4.63
PB Ratio,2.65,3.29,2.30,2.81,3.06,2.99,4.07,4.17,4.23,2.85,3.68
P/FCF Ratio,16.89,24.87,37.03,15.61,22.63,16.26,33.59,24.15,36.70,32.37,21.74
P/OCF Ratio,15.41,21.42,27.44,13.61,17.86,13.53,27.94,20.25,25.55,22.44,18.28
EV/Sales Ratio,3.13,3.43,2.36,2.79,3.44,3.30,4.83,5.07,4.83,3.36,4.31
EV/EBITDA Ratio,11.26,12.28,10.30,11.71,13.72,12.03,16.61,17.25,17.69,13.31,16.50
EV/EBIT Ratio,12.61,13.59,11.72,13.30,15.42,13.43,18.39,19.23,19.96,15.35,19.00
EV/FCF Ratio,14.34,21.84,31.98,13.80,20.61,14.45,31.25,22.29,34.18,29.93,20.26
Debt / Equity Ratio,-,-,-,-,-,-,0.01,0.01,0.01,0.02,0.02
Debt / EBITDA Ratio,-,-,-,-,-,-,0.05,0.06,0.05,0.09,0.08
Debt / FCF Ratio,-,-,-,-,-,-,0.08,0.08,0.10,0.21,0.10
Quick Ratio,2.24,1.87,1.82,2.10,2.08,2.12,2.04,2.32,1.86,1.74,1.82
Current Ratio,2.87,2.43,2.55,2.89,2.96,2.89,2.95,3.15,2.94,3.26,3.13
Asset Turnover,0.56,0.61,0.63,0.68,0.65,0.66,0.66,0.65,0.67,0.63,0.65
Return on Equity (ROE),17.20%,10.50%,13.80%,15.40%,19.30%,17.50%,21.60%,19.60%,18.60%,16.10%,16.60%
Return on Assets (ROA),13.00%,7.70%,10.20%,11.50%,14.80%,13.70%,16.80%,15.40%,14.50%,12.60%,13.30%
Return on Capital (ROIC),14.70%,10.21%,13.22%,15.01%,18.05%,15.76%,18.84%,16.95%,17.67%,14.87%,14.31%
Earnings Yield,6.31%,3.25%,5.93%,5.39%,6.01%,5.58%,4.88%,4.32%,4.18%,5.50%,4.45%
FCF Yield,5.92%,4.02%,2.70%,6.41%,4.42%,6.15%,2.98%,4.14%,2.73%,3.09%,4.60%
Dividend Yield,3.90%,3.50%,5.40%,4.20%,3.40%,3.30%,2.30%,2.00%,1.90%,3.10%,2.39%
Payout Ratio,57.50%,100.00%,84.10%,74.50%,54.10%,57.10%,44.70%,46.20%,46.50%,56.50%,53.97%
Buyback Yield / Dilution,-,-,-,4.81%,-,-,-,3.45%,-0.57%,0.34%,0.64%
Total Shareholder Return,3.90%,3.50%,5.40%,9.01%,3.40%,3.30%,2.30%,5.45%,1.33%,3.44%,3.03%
