,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"90,424","116,056","117,980","149,100","205,628","191,418","301,311","565,490","623,937","386,311","530,723"
Market Cap Growth,1.66%,28.35%,1.66%,26.38%,37.91%,-6.91%,57.41%,87.68%,10.34%,-38.08%,-
Enterprise Value,"89,802","110,074","107,071","135,915","188,759","172,853","286,833","549,940","607,474","362,908","511,226"
PE Ratio,14.68,14.47,12.82,14.49,17.70,16.13,25.62,31.11,29.18,11.94,24.55
PS Ratio,4.52,4.83,4.60,5.07,6.25,5.68,8.48,11.87,10.89,5.24,7.92
PB Ratio,3.18,3.60,3.25,3.54,4.09,3.53,5.62,8.66,8.04,4.03,4.97
P/FCF Ratio,36.29,22.57,12.36,18.71,19.21,19.27,43.80,43.81,48.60,19.27,48.87
P/OCF Ratio,7.46,8.15,6.80,8.21,9.41,9.46,13.59,18.18,14.45,6.99,11.42
EV/Sales Ratio,4.49,4.58,4.18,4.62,5.74,5.13,8.07,11.54,10.60,4.92,7.63
EV/EBITDA Ratio,7.15,6.90,6.12,7.15,8.50,7.63,12.70,16.83,15.43,7.00,10.42
EV/EBIT Ratio,12.26,11.43,9.96,11.26,14.03,13.21,21.97,26.35,25.19,9.64,15.29
EV/FCF Ratio,36.04,21.40,11.22,17.05,17.64,17.40,41.70,42.61,47.31,18.10,47.07
Debt / Equity Ratio,0.27,0.25,0.19,0.16,0.10,0.09,0.10,0.20,0.35,0.30,0.29
Debt / EBITDA Ratio,0.61,0.50,0.40,0.34,0.24,0.21,0.23,0.40,0.69,0.55,0.63
Debt / FCF Ratio,3.05,1.54,0.74,0.82,0.49,0.48,0.77,1.01,2.11,1.41,2.84
Quick Ratio,1.68,2.47,2.82,2.20,2.01,2.36,1.23,1.50,1.85,1.93,1.86
Current Ratio,1.89,2.79,3.11,2.35,2.22,2.67,1.38,1.73,2.12,2.17,2.15
Asset Turnover,0.51,0.56,0.53,0.53,0.50,0.51,0.49,0.53,0.49,0.51,0.42
Interest Coverage,82.64,94.38,110.86,117.70,119.94,131.27,120.90,281.80,123.37,98.34,84.43
Return on Equity (ROE),23.30%,27.10%,26.70%,25.90%,24.10%,22.90%,21.80%,29.10%,29.10%,37.80%,27.80%
Return on Assets (ROA),15.80%,18.50%,18.90%,18.60%,17.80%,17.80%,16.00%,20.10%,18.10%,22.10%,16.90%
Return on Capital (ROIC),16.63%,19.56%,19.40%,20.70%,20.36%,19.41%,19.10%,22.51%,20.05%,25.52%,19.24%
Earnings Yield,6.81%,6.91%,7.80%,6.90%,5.65%,6.20%,3.90%,3.21%,3.43%,8.37%,5.09%
FCF Yield,2.76%,4.43%,8.09%,5.35%,5.20%,5.19%,2.28%,2.28%,2.06%,5.19%,2.05%
Dividend Yield,2.30%,1.80%,2.60%,3.20%,2.30%,3.60%,3.50%,1.60%,1.60%,2.50%,1.39%
Payout Ratio,33.70%,25.90%,32.80%,46.80%,41.40%,58.80%,88.50%,48.70%,45.90%,29.80%,32.87%
Buyback Yield / Dilution,-0.01%,-0.02%,-0.00%,-0.00%,-,-,-,-,-,-,-0.01%
Total Shareholder Return,2.29%,1.78%,2.60%,3.20%,2.30%,3.60%,3.50%,1.60%,1.60%,2.50%,1.39%
