,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"40,129","45,670","45,052","50,097","55,154","46,542","46,414","37,608","47,964","36,793","42,414"
Market Cap Growth,33.62%,13.81%,-1.35%,11.20%,10.09%,-15.61%,-0.27%,-18.97%,27.54%,-23.29%,-
Enterprise Value,"-75,719","-44,958","-52,762","7,354","-4,472","7,114","-24,809","-90,080","-38,948","-33,871","-38,204"
PE Ratio,19.67,18.31,14.76,14.63,14.09,11.36,10.87,10.99,13.50,15.58,13.79
PS Ratio,2.69,2.91,2.97,3.29,3.55,2.84,2.82,2.38,3.01,2.25,2.48
PB Ratio,1.07,1.22,1.18,1.29,1.34,1.15,1.12,0.82,1.12,0.90,1.04
P/FCF Ratio,-32.08,10.68,12.78,9.10,15.89,9.48,-41.66,9.86,28.95,2.67,4.42
P/OCF Ratio,-62.51,10.19,10.92,7.99,11.82,7.76,483.48,7.46,16.90,2.44,3.89
EV/Sales Ratio,-5.08,-2.87,-3.47,0.48,-0.29,0.43,-1.51,-5.70,-2.44,-2.07,-2.77
EV/EBITDA Ratio,-14.89,-9.42,-9.37,1.18,-0.74,1.09,-3.61,-14.79,-5.99,-6.81,-7.85
EV/EBIT Ratio,-20.49,-12.92,-12.65,1.56,-0.98,1.37,-4.46,-20.20,-8.40,-10.14,-10.45
EV/FCF Ratio,60.53,-10.51,-14.96,1.34,-1.29,1.45,22.27,-23.61,-23.51,-2.46,-4.94
Debt / Equity Ratio,0.81,0.87,0.97,0.91,1.19,1.20,1.05,0.82,0.89,1.06,1.09
Debt / EBITDA Ratio,5.95,6.82,6.59,5.65,8.13,7.42,6.32,6.18,5.88,8.68,7.40
Debt / FCF Ratio,-24.20,7.60,10.51,6.39,14.19,9.89,-39.01,9.86,23.08,3.14,4.66
Asset Turnover,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04
Return on Equity (ROE),5.60%,6.60%,8.00%,8.80%,9.70%,9.90%,10.30%,7.80%,8.00%,5.80%,8.30%
Return on Assets (ROA),0.60%,0.60%,0.80%,0.90%,1.10%,1.10%,1.20%,0.80%,0.80%,0.50%,0.80%
Return on Capital (ROIC),3.02%,3.71%,4.43%,4.78%,4.93%,5.18%,5.65%,5.12%,4.91%,3.53%,4.72%
Earnings Yield,5.08%,5.46%,6.78%,6.84%,7.10%,8.80%,9.20%,9.10%,7.41%,6.42%,8.02%
FCF Yield,-3.12%,9.37%,7.83%,10.99%,6.29%,10.55%,-2.40%,10.15%,3.45%,37.42%,22.62%
Dividend Yield,1.70%,1.60%,1.60%,1.50%,1.60%,2.20%,2.30%,2.90%,2.20%,3.10%,3.05%
Payout Ratio,33.30%,30.40%,24.90%,22.80%,23.00%,25.60%,26.00%,32.30%,31.20%,48.80%,42.00%
Buyback Yield / Dilution,2.04%,1.47%,2.20%,3.64%,2.96%,3.19%,6.36%,5.36%,4.05%,4.85%,4.02%
Total Shareholder Return,3.74%,3.07%,3.80%,5.14%,4.56%,5.39%,8.66%,8.26%,6.25%,7.95%,7.06%
