,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"16,355","12,230","7,321","10,866","13,228","9,637","7,102","6,489","15,458","19,373","18,564"
Market Cap Growth,56.40%,-25.23%,-40.13%,48.41%,21.74%,-27.15%,-26.30%,-8.63%,138.22%,25.32%,-
Enterprise Value,"17,462","13,823","9,337","11,928","14,300","10,803","8,108","7,445","17,689","20,725","19,838"
PE Ratio,58.46,117.07,-64.28,-26.05,131.76,17.30,10.43,32.28,13.35,4.77,8.57
PS Ratio,9.37,5.63,5.40,9.40,7.50,4.40,3.44,4.43,4.48,2.14,2.81
PB Ratio,7.42,5.71,3.64,4.23,5.24,4.62,3.30,2.93,1.32,1.53,1.45
P/FCF Ratio,106.70,-60.04,-36.91,149.45,53.11,10.84,10.76,31.96,16.32,5.12,8.06
P/OCF Ratio,15.96,9.89,9.77,27.34,14.73,8.72,4.91,8.34,9.27,3.55,4.24
EV/Sales Ratio,10.00,6.36,6.88,10.32,8.11,4.94,3.92,5.08,5.13,2.29,3.01
EV/EBITDA Ratio,14.52,18.71,17.56,632.29,33.85,9.09,5.96,10.84,7.84,3.01,4.38
EV/EBIT Ratio,31.66,130.18,-103.33,-20.88,-97.74,14.01,8.49,25.15,11.31,3.96,6.82
EV/FCF Ratio,113.91,-67.86,-47.07,164.06,57.42,12.15,12.29,36.67,18.68,5.48,8.62
Debt / Equity Ratio,0.53,0.82,1.00,0.61,0.62,0.59,0.57,0.51,0.28,0.17,0.17
Debt / EBITDA Ratio,0.97,2.37,3.79,82.73,3.67,1.03,0.90,1.65,1.46,0.32,0.48
Debt / FCF Ratio,7.57,-8.60,-10.16,21.47,6.23,1.38,1.85,5.59,3.47,0.58,0.94
Quick Ratio,0.68,0.79,0.51,2.67,1.10,1.47,1.29,1.01,1.71,1.72,0.99
Current Ratio,0.93,0.83,0.62,2.78,1.21,1.90,1.73,1.07,1.75,1.85,1.05
Asset Turnover,0.35,0.40,0.25,0.21,0.35,0.51,0.46,0.33,0.41,0.45,0.33
Interest Coverage,8.35,1.44,-0.93,-6.47,-1.78,10.54,17.36,5.48,25.23,74.84,47.67
Return on Equity (ROE),12.50%,4.60%,-5.40%,-14.80%,3.80%,25.50%,30.20%,9.30%,24.80%,33.00%,17.70%
Return on Assets (ROA),5.70%,1.90%,-2.10%,-7.60%,2.00%,12.90%,15.20%,4.50%,13.70%,20.00%,11.20%
Return on Capital (ROIC),9.42%,8.54%,-2.37%,-13.62%,-1.25%,18.54%,19.62%,7.34%,8.03%,27.60%,15.12%
Earnings Yield,1.71%,0.85%,-1.56%,-3.84%,0.76%,5.78%,9.59%,3.10%,7.49%,20.98%,12.07%
FCF Yield,0.94%,-1.67%,-2.71%,0.67%,1.88%,9.22%,9.29%,3.13%,6.13%,19.52%,12.40%
Dividend Yield,0.20%,0.30%,0.50%,0.30%,0.60%,1.10%,2.00%,2.50%,5.90%,10.10%,3.24%
Payout Ratio,9.00%,32.00%,-28.60%,-8.80%,77.30%,20.00%,21.30%,80.00%,48.70%,48.90%,27.78%
Buyback Yield / Dilution,-0.09%,1.13%,0.94%,-10.43%,-1.91%,3.86%,6.61%,4.07%,-25.69%,-58.53%,4.89%
Total Shareholder Return,0.11%,1.43%,1.44%,-10.13%,-1.31%,4.96%,8.61%,6.57%,-19.79%,-48.43%,8.13%
