,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"78,218","79,821","88,292","116,833","97,807","126,472","149,249","143,543","144,079","138,251","129,985"
Market Cap Growth,9.10%,2.05%,10.61%,32.33%,-16.28%,29.31%,18.01%,-3.82%,0.37%,-4.04%,-
Enterprise Value,"77,797","84,331","94,704","123,898","103,111","132,058","156,413","151,619","153,539","150,599","142,333"
PE Ratio,18.45,16.74,18.35,75.62,14.46,20.59,31.23,25.90,29.01,24.44,23.28
PS Ratio,1.94,2.07,2.25,2.88,2.34,3.45,4.57,4.17,4.06,3.77,3.55
PB Ratio,4.43,4.37,4.56,7.08,5.38,6.84,8.51,7.73,8.63,8.72,8.20
P/FCF Ratio,19.54,17.89,19.96,23.27,17.40,20.73,27.85,27.76,31.76,31.83,29.92
P/OCF Ratio,15.40,14.46,16.06,19.58,15.20,18.34,24.04,23.77,27.32,25.89,24.34
EV/Sales Ratio,1.93,2.19,2.41,3.06,2.47,3.60,4.79,4.41,4.33,4.11,3.88
EV/EBITDA Ratio,11.16,10.95,12.17,14.86,11.58,14.81,21.46,17.36,19.20,16.57,15.67
EV/EBIT Ratio,12.87,12.37,14.02,17.15,13.23,16.87,24.89,20.19,22.61,19.04,17.99
EV/FCF Ratio,19.43,18.90,21.41,24.68,18.34,21.65,29.19,29.33,33.84,34.67,32.77
Debt / Equity Ratio,0.49,0.66,0.81,1.08,0.89,0.87,1.28,1.06,1.17,1.29,1.29
Debt / EBITDA Ratio,1.25,1.57,2.03,2.14,1.82,1.79,3.07,2.24,2.45,2.25,2.25
Debt / FCF Ratio,2.17,2.71,3.57,3.56,2.88,2.62,4.18,3.79,4.31,4.71,4.71
Quick Ratio,1.16,0.85,1.07,1.04,0.97,0.99,1.15,0.94,0.88,0.84,0.84
Current Ratio,1.50,1.09,1.41,1.38,1.29,1.34,1.47,1.30,1.25,1.27,1.27
Asset Turnover,0.88,0.82,0.75,0.72,0.70,0.63,0.52,0.54,0.57,0.60,0.60
Interest Coverage,19.01,21.99,19.98,22.86,21.23,21.93,17.51,21.90,16.41,10.34,10.34
Return on Equity (ROE),23.20%,26.50%,25.50%,7.90%,37.80%,33.50%,26.80%,30.60%,28.30%,33.60%,33.60%
Return on Assets (ROA),9.20%,10.20%,9.20%,2.70%,11.30%,10.50%,7.70%,8.70%,8.00%,9.20%,9.20%
Return on Capital (ROIC),16.38%,16.48%,12.92%,4.10%,17.76%,16.33%,11.50%,15.35%,14.58%,17.29%,17.29%
Earnings Yield,5.42%,5.97%,5.45%,1.32%,6.92%,4.86%,3.20%,3.86%,3.45%,4.09%,4.35%
FCF Yield,5.12%,5.59%,5.01%,4.30%,5.75%,4.82%,3.59%,3.60%,3.15%,3.14%,3.34%
Dividend Yield,1.90%,2.10%,2.10%,1.80%,2.30%,1.90%,1.70%,1.80%,1.90%,2.00%,2.19%
Payout Ratio,34.60%,35.10%,38.90%,135.00%,33.60%,39.40%,53.50%,47.10%,54.20%,48.90%,51.00%
Buyback Yield / Dilution,0.24%,1.55%,1.11%,0.04%,2.83%,3.48%,1.80%,1.89%,2.34%,1.94%,1.94%
Total Shareholder Return,2.14%,3.65%,3.21%,1.84%,5.13%,5.38%,3.50%,3.69%,4.24%,3.94%,4.14%
