,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"61,023","71,258","68,464","63,960","58,197","79,306","83,622","92,501","91,018","98,570","96,920"
Market Cap Growth,-1.43%,16.77%,-3.92%,-6.58%,-9.01%,36.27%,5.44%,10.62%,-1.60%,8.30%,-
Enterprise Value,"76,048","84,786","83,922","80,851","75,469","96,844","100,519","108,926","112,542","116,705","115,055"
PE Ratio,27.94,9.81,41.87,22.62,17.55,20.18,23.52,21.51,33.50,19.88,19.88
PS Ratio,1.78,2.40,2.64,2.47,2.24,3.07,3.15,3.22,2.89,2.74,2.69
PB Ratio,2.20,2.54,2.72,2.46,2.27,2.91,3.03,3.27,3.39,3.48,3.42
P/FCF Ratio,31.67,31.34,39.08,37.89,17.90,25.40,26.97,27.29,29.87,27.22,26.77
P/OCF Ratio,17.13,19.11,24.12,24.67,14.74,20.00,21.10,22.34,23.29,20.91,20.56
EV/Sales Ratio,2.22,2.86,3.24,3.12,2.91,3.74,3.78,3.79,3.57,3.24,3.19
EV/EBITDA Ratio,17.75,8.68,22.76,17.23,13.92,17.82,15.46,15.45,22.02,14.55,14.34
EV/EBIT Ratio,23.58,9.56,29.30,20.86,16.37,22.08,18.66,18.35,28.10,17.15,16.90
EV/FCF Ratio,39.46,37.29,47.90,47.90,23.21,31.02,32.41,32.13,36.94,32.23,31.77
Debt / Equity Ratio,0.60,0.55,0.68,0.68,0.72,0.69,0.74,0.71,0.87,0.70,0.70
Debt / EBITDA Ratio,3.89,1.58,4.66,3.76,3.39,3.47,3.15,2.83,4.59,2.49,2.49
Debt / FCF Ratio,8.64,6.77,9.82,10.46,5.65,6.03,6.62,5.89,7.70,5.51,5.51
Quick Ratio,0.46,0.52,0.36,0.27,0.25,0.28,0.43,0.48,0.35,0.33,0.33
Current Ratio,0.84,0.82,0.59,0.48,0.45,0.50,0.66,0.74,0.60,0.62,0.62
Asset Turnover,0.49,0.46,0.41,0.41,0.41,0.40,0.41,0.43,0.46,0.50,0.50
Interest Coverage,4.69,8.76,2.57,10.15,8.87,9.62,8.86,13.28,9.47,21.95,21.95
Return on Equity (ROE),7.10%,27.10%,6.10%,10.90%,12.90%,14.80%,13.40%,15.60%,10.00%,17.40%,17.40%
Return on Assets (ROA),3.10%,11.20%,2.60%,4.50%,5.20%,6.10%,5.40%,6.40%,4.00%,6.90%,6.90%
Return on Capital (ROIC),6.28%,4.42%,5.62%,6.08%,6.10%,8.34%,5.96%,7.55%,5.33%,8.70%,8.70%
Earnings Yield,3.58%,10.20%,2.39%,4.42%,5.70%,4.95%,4.25%,4.65%,2.99%,5.03%,5.12%
FCF Yield,3.16%,3.19%,2.56%,2.64%,5.59%,3.94%,3.71%,3.66%,3.35%,3.67%,3.74%
Dividend Yield,1.60%,1.40%,1.60%,1.90%,2.40%,2.00%,2.10%,2.00%,2.20%,2.20%,2.36%
Payout Ratio,45.00%,14.30%,68.60%,43.90%,42.70%,40.10%,48.40%,43.50%,74.60%,44.50%,46.96%
Buyback Yield / Dilution,4.21%,5.40%,2.82%,3.24%,2.71%,0.96%,0.67%,2.46%,2.10%,0.35%,0.35%
Total Shareholder Return,5.81%,6.80%,4.42%,5.14%,5.11%,2.96%,2.77%,4.46%,4.30%,2.55%,2.71%
