,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"84,013","104,263","96,842","101,764","154,391","138,674","130,935","189,171","239,371","285,804","313,366"
Market Cap Growth,-,24.10%,-7.12%,5.08%,51.71%,-10.18%,-5.58%,44.48%,26.54%,19.40%,-
Enterprise Value,"88,841","110,866","120,106","132,183","181,970","170,923","157,739","266,748","306,225","339,846","360,822"
PE Ratio,20.35,58.77,18.83,17.10,29.08,24.38,16.61,40.98,20.74,24.15,48.49
PS Ratio,4.47,5.22,4.24,3.97,5.47,4.23,3.94,4.13,4.26,4.92,5.68
PB Ratio,18.70,59.85,24.55,21.95,30.29,-16.42,-16.02,14.47,15.54,16.57,25.91
P/FCF Ratio,14.55,35.50,13.83,15.51,16.37,10.84,10.25,11.27,10.89,11.79,12.67
P/OCF Ratio,13.41,29.38,12.85,14.45,15.50,10.33,9.83,10.76,10.51,11.46,12.28
EV/Sales Ratio,4.73,5.55,5.25,5.16,6.45,5.22,4.74,5.82,5.45,5.85,6.54
EV/EBITDA Ratio,13.65,31.27,14.71,13.17,17.78,21.09,13.20,21.97,12.82,14.17,19.44
EV/EBIT Ratio,15.84,40.17,16.38,14.94,20.84,26.96,15.88,47.03,19.93,21.91,36.90
EV/FCF Ratio,15.38,37.75,17.15,20.14,19.29,13.36,12.35,15.89,13.93,14.02,14.59
Debt / Equity Ratio,3.28,8.60,8.03,7.95,7.33,-4.77,-8.17,6.58,4.98,3.67,5.02
Debt / EBITDA Ratio,2.26,4.22,3.88,3.67,3.65,4.97,5.58,7.09,3.21,2.64,3.27
Debt / FCF Ratio,2.55,5.10,4.52,5.61,3.96,3.15,5.22,5.13,3.49,2.61,2.46
Quick Ratio,2.00,1.06,1.21,1.14,0.89,0.78,2.91,0.60,0.56,0.69,0.71
Current Ratio,2.60,1.41,1.50,1.66,1.27,0.98,3.18,0.84,0.79,0.96,0.96
Asset Turnover,0.67,0.70,0.49,0.40,0.42,0.51,0.51,0.34,0.38,0.41,0.41
Interest Coverage,20.18,7.06,10.69,9.17,8.70,5.54,6.58,2.49,6.45,7.59,5.49
Return on Equity (ROE),113.20%,43.50%,131.10%,111.30%,93.20%,-203.30%,-96.20%,51.80%,83.60%,73.80%,47.00%
Return on Assets (ROA),14.70%,6.20%,10.90%,9.40%,7.80%,8.90%,12.00%,3.40%,7.80%,8.40%,4.80%
Return on Capital (ROIC),22.82%,15.28%,16.38%,17.00%,15.44%,21.92%,20.74%,15.60%,17.30%,19.77%,16.85%
Earnings Yield,4.91%,1.70%,5.31%,5.85%,3.44%,4.10%,6.02%,2.44%,4.82%,4.14%,2.08%
FCF Yield,6.88%,2.82%,7.23%,6.45%,6.11%,9.22%,9.75%,8.88%,9.19%,8.48%,7.89%
Dividend Yield,3.00%,2.50%,3.40%,3.60%,2.60%,3.90%,4.80%,4.40%,3.80%,3.50%,3.49%
Payout Ratio,62.00%,149.50%,64.10%,62.50%,77.30%,97.80%,80.80%,172.90%,80.20%,84.80%,169.40%
Buyback Yield / Dilution,-1.71%,-0.37%,-1.68%,0.37%,1.72%,3.56%,4.01%,-12.74%,-6.22%,-0.06%,0.28%
Total Shareholder Return,1.29%,2.13%,1.72%,3.97%,4.32%,7.46%,8.81%,-8.34%,-2.42%,3.44%,3.77%
