,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"10,955","8,908","10,374","12,420","11,563","10,577","12,761","13,991","10,777","10,077","8,428"
Market Cap Growth,23.82%,-18.69%,16.47%,19.72%,-6.90%,-8.53%,20.66%,9.63%,-22.97%,-6.49%,-
Enterprise Value,"11,651","9,776","11,449","13,647","12,623","11,763","14,034","16,065","13,025","11,951","10,301"
PE Ratio,24.36,17.48,20.21,24.60,17.40,18.33,25.20,16.57,11.46,31.00,26.56
PS Ratio,0.81,0.66,0.79,0.84,0.70,0.69,0.79,0.61,0.44,0.57,0.48
PB Ratio,10.46,7.74,8.25,8.71,7.25,6.33,6.79,6.92,7.96,7.10,5.94
P/FCF Ratio,22.64,13.22,23.69,38.09,15.86,13.83,28.31,582.14,6.80,15.52,12.98
P/OCF Ratio,21.34,12.40,19.60,32.34,14.58,12.66,25.56,147.34,6.53,13.77,11.51
EV/Sales Ratio,0.86,0.73,0.87,0.92,0.76,0.77,0.87,0.70,0.53,0.68,0.59
EV/EBITDA Ratio,14.47,10.57,12.55,15.72,12.51,13.21,18.11,13.69,9.58,19.48,16.79
EV/EBIT Ratio,15.57,11.39,13.67,17.61,13.84,14.89,20.84,14.85,10.28,23.22,20.02
EV/FCF Ratio,24.08,14.51,26.14,41.86,17.31,15.38,31.14,668.47,8.22,18.41,15.87
Debt / Equity Ratio,1.13,0.90,1.05,1.10,0.90,0.98,0.81,1.15,1.82,1.42,1.42
Debt / EBITDA Ratio,1.47,1.12,1.45,1.80,1.43,1.84,1.96,1.99,1.81,3.29,3.29
Debt / FCF Ratio,2.45,1.54,3.02,4.79,1.97,2.14,3.36,97.04,1.55,3.11,3.11
Quick Ratio,1.31,1.16,1.06,1.23,1.77,1.64,1.57,1.41,1.04,1.32,1.32
Current Ratio,1.34,1.20,1.09,1.26,1.92,1.70,1.60,1.44,1.08,1.40,1.40
Asset Turnover,4.43,4.08,3.79,3.68,3.76,3.28,3.26,3.68,3.56,3.27,3.27
Interest Coverage,29.95,24.16,32.74,16.61,28.67,16.55,14.98,18.09,12.67,4.88,4.88
Return on Equity (ROE),44.30%,45.80%,41.20%,37.20%,43.10%,34.70%,28.80%,43.60%,52.40%,23.30%,23.30%
Return on Assets (ROA),14.80%,15.40%,14.80%,12.50%,15.00%,12.40%,10.20%,13.40%,13.60%,6.00%,6.00%
Return on Capital (ROIC),20.86%,24.32%,20.53%,17.98%,22.70%,18.58%,15.98%,20.52%,26.74%,11.89%,11.89%
Earnings Yield,4.10%,5.72%,4.95%,4.07%,5.75%,5.46%,3.97%,6.03%,8.73%,3.23%,3.86%
FCF Yield,4.42%,7.56%,4.22%,2.63%,6.30%,7.23%,3.53%,0.17%,14.71%,6.44%,7.70%
Dividend Yield,1.90%,2.50%,2.40%,2.00%,2.20%,2.60%,2.20%,1.90%,2.50%,2.80%,3.38%
Payout Ratio,46.70%,44.60%,48.30%,50.40%,39.30%,47.70%,54.50%,32.70%,30.20%,89.10%,72.84%
Buyback Yield / Dilution,6.07%,1.49%,1.62%,1.13%,0.69%,1.90%,1.13%,1.72%,4.99%,5.88%,5.88%
Total Shareholder Return,7.97%,3.99%,4.02%,3.13%,2.89%,4.50%,3.33%,3.62%,7.49%,8.68%,9.25%
