,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"16,951","18,733","19,958","19,986","21,040","21,830","19,669","19,837","18,820","18,208","20,822","18,024","21,377","23,277","26,589","28,208","30,824","32,730","32,086","26,832","34,588","37,031","38,754","44,823","39,635","51,512","54,405","54,507","55,870","67,836","66,121","72,609","62,488","50,178","44,611","51,043","56,063","63,807","58,017","71,472","67,849"
Market Cap Growth,42.18%,37.93%,28.76%,18.41%,24.13%,16.53%,-1.45%,-0.74%,-10.55%,-16.59%,5.86%,-9.14%,13.59%,27.84%,27.70%,56.50%,44.19%,40.61%,20.67%,-4.88%,12.21%,13.14%,20.78%,67.05%,14.59%,39.11%,40.39%,21.61%,40.96%,31.69%,21.54%,33.21%,11.85%,-26.03%,-32.53%,-29.70%,-10.28%,27.16%,30.05%,40.02%,-
Enterprise Value,"17,003","18,878","20,389","20,856","22,140","22,888","20,853","20,986","20,181","19,601","22,182","19,163","23,191","24,797","31,239","32,565","34,954","36,639","35,895","30,690","39,436","41,703","43,303","49,048","44,744","56,187","58,710","58,754","59,845","71,772","71,827","78,680","68,967","56,658","50,835","57,047","61,783","69,144","63,210","76,694","73,071"
PE Ratio,20.32,20.19,20.81,20.21,21.02,23.14,20.50,21.07,21.01,20.47,22.80,67.61,49.97,48.04,48.65,28.18,29.98,29.97,29.57,20.48,26.40,29.77,29.50,31.52,25.77,29.66,29.83,30.66,27.58,32.40,31.47,32.80,31.62,29.07,28.69,37.15,40.71,44.71,38.35,44.48,42.47
PS Ratio,5.64,5.99,6.17,5.99,6.13,6.28,5.63,5.69,5.48,5.28,5.90,5.00,5.68,6.07,6.68,6.71,7.08,7.23,7.06,6.04,7.76,8.23,8.32,9.28,7.96,9.91,10.24,10.15,9.84,11.70,11.08,11.68,10.18,8.41,7.80,9.34,10.35,11.54,10.13,12.08,11.47
PB Ratio,43.99,42.06,79.61,-106.42,-56.30,-65.91,-41.86,-35.11,-32.36,-30.35,-36.89,-14.71,-23.06,-34.24,-72.04,-86.08,154.35,134.75,80.19,58.46,280.75,104.96,82.00,73.24,68.10,49.48,36.34,34.74,27.52,31.03,27.21,26.63,26.10,21.87,19.78,20.26,19.39,20.30,18.18,21.54,20.45
P/FCF Ratio,19.97,19.66,21.81,21.17,20.45,20.24,17.58,17.89,17.21,17.38,19.18,15.76,55.44,40.95,42.87,42.48,19.61,22.01,22.83,19.59,25.80,27.50,26.13,27.91,25.04,28.54,29.00,26.68,23.46,28.82,29.17,38.91,38.69,39.57,39.48,42.86,42.63,38.72,32.70,38.02,36.09
P/OCF Ratio,18.80,18.44,20.30,19.62,19.07,18.90,16.36,16.56,15.82,15.83,17.44,14.31,43.34,34.63,36.93,37.36,18.58,20.81,21.54,18.37,24.08,25.74,24.65,26.76,23.98,27.15,27.66,25.40,22.56,27.81,27.97,36.21,34.74,33.54,31.96,34.63,34.78,33.15,28.29,33.23,31.54
Debt / Equity Ratio,5.44,4.72,10.12,-13.56,-8.28,-9.38,-6.65,-5.98,-5.90,-5.70,-6.06,-2.75,-4.40,-7.19,-15.50,-16.91,27.58,21.92,12.38,12.37,49.99,16.97,12.32,10.06,12.61,6.60,4.60,4.43,3.37,3.13,3.31,2.92,3.48,3.57,3.53,3.12,2.74,2.44,2.28,2.23,2.23
Quick Ratio,2.71,2.49,2.71,2.06,2.49,2.53,2.53,2.49,2.53,2.50,2.06,1.28,2.26,3.46,1.05,1.13,1.35,1.38,1.25,1.48,1.30,1.39,1.17,1.75,1.55,1.91,2.29,1.86,2.03,2.12,1.41,1.45,1.23,1.20,1.58,1.48,1.31,1.45,1.58,1.54,1.54
Current Ratio,2.87,2.69,2.94,2.24,2.67,2.72,2.73,2.66,2.68,2.64,2.15,1.34,2.45,3.69,1.15,1.25,1.47,1.54,1.38,1.61,1.45,1.72,1.42,1.92,1.70,2.10,2.49,2.03,2.18,2.31,1.52,1.61,1.36,1.39,1.80,1.72,1.48,1.65,1.78,1.74,1.74
Interest Coverage,13.94,19.46,9.62,12.29,12.72,12.81,14.23,12.02,9.02,11.97,11.39,-7.76,10.51,10.27,9.73,7.89,9.62,10.25,8.29,6.87,8.90,9.45,12.09,8.64,15.13,12.10,12.30,8.69,124.14,16.47,12.68,9.32,12.49,9.05,7.57,6.03,11.54,7.93,8.36,7.82,8.71
Return on Capital (ROIC),Upgrade,36.01%,36.51%,34.33%,41.85%,36.76%,36.68%,38.56%,35.93%,34.00%,33.87%,34.83%,13.97%,13.84%,11.15%,9.35%,19.01%,18.70%,20.88%,22.55%,24.00%,23.45%,22.30%,23.36%,23.32%,21.08%,23.57%,23.32%,22.36%,23.90%,24.25%,21.03%,21.32%,19.48%,17.70%,16.29%,14.16%,13.71%,14.13%,15.56%,16.53%
Dividend Yield,1.20%,1.20%,1.20%,1.20%,1.10%,1.10%,1.30%,1.40%,1.40%,1.50%,1.30%,1.60%,1.30%,1.20%,1.10%,1.00%,1.00%,1.00%,1.00%,1.30%,1.00%,1.00%,0.90%,0.80%,1.00%,0.80%,0.80%,0.80%,0.80%,0.70%,0.70%,0.60%,0.80%,1.00%,1.10%,1.30%,1.20%,1.00%,1.20%,0.80%,0.92%
Payout Ratio,27.50%,18.50%,27.50%,24.60%,29.80%,26.20%,29.30%,30.90%,38.90%,28.00%,27.80%,-16.70%,21.00%,23.30%,22.90%,271.40%,22.60%,22.40%,27.20%,33.60%,25.50%,30.50%,24.90%,26.20%,21.50%,20.70%,22.50%,33.30%,15.80%,20.10%,24.30%,27.00%,26.00%,39.30%,42.40%,104.50%,28.20%,37.60%,36.30%,41.40%,38.95%
Buyback Yield / Dilution,3.83%,4.64%,3.51%,3.75%,5.49%,5.24%,5.46%,4.94%,4.16%,4.21%,4.05%,3.25%,1.82%,1.02%,0.10%,-0.46%,-0.10%,-0.31%,-0.21%,0.05%,0.87%,1.59%,1.75%,1.75%,1.66%,1.20%,0.94%,0.89%,0.53%,0.58%,1.06%,0.90%,1.33%,1.60%,1.82%,1.87%,1.07%,0.43%,-0.05%,0.22%,0.38%
Total Shareholder Return,5.03%,5.84%,4.71%,4.95%,6.59%,6.34%,6.76%,6.34%,5.56%,5.71%,5.35%,4.85%,3.12%,2.22%,1.20%,0.54%,0.90%,0.69%,0.79%,1.35%,1.87%,2.59%,2.65%,2.55%,2.66%,2.00%,1.74%,1.69%,1.33%,1.28%,1.76%,1.50%,2.13%,2.60%,2.92%,3.17%,2.27%,1.43%,1.15%,1.02%,1.30%
