,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"4,515","5,268","7,677","17,794","16,768","22,162","42,088","51,863","16,490","20,941","23,648"
Market Cap Growth,-1.91%,16.68%,45.72%,131.80%,-5.77%,32.17%,89.91%,23.23%,-68.20%,26.99%,-
Enterprise Value,"4,315","5,100","7,287","17,345","16,131","21,656","41,191","50,866","15,675",-,"22,773"
PE Ratio,30.96,36.58,40.47,76.89,41.89,50.05,23.70,67.18,45.61,47.05,53.05
PS Ratio,5.93,6.23,7.11,12.08,8.53,9.21,17.03,13.12,4.42,5.42,6.12
PB Ratio,6.00,6.21,7.71,15.47,13.38,16.46,13.01,14.32,4.58,0,6.51
P/FCF Ratio,22.26,28.55,43.35,73.27,50.60,37.09,82.97,67.23,59.57,26.65,34.47
P/OCF Ratio,19.90,22.13,31.00,40.58,30.23,29.66,63.56,44.23,28.99,26.65,26.76
EV/Sales Ratio,5.67,6.03,6.75,11.77,8.20,9.00,16.66,12.87,4.20,-,5.90
EV/EBITDA Ratio,20.41,24.68,26.70,49.05,34.57,44.52,106.39,52.10,23.55,-,35.40
EV/EBIT Ratio,22.29,27.04,29.28,54.91,39.17,53.14,140.28,58.62,29.04,-,42.72
EV/FCF Ratio,21.28,27.64,41.15,71.42,48.68,36.24,81.20,65.94,56.62,-,33.19
Debt / Equity Ratio,0.01,0.01,0.01,0.02,0.01,0.04,0.03,0.03,0.04,0,0.06
Debt / EBITDA Ratio,-,-,-,-,-,-,0.11,0.07,0.15,0.20,0.15
Debt / FCF Ratio,-,-,-,-,-,-,0.09,0.08,0.37,0.16,0.14
Quick Ratio,2.90,2.52,2.51,2.10,1.70,1.46,1.22,1.08,0.97,0,0.91
Current Ratio,3.26,2.69,2.69,2.32,1.88,1.68,1.40,1.30,1.26,0,1.18
Asset Turnover,0.77,0.73,0.77,0.83,0.96,0.96,0.51,0.67,0.63,0,0.63
Interest Coverage,0,0,0,0,0,0,-35.71,27.10,119.73,-301.47,128.50
Return on Equity (ROE),23.00%,19.13%,22.37%,23.25%,34.79%,35.34%,131.92%,23.87%,9.98%,12.36%,12.26%
Return on Assets (ROA),17.52%,14.58%,16.37%,16.58%,22.51%,21.57%,71.02%,15.98%,6.08%,7.48%,7.32%
Return on Capital (ROIC),23.39%,19.39%,23.16%,22.85%,35.54%,26.03%,99.02%,22.57%,10.41%,11.98%,11.31%
Earnings Yield,3.23%,2.73%,2.47%,1.30%,2.39%,2.00%,4.22%,1.49%,2.19%,2.13%,1.88%
FCF Yield,4.49%,3.50%,2.31%,1.36%,1.98%,2.70%,1.21%,1.49%,1.68%,3.75%,2.90%
Buyback Yield / Dilution,0.37%,0.93%,0.05%,-0.43%,0.58%,1.55%,1.09%,-0.56%,1.57%,2.36%,2.42%
Total Shareholder Return,0.37%,0.93%,0.05%,-0.43%,0.58%,1.55%,1.09%,-0.56%,1.57%,2.36%,2.42%
