,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"8,773","11,871","17,476","25,061","34,832","28,127","49,113","62,634","75,933","59,980","80,386"
Market Cap Growth,-11.37%,35.32%,47.21%,43.40%,38.99%,-19.25%,74.61%,27.53%,21.23%,-21.01%,-
Enterprise Value,"12,670","15,940","21,751","31,072","43,500","38,853","60,530","74,952","89,389","74,544","93,806"
PE Ratio,92.65,-45.74,93.07,197.64,149.50,76.98,96.78,169.38,151.81,85.16,83.05
PS Ratio,3.59,4.36,4.84,5.74,6.87,5.06,8.19,9.44,10.45,7.33,9.82
PB Ratio,3.57,5.23,6.37,5.74,5.09,3.90,5.56,5.89,6.98,5.21,6.44
P/FCF Ratio,300.26,445.07,-185.89,414.17,-124.07,-324.07,1797.54,-306.57,110.82,18.65,25.11
P/OCF Ratio,12.72,13.27,17.14,17.41,19.19,14.11,21.26,24.59,25.63,18.65,25.11
EV/Sales Ratio,5.18,5.85,6.02,7.11,8.58,6.99,10.09,11.30,12.31,9.10,11.46
EV/EBITDA Ratio,12.68,14.75,15.10,16.36,19.24,15.50,23.67,27.43,30.30,51.65,32.55
EV/EBIT Ratio,24.61,28.87,36.05,35.72,42.06,31.81,53.55,69.91,73.80,-186.18,90.33
EV/FCF Ratio,433.64,597.60,-231.36,513.51,-154.94,-447.65,2215.44,-366.86,130.46,23.17,29.31
Debt / Equity Ratio,1.69,2.06,2.37,1.55,1.47,1.57,1.50,1.31,1.38,1.43,1.46
Debt / EBITDA Ratio,4.68,6.02,4.69,5.31,5.01,5.30,5.44,5.49,5.58,10.94,5.38
Debt / FCF Ratio,160.16,243.83,-71.90,166.60,-40.37,-153.09,509.60,-73.38,24.04,4.91,4.85
Quick Ratio,1.49,2.18,1.53,1.26,1.62,0.82,1.19,1.11,1.38,1.50,1.79
Current Ratio,1.63,2.32,1.97,1.43,1.80,1.00,1.33,1.28,1.84,1.80,2.05
Asset Turnover,0.29,0.31,0.26,0.29,0.23,0.25,0.23,0.22,0.24,0.24,0.25
Interest Coverage,1.85,1.88,1.90,1.58,1.69,1.87,2.44,2.59,3.30,3.37,3.75
Return on Equity (ROE),-11.43%,6.84%,2.90%,3.40%,5.06%,5.74%,3.48%,4.60%,6.12%,7.76%,7.76%
Return on Assets (ROA),-3.32%,1.81%,1.01%,1.25%,1.80%,2.12%,1.37%,1.79%,2.32%,2.97%,2.97%
Return on Capital (ROIC),-22.55%,5.46%,3.98%,3.88%,4.45%,3.87%,3.07%,3.51%,3.65%,5.81%,4.83%
Earnings Yield,1.08%,-2.19%,1.07%,0.51%,0.67%,1.30%,1.03%,0.59%,0.66%,1.17%,1.21%
FCF Yield,0.37%,0.25%,0.15%,-0.38%,0.17%,-1.00%,-0.18%,0.04%,-0.27%,1.14%,3.98%
Dividend Yield,0.00%,0.70%,2.98%,1.99%,1.78%,2.63%,1.70%,1.51%,1.37%,1.92%,1.99%
Payout Ratio,0.00%,-32.08%,277.71%,393.90%,266.76%,202.16%,164.78%,256.35%,208.50%,163.48%,165.28%
Buyback Yield / Dilution,-4.48%,-11.70%,-21.09%,-9.49%,-3.43%,-5.59%,-4.41%,-2.26%,-1.57%,-2.38%,-2.06%
Total Shareholder Return,-4.48%,-10.99%,-18.10%,-7.49%,-1.65%,-2.96%,-2.70%,-0.75%,-0.20%,-0.46%,-0.07%
