,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"3,856","3,205","2,027","2,644","3,072","3,065","6,229","14,163","22,060","6,353","7,205"
Market Cap Growth,90.07%,-16.89%,-36.75%,30.44%,16.19%,-0.25%,103.26%,127.37%,55.76%,-71.20%,-
Enterprise Value,"4,903","4,103","2,971","3,630","3,863","3,764","6,946","14,573","23,235","7,964","8,737"
PE Ratio,22.09,18.35,26.07,26.77,19.28,12.86,24.60,40.40,40.07,15.90,35.54
PS Ratio,2.64,2.43,1.40,1.58,1.52,1.39,2.51,3.79,4.83,1.58,1.79
PB Ratio,12.16,6.54,4.35,6.59,5.49,4.03,6.03,10.19,9.97,2.81,3.08
P/FCF Ratio,17.66,20.29,9.09,11.61,15.39,12.35,14.68,47.03,-797.21,12.18,26.56
P/OCF Ratio,15.24,16.99,8.00,10.13,12.43,9.92,12.80,34.45,377.00,12.18,20.65
EV/Sales Ratio,3.36,3.11,2.06,2.17,1.91,1.71,2.79,3.90,5.09,1.98,2.17
EV/EBITDA Ratio,14.52,16.24,11.56,12.11,9.68,8.96,12.73,17.40,32.11,20.62,17.18
EV/EBIT Ratio,16.18,19.32,14.67,14.65,10.99,10.48,14.56,19.55,40.95,36.27,25.54
EV/FCF Ratio,22.46,25.97,13.33,15.93,19.35,15.17,16.37,48.39,-839.65,15.27,32.21
Debt / Equity Ratio,3.78,2.22,2.27,2.62,1.66,1.21,1.01,0.77,0.60,0.77,0.73
Debt / EBITDA Ratio,3.54,4.31,4.12,3.51,2.33,2.20,1.90,1.27,1.83,4.52,3.41
Debt / FCF Ratio,5.49,6.89,4.75,4.62,4.65,3.72,2.45,3.54,-47.76,3.34,6.39
Quick Ratio,1.26,1.58,1.40,0.90,1.08,0.98,1.29,1.61,0.60,0.66,0.83
Current Ratio,2.61,3.04,3.10,2.00,2.10,2.00,2.41,2.60,1.60,2.20,2.41
Asset Turnover,0.83,0.77,0.73,0.78,0.83,0.83,0.83,0.77,0.77,0.88,0.77
Interest Coverage,6.46,6.21,4.19,4.59,5.88,8.72,8.96,14.52,21.88,10.33,4.24
Return on Equity (ROE),55.07%,15.87%,21.21%,39.74%,42.58%,33.30%,33.96%,39.60%,18.05%,9.51%,9.17%
Return on Assets (ROA),9.71%,4.11%,5.51%,8.56%,11.80%,10.44%,13.15%,17.01%,8.19%,4.15%,4.21%
Return on Capital (ROIC),13.09%,7.19%,8.48%,13.59%,18.61%,17.44%,18.00%,23.64%,12.88%,7.22%,7.09%
Earnings Yield,4.53%,5.45%,3.84%,3.74%,5.19%,7.77%,4.07%,2.48%,2.50%,6.29%,2.98%
FCF Yield,5.94%,6.81%,7.79%,8.43%,7.42%,6.51%,3.98%,3.00%,1.37%,-0.44%,3.76%
Dividend Yield,8.91%,0.03%,0.07%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%
Payout Ratio,196.76%,0.52%,1.85%,0.08%,0.00%,0.13%,0.11%,0.00%,0.00%,0.08%,0.44%
Buyback Yield / Dilution,-0.72%,1.38%,5.52%,4.19%,0.65%,-1.02%,-1.39%,-0.81%,-0.67%,4.06%,4.00%
Total Shareholder Return,8.18%,1.41%,5.59%,4.19%,0.65%,-1.01%,-1.38%,-0.81%,-0.67%,4.06%,4.00%
