,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Net Income,174.61,77.75,98.79,159.39,238.26,253.26,350.58,550.49,399.5,214.61
Depreciation & Amortization,34.73,40.33,54.42,51.99,47.41,60.91,68.77,92.04,156.14,166.6
Share-Based Compensation,12.61,8.24,9.49,10.21,14.56,16.69,20.88,23.95,29.48,35.49
Other Operating Activities,31.03,62.3,90.71,39.54,-53,-21.98,46.3,-255.33,-526.61,104.97
Operating Cash Flow,252.99,188.62,253.41,261.12,247.23,308.89,486.53,411.16,58.52,521.67
Operating Cash Flow Growth,-2.68%,-25.44%,34.35%,3.04%,-5.32%,24.94%,57.51%,-15.49%,-85.77%,791.50%
Capital Expenditures,-34.69,-30.65,-30.47,-33.26,-47.6,-60.8,-62.13,-109.99,-86.19,0
Acquisitions,-61.2,-73.78,-76.72,1.26,-65.44,-112,-64.8,-717.13,-40,-15.97
Change in Investments,-,-,-,-,-3.93,-2.63,-2.65,100.42,-19.87,-39.22
Other Investing Activities,0.39,0.11,1.36,0.08,8.08,5.36,5.48,-90.58,11.83,-122.87
Investing Cash Flow,-95.49,-104.33,-105.82,-31.92,-108.89,-170.08,-124.1,-817.29,-134.23,-178.06
Dividends Paid,-0.9,-1.44,-0.08,0,-0.31,-0.29,0,0,-0.31,0
Common Stock Issued,0,126.38,30.34,0,111.32,0,0,0,13.79,0
Share Repurchases,0,-99.94,-149.94,-30.01,-25.66,0,0,-125.99,-345.84,0
Other Financing Activities,-115.12,-379.37,-375.9,-190.16,-188.69,-41.63,-30.43,-228.96,-295.27,-277.14
Financing Cash Flow,-116.02,-154.48,-195.71,-160.14,-52.03,-41.92,-30.43,-102.97,64.04,-277.14
Net Cash Flow,39.61,-73.9,-48.59,71.2,86.01,98.4,332.25,-507.79,-14.62,68.27
Free Cash Flow,218.3,157.97,222.94,227.86,199.63,248.09,424.41,301.16,-27.67,521.67
Free Cash Flow Growth,-4.75%,-27.64%,41.13%,2.20%,-12.39%,24.27%,71.07%,-29.04%,-,-
Free Cash Flow Margin,14.94%,11.99%,15.43%,13.62%,9.87%,11.25%,17.08%,8.06%,-0.61%,12.97%
Free Cash Flow Per Share,3.11,2.28,3.41,3.64,3.21,3.95,6.66,4.69,-0.43,8.41
