,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"12,351","20,172","18,889","19,987","13,532","18,808","19,048","16,213","17,869","14,072","12,989"
Market Cap Growth,51.41%,63.32%,-6.36%,5.81%,-32.29%,38.99%,1.27%,-14.88%,10.21%,-21.25%,-
Enterprise Value,"12,412","20,070","18,731","18,841","12,111","16,741","17,280","13,898","14,662","10,447","9,364"
PE Ratio,-254.77,3088.64,181.24,-63.83,123.59,42.09,-64.42,17.09,52.46,23.55,21.87
PS Ratio,24.15,26.76,17.08,13.01,7.19,8.71,7.14,5.43,5.26,3.81,3.51
PB Ratio,-151.31,117.86,45.03,12.26,7.03,7.24,7.30,4.30,4.09,2.71,2.50
P/FCF Ratio,-7624.28,318.14,102.39,-97.97,51.50,29.73,-61.06,28.52,20.03,30.33,27.99
P/OCF Ratio,470.42,225.62,61.98,-214.95,40.25,26.47,-152.88,21.63,18.42,28.34,26.16
EV/Sales Ratio,24.27,26.63,16.94,12.26,6.44,7.75,6.48,4.65,4.32,2.83,2.53
EV/EBITDA Ratio,312.69,204.70,91.56,-74.41,70.47,30.82,-96.95,22.05,24.45,11.36,10.18
EV/EBIT Ratio,-7220.33,377.54,128.17,-61.69,103.61,34.26,-75.12,24.28,27.57,12.48,11.19
EV/FCF Ratio,-7661.57,316.53,101.54,-92.35,46.09,26.46,-55.39,24.45,16.44,22.51,20.18
Debt / Equity Ratio,-8.27,3.62,1.55,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01
Debt / EBITDA Ratio,17.01,6.32,3.18,-0.09,0.10,0.09,-0.20,0.05,0.06,0.04,0.04
Debt / FCF Ratio,-416.77,9.78,3.53,-0.12,0.07,0.08,-0.11,0.06,0.04,0.07,0.07
Quick Ratio,3.04,4.98,3.50,3.83,4.11,4.73,3.62,3.47,3.36,3.55,3.55
Current Ratio,3.07,5.01,3.64,4.01,4.31,4.83,3.74,3.65,3.54,3.75,3.75
Asset Turnover,0.70,0.81,0.78,0.78,0.76,0.70,0.83,0.72,0.63,0.59,0.59
Interest Coverage,-0.04,1.17,3.77,-44.26,75.76,263.42,-105.82,299.97,199.47,328.01,328.01
Return on Equity (ROE),38.40%,9.50%,31.70%,-23.30%,6.20%,19.10%,-12.70%,30.20%,8.20%,12.40%,12.40%
Return on Assets (ROA),-6.60%,0.70%,7.30%,-15.80%,4.40%,14.50%,-9.20%,22.70%,6.30%,9.50%,9.50%
Return on Capital (ROIC),-0.81%,5.53%,14.72%,-14.24%,7.59%,14.61%,-9.96%,25.60%,8.47%,8.51%,8.51%
Earnings Yield,-0.39%,0.03%,0.55%,-1.57%,0.81%,2.38%,-1.55%,5.85%,1.91%,4.25%,4.60%
FCF Yield,-0.01%,0.31%,0.98%,-1.02%,1.94%,3.36%,-1.64%,3.51%,4.99%,3.30%,3.57%
Buyback Yield / Dilution,-13.17%,-11.52%,-3.64%,-5.39%,-5.40%,-0.94%,-0.19%,-1.83%,-0.85%,-0.88%,-0.88%
Total Shareholder Return,-13.17%,-11.52%,-3.64%,-5.39%,-5.40%,-0.94%,-0.19%,-1.83%,-0.85%,-0.88%,-0.88%
