,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Net Income,"1,737",682,"1,902","1,128","1,827","1,746","1,469","-1,480",756,740
Depreciation & Amortization,988,942,"1,006","1,105","1,172","1,007","1,080","1,121","1,233","1,335"
Share-Based Compensation,0,31,28,38,26,0,0,37,37,33
Other Operating Activities,678,960,-46,190,-204,-326,197,"2,592",-296,-350
Operating Cash Flow,"3,403","2,615","2,890","2,461","2,821","2,427","2,746","2,270","1,730","1,758"
Operating Cash Flow Growth,19.15%,-23.16%,10.52%,-14.84%,14.63%,-13.97%,13.14%,-17.33%,-23.79%,1.62%
Capital Expenditures,"-3,723","-3,570","-2,920","-3,133","-3,238","-2,243","-2,270","-1,973","-2,155","-2,390"
Acquisitions,0,0,0,0,0,0,0,"10,560","-3,514",0
Change in Investments,-120,136,0,0,-59,0,0,0,0,0
Other Investing Activities,514,-154,-6,-28,-64,-837,-988,-630,15,7
Investing Cash Flow,"-3,329","-3,588","-2,926","-3,161","-3,361","-3,080","-3,258","7,957","-5,654","-2,383"
Dividends Paid,-967,"-1,004","-1,030","-1,072","-1,133","-1,192","-1,275","-1,279",-787,-704
Share Issuance / Repurchase,"1,074",203,144,453,698,"1,167",0,"-1,003",0,0
Debt Issued / Paid,206,"1,330",441,"1,462","1,145",458,"1,203","-5,055","1,502","1,405"
Other Financing Activities,270,-461,6,-19,-20,403,458,-53,-6,-51
Financing Cash Flow,583,68,-439,824,690,836,386,"-7,390",709,650
Exchange Rate Effect,-8,-10,-28,15,-18,10,17,8,0,0
Net Cash Flow,536,-563,-503,139,132,39,-217,"3,129","-3,215",25
Free Cash Flow,-320,-955,-30,-672,-417,184,476,297,-425,-632
Free Cash Flow Growth,-,-,-,-,-,-,158.70%,-37.61%,-,-
Free Cash Flow Margin,-4.08%,-12.45%,-0.40%,-9.02%,-5.36%,3.28%,8.70%,5.14%,-5.38%,-7.60%
Free Cash Flow Per Share,-0.49,-1.43,-0.04,-0.98,-0.59,0.25,0.62,0.39,-0.58,-0.86
