,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"14,632","16,222","13,868","11,469","12,563","12,392","9,871","7,952","10,262","12,435","12,545","11,298","10,560","10,155","11,308","9,867","12,565","14,623","11,677","4,806","5,284","4,036","2,719","2,787","1,806","3,041","3,305","3,249","5,181","6,213","7,734","8,243","12,939","12,712","15,076","12,417","11,499","14,874","14,676","15,902","14,273"
Market Cap Growth,43.65%,35.86%,3.80%,-15.24%,-14.14%,-23.61%,-28.82%,-30.67%,-18.32%,0.35%,27.09%,42.08%,2.91%,-18.34%,-9.86%,-12.67%,18.98%,44.00%,3.26%,-51.29%,-57.95%,-72.40%,-76.72%,-42.02%,-65.82%,-24.66%,21.57%,16.59%,186.87%,104.32%,134.02%,153.74%,149.73%,104.61%,94.92%,50.64%,-11.13%,17.01%,-2.65%,28.07%,-
Enterprise Value,"16,310","17,424","15,251","12,915","13,661","13,418","11,141","9,049","11,136","12,948","13,608","13,348","13,029","12,897","14,227","15,735","19,608","22,333","20,048","10,154","10,229","8,594","7,439","7,575","6,297","7,368","8,413","8,230","10,166","12,890","18,189","15,590","22,030","20,869","22,506","17,219","14,670","18,132","20,224","20,824","19,195"
PE Ratio,30.33,32.02,26.83,29.64,34.12,47.15,48.14,93.36,-124.20,-35.86,-31.71,-24.94,-35.84,1974.06,309.80,6.54,-52.04,-55.23,-35.62,-2.14,-11.29,-11.21,-3.99,-2.28,-1.14,-1.54,-1.50,-3.39,-6.25,-4.14,-2.69,-7.21,-4.94,-15.95,8.09,7.01,2.55,4.19,4.98,9.16,8.22
PS Ratio,6.94,7.51,6.14,4.64,4.98,5.09,4.04,3.40,4.73,6.69,6.85,8.15,6.08,4.42,4.71,3.19,3.58,3.88,2.81,1.05,1.20,0.85,0.59,0.63,0.41,0.85,1.17,1.06,1.79,2.94,16.20,2.69,8.43,2.94,1.92,1.66,1.07,1.61,1.76,2.30,2.07
PB Ratio,3.50,3.79,3.15,2.50,2.60,2.41,1.91,1.57,1.87,2.05,2.08,1.93,1.75,1.68,1.86,0.74,1.07,1.25,1.06,0.44,0.47,0.36,0.25,0.28,0.19,0.32,0.37,0.35,0.56,0.75,0.94,0.83,1.58,1.40,1.57,1.11,0.95,1.24,1.03,1.08,0.97
P/FCF Ratio,-24.16,-20.52,-14.22,-11.06,-10.41,-9.42,-7.01,-6.53,-8.88,-14.12,-11.88,-7.41,-5.62,-5.40,-7.81,-32.72,37.00,63.89,215.02,-6.36,-12.28,-74.50,105.97,11.18,-261.63,22.49,15.31,6.56,12.95,185.02,-122.46,13.57,10.89,10.59,6.92,6.01,4.59,5.68,8.25,13.71,12.31
P/OCF Ratio,10.92,12.19,10.38,8.11,9.03,9.49,8.42,6.53,9.78,11.79,11.57,10.62,8.16,7.36,7.50,6.02,6.20,6.17,4.07,1.61,1.80,1.47,1.26,1.50,1.22,2.05,2.45,2.11,3.60,6.01,8.62,4.96,5.67,5.15,4.22,3.58,2.80,3.45,4.06,5.00,4.49
Debt / Equity Ratio,0.64,0.67,0.68,0.65,0.69,0.65,0.64,0.61,0.52,0.48,0.49,0.61,0.57,0.56,0.57,0.46,0.64,0.74,0.79,0.53,0.48,0.48,0.50,0.57,0.58,0.56,0.64,0.60,0.59,0.92,1.44,0.80,1.27,1.06,0.93,0.63,0.52,0.43,0.44,0.40,0.40
Quick Ratio,1.74,2.02,2.94,2.21,2.35,2.38,2.22,2.76,5.00,4.86,3.36,2.29,1.38,0.71,0.58,0.76,1.03,0.74,0.45,0.73,0.56,0.95,0.92,1.06,1.03,0.81,0.51,0.63,0.66,0.44,0.36,0.40,0.33,0.49,0.53,1.04,1.40,1.09,0.57,0.92,0.92
