,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,-,"14,942","19,246","26,453","32,691","36,698","42,233","44,912","47,004","39,242","30,248","29,927","34,496","38,164","41,500","46,237","48,203","48,512"
Market Cap Growth,-,-,-,-,-,145.61%,119.44%,69.78%,43.78%,6.93%,-28.38%,-33.37%,-26.61%,-2.75%,37.20%,54.50%,39.74%,-
Enterprise Value,49,"26,129","29,259","35,255","40,445","44,450","49,963","52,444","54,240","44,690","36,288","36,345","40,347","44,173","47,565","51,585","52,872","53,181"
PE Ratio,-,8.25,14.93,17.20,16.49,16.17,16.92,20.19,28.25,14.76,11.02,8.34,9.76,15.10,19.27,38.56,35.73,34.18
PS Ratio,-,0.82,1.12,1.52,1.87,2.01,2.14,2.24,2.28,1.91,1.49,1.46,1.69,1.81,1.90,2.09,2.18,2.20
PB Ratio,-,5.54,4.78,5.19,5.23,5.66,6.25,6.51,6.95,5.53,4.52,4.18,4.45,4.69,5.21,5.65,5.56,5.59
P/FCF Ratio,-,7.31,9.62,11.44,23.69,24.27,27.59,38.85,24.83,26.09,30.62,25.32,24.82,22.48,20.32,20.17,22.55,22.69
P/OCF Ratio,-,6.52,8.56,10.30,19.32,20.06,22.45,29.49,21.01,21.20,22.88,19.52,19.79,18.48,17.17,17.33,18.49,18.61
Debt / Equity Ratio,0.07,4.43,3.16,2.48,1.74,1.60,1.53,1.48,1.51,1.27,1.35,1.31,1.21,1.15,1.16,1.13,1.69,1.69
Quick Ratio,0.82,0.77,1.12,1.30,1.15,1.06,1.03,0.88,0.81,1.12,1.05,1.00,1.05,1.07,1.03,1.09,1.81,1.81
Current Ratio,1.33,1.34,1.68,1.80,1.67,1.62,1.56,1.86,1.72,1.74,1.67,1.62,1.64,1.71,1.63,1.66,2.73,2.73
Interest Coverage,-,8.81,5.53,12.39,15.30,6.25,11.15,11.23,6.84,36.00,13.18,26.89,7.83,11.76,6.79,12.18,12.49,10.45
Return on Capital (ROIC),,11.96%,10.83%,7.41%,7.57%,7.25%,9.19%,10.03%,9.31%,9.82%,10.63%,11.46%,12.05%,11.48%,10.82%,10.23%,9.41%,6.70%
Dividend Yield,-,0.00%,0.40%,0.30%,0.70%,0.70%,0.90%,0.90%,0.90%,1.10%,1.60%,1.60%,1.50%,1.40%,1.40%,1.30%,1.00%,1.41%
Payout Ratio,0.00%,0.00%,26.70%,0.00%,19.60%,0.00%,42.90%,0.00%,71.10%,0.00%,44.10%,0.00%,101.50%,0.00%,154.20%,0.00%,37.00%,48.10%
Buyback Yield / Dilution,-,-0.02%,-0.54%,-1.77%,-3.00%,-2.72%,-2.30%,-1.19%,0.41%,1.76%,3.17%,3.98%,4.12%,2.51%,1.37%,0.21%,-0.23%,0.95%
Total Shareholder Return,-,-0.02%,-0.14%,-1.47%,-2.30%,-2.02%,-1.40%,-0.29%,1.31%,2.86%,4.77%,5.58%,5.62%,3.91%,2.77%,1.51%,0.77%,2.36%
