,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Net Income,400,784,492,440,96,261,741,884,384,487,469,324,"1,379",573,"1,312",270,373,199,357,420
Depreciation & Amortization,85,82,84,84,81,78,82,95,83,85,83,87,79,76,102,123,136,137,134,135
Share-Based Compensation,8,14,18,12,13,22,21,21,19,21,20,32,21,20,17,19,22,18,23,18
Other Operating Activities,-676,-326,24,538,-143,148,93,-801,-302,-32,7,470,"-1,681",-637,-641,711,-411,30,527,489
Operating Cash Flow,-183,554,618,"1,074",47,509,937,199,184,561,579,913,-202,32,790,"1,123",120,384,"1,041","1,062"
Operating Cash Flow Growth,-,-,-,-,-,-8.12%,51.62%,-81.47%,291.49%,10.22%,-38.21%,358.79%,-,-94.30%,36.44%,23.00%,-,1100.00%,31.77%,-5.43%
Capital Expenditures,-41,-48,-50,-104,-48,-46,-57,-161,-53,-79,-74,-138,-56,-66,-91,-140,-70,-74,-92,-233
Acquisitions,1,-1,0,0,0,0,0,0,-6,-160,-45,-155,"2,926",-20,-434,-180,-17,-137,5,-15
Change in Investments,0,1,-1,6,-95,72,390,"1,050",8,-14,-12,29,-32,-91,-79,8,-18,4,-52,16
Other Investing Activities,-3,11,-19,-11,15,-1,-,-13,2,1,6,-2,-18,2,4,12,5,11,4,3
Investing Cash Flow,-43,-37,-70,-109,-128,25,333,876,-49,-252,-125,-266,"2,820",-175,-600,-300,-100,-196,-135,-229
Dividends Paid,0,0,0,0,0,0,-70,-68,-104,-105,-104,-104,-129,-128,-127,-125,-154,-155,-156,-155
Share Issuance / Repurchase,0,0,0,0,0,0,0,0,-36,-94,-145,-252,-734,-280,-247,-119,-62,0,0,0
Debt Issued / Paid,57,28,-34,-57,"10,883",798,-65,"-1,766",-491,-53,-43,36,"-1,142",14,239,-94,13,-38,-11,"5,519"
Other Financing Activities,-114,-463,-569,-830,"-10,959",593,-7,-20,-12,-3,-35,-17,-15,-20,-15,-9,-10,-100,-15,-64
Financing Cash Flow,-57,-435,-603,-887,-76,"1,391",-142,"-1,854",-643,-255,-327,-337,"-2,020",-414,-150,-347,-213,-293,-182,"5,300"
Exchange Rate Effect,16,-9,-19,13,-28,11,17,45,-9,7,-13,-1,-1,-40,-74,59,20,-33,-32,133
Net Cash Flow,-267,73,-74,91,-185,"1,936","1,145",-734,-517,61,114,249,597,-597,-34,535,-173,-138,692,"6,109"
Free Cash Flow,-224,506,568,970,-1,463,880,38,131,482,505,775,-258,-34,699,983,50,310,949,829
Free Cash Flow Growth,-,-,-,-,-,-8.50%,54.93%,-96.08%,-,4.10%,-42.61%,1939.47%,-,-,38.42%,26.84%,-,-,35.77%,-15.67%
Free Cash Flow Margin,-5.18%,10.20%,11.78%,21.55%,-0.03%,11.66%,17.59%,0.83%,2.79%,8.86%,9.46%,15.10%,-5.54%,-0.65%,12.82%,19.26%,0.95%,5.17%,16.56%,16.25%
Free Cash Flow Per Share,-0.26,0.58,0.66,1.12,-0.00,0.54,1.02,0.04,0.15,0.56,0.58,0.90,-0.30,-0.04,0.83,1.18,0.06,0.37,1.13,0.99
