,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Revenue,259.2,402,573.3,718.5,"1,032","1,476","1,927","2,449","2,910","3,622"
Revenue Growth (YoY),62.00%,55.09%,42.61%,25.33%,43.58%,43.08%,30.54%,27.08%,18.84%,24.49%
Cost of Revenue,82.9,123.6,194.9,226.4,367.7,544.5,646.6,768,"1,027","1,333"
Gross Profit,176.3,278.4,378.4,492.1,663.9,931.5,"1,280","1,681","1,883","2,289"
"Selling, General & Admin",128.4,198,286.2,349.2,432.8,515.7,618.2,810.5,"1,008","1,185"
Research & Development,69.4,137.5,156.1,185.4,199.7,273.5,359.9,517.1,484.2,505.8
Other Operating Expenses,0,0,0,0,217.7,0,2.5,87.1,0,0
Operating Expenses,197.8,335.5,442.3,534.6,850.2,789.2,980.6,"1,415","1,492","1,691"
Operating Income,-21.5,-57.1,-63.9,-42.5,-186.3,142.3,299.5,265.8,391.2,597.7
Interest Expense / Income,0.8,0.4,0.7,12.8,22.7,60.3,17.7,18.8,18.6,20.3
Other Expense / Income,-,-,0.3,-6.7,-82.5,-22.2,-16.1,-9.8,-18.2,-133
Pretax Income,-22.3,-57.5,-64.9,-48.6,-126.5,104.2,297.9,256.8,390.8,710.4
Income Tax,0.1,0.1,0.7,1.6,0.6,3.1,-251.8,39.9,49.6,168.9
Net Income,-22.4,-57.6,-65.6,-50.2,-127.1,101.1,549.7,216.9,341.2,541.5
Net Income Growth,-,-,-,-,-,-,443.72%,-60.54%,57.31%,58.70%
Shares Outstanding (Basic),301,319,334,345,353,364,378,387,389,386
Shares Outstanding (Diluted),301,319,334,345,353,369,420,429,428,426
Shares Change,5.77%,6.12%,4.76%,3.23%,2.20%,4.65%,13.87%,2.00%,-0.30%,-0.47%
EPS (Basic),-0.07,-0.18,-0.20,-0.14,-0.36,0.28,1.46,0.56,0.88,1.40
EPS (Diluted),-0.07,-0.18,-0.20,-0.14,-0.36,0.28,1.33,0.53,0.82,1.30
EPS Growth,-,-,-,-,-,-,383.64%,-60.15%,54.72%,58.54%
Free Cash Flow,7.4,15.7,0.5,26,56.1,134.5,276.6,53.3,304.7,511.9
Free Cash Flow Per Share,0.03,0.05,0.00,0.07,0.16,0.37,0.73,0.14,0.78,1.33
Gross Margin,68.02%,69.25%,66.00%,68.49%,64.36%,63.11%,66.44%,68.63%,64.72%,63.19%
Operating Margin,-8.29%,-14.20%,-11.15%,-5.92%,-18.06%,9.64%,15.54%,10.86%,13.44%,16.50%
Profit Margin,-8.64%,-14.33%,-11.44%,-6.99%,-12.32%,6.85%,28.53%,8.86%,11.73%,14.95%
Free Cash Flow Margin,2.85%,3.91%,0.09%,3.62%,5.44%,9.11%,14.36%,2.18%,10.47%,14.13%
Effective Tax Rate,-,-,-,-,-,2.98%,-84.53%,15.54%,12.69%,23.78%
EBITDA,-13.1,-46.3,-49.2,-19.7,-74.7,213.2,382.7,377.6,565.3,916.7
EBITDA Margin,-5.05%,-11.52%,-8.58%,-2.74%,-7.24%,14.44%,19.86%,15.42%,19.43%,25.31%
Depreciation & Amortization,8.4,10.8,15,16.1,29.1,48.7,67.1,102,155.9,186
EBIT,-21.5,-57.1,-64.2,-35.8,-103.8,164.5,315.6,275.6,409.4,730.7
EBIT Margin,-8.29%,-14.20%,-11.20%,-4.98%,-10.06%,11.14%,16.38%,11.26%,14.07%,20.17%
