,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"4,215","6,658","5,046","4,987","10,644","20,021","35,503","52,042","43,740","47,945","45,125"
Market Cap Growth,65.81%,57.97%,-24.21%,-1.16%,113.41%,88.10%,77.33%,46.58%,-15.95%,9.61%,-
Enterprise Value,"4,135","6,545","4,922","4,766","10,268","19,633","34,581","51,412","43,369","47,756","44,936"
PE Ratio,-188.16,-115.59,-76.92,-99.35,-83.74,198.03,64.59,239.94,128.19,88.54,90.04
PS Ratio,16.26,16.56,8.80,6.94,10.32,13.56,18.43,21.26,15.03,13.24,12.46
PB Ratio,30.06,30.10,17.78,11.89,16.05,22.68,19.44,25.49,20.52,23.18,21.81
P/FCF Ratio,569.56,424.08,10092.19,191.82,189.72,148.85,128.36,976.40,143.55,93.66,88.15
P/OCF Ratio,178.59,135.88,89.79,54.21,86.39,63.66,74.65,117.61,65.33,64.05,60.29
EV/Sales Ratio,15.95,16.28,8.59,6.63,9.95,13.30,17.95,21.00,14.90,13.18,12.41
EV/EBITDA Ratio,-315.63,-141.36,-100.05,-241.95,-137.46,92.09,90.36,136.15,76.72,52.10,49.02
EV/EBIT Ratio,-192.31,-114.63,-76.67,-133.14,-98.92,119.35,109.57,186.55,105.93,65.36,61.50
EV/FCF Ratio,558.75,416.89,9844.79,183.32,183.03,145.97,125.02,964.58,142.33,93.29,87.78
Debt / Equity Ratio,0.03,0.01,-,0.78,1.52,1.30,0.98,1.03,0.98,1.23,1.23
Debt / EBITDA Ratio,-0.35,-0.05,-,-16.63,-13.52,5.37,4.67,5.56,3.69,2.77,2.77
Debt / FCF Ratio,0.62,0.15,-,12.60,18.01,8.52,6.46,39.42,6.84,4.95,4.95
Quick Ratio,3.13,2.83,2.20,4.92,7.25,5.05,5.11,4.50,1.72,2.38,2.38
Current Ratio,3.59,3.46,2.73,5.36,7.64,5.47,5.58,5.11,2.00,2.84,2.84
Asset Turnover,1.70,1.68,1.64,0.96,0.84,0.69,0.55,0.53,0.57,0.57,0.57
Interest Coverage,-26.87,-142.75,-91.71,-2.80,-4.57,2.73,17.83,14.66,22.01,36.00,36.00
Return on Equity (ROE),-20.10%,-31.40%,-25.60%,-14.00%,-23.90%,13.50%,39.20%,10.70%,16.20%,25.00%,25.00%
Return on Assets (ROA),-14.70%,-24.10%,-18.80%,-6.70%,-10.30%,4.70%,15.60%,4.70%,6.60%,8.60%,8.60%
Return on Capital (ROIC),-14.85%,-25.55%,-22.52%,-5.69%,-11.13%,6.81%,15.30%,5.42%,8.10%,9.90%,9.90%
Earnings Yield,-0.53%,-0.87%,-1.30%,-1.01%,-1.19%,0.50%,1.55%,0.42%,0.78%,1.13%,1.20%
FCF Yield,0.18%,0.24%,0.01%,0.52%,0.53%,0.67%,0.78%,0.10%,0.70%,1.07%,1.13%
Buyback Yield / Dilution,-5.77%,-6.12%,-4.76%,-3.23%,-2.20%,-4.65%,-13.87%,-2.00%,0.30%,0.47%,0.47%
Total Shareholder Return,-5.77%,-6.12%,-4.76%,-3.23%,-2.20%,-4.65%,-13.87%,-2.00%,0.30%,0.47%,0.47%
