,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"5,353","5,351","6,006","14,136","10,977","13,303","10,028","13,906","13,310","18,848","19,706"
Market Cap Growth,18.14%,-0.02%,12.24%,135.35%,-22.35%,21.20%,-24.62%,38.67%,-4.29%,41.61%,-
Enterprise Value,"5,205","5,249","5,909","15,183","11,881","13,917","11,027","14,956","14,657","19,837","20,696"
PE Ratio,28.41,26.22,32.48,35.63,26.01,35.70,21.47,26.37,56.86,24.88,26.18
PS Ratio,8.67,8.06,8.54,6.34,3.96,5.33,2.93,3.98,3.36,5.00,5.22
PB Ratio,21.41,20.61,18.89,4.54,3.39,3.97,3.00,3.86,3.84,4.73,4.95
P/FCF Ratio,25.19,25.98,32.43,41.96,22.02,22.26,7.11,25.48,22.51,18.29,19.12
P/OCF Ratio,20.38,21.82,26.16,37.76,20.53,21.02,6.87,23.30,20.44,17.52,18.32
EV/Sales Ratio,8.43,7.91,8.40,6.81,4.29,5.58,3.22,4.28,3.70,5.26,5.48
EV/EBITDA Ratio,14.88,14.18,16.51,26.68,14.61,19.40,12.87,15.39,22.22,15.64,16.32
EV/EBIT Ratio,16.81,16.20,18.85,40.29,19.50,25.73,15.80,18.60,29.74,17.87,18.64
EV/FCF Ratio,24.49,25.48,31.91,45.07,23.84,23.28,7.81,27.40,24.79,19.25,20.08
Debt / Equity Ratio,-,-,-,0.40,0.38,0.27,0.40,0.40,0.54,0.40,0.40
Debt / EBITDA Ratio,-,-,-,2.18,1.49,1.27,1.56,1.47,2.84,1.25,1.25
Debt / FCF Ratio,-,-,-,3.67,2.44,1.53,0.95,2.62,3.16,1.54,1.54
Quick Ratio,2.95,2.30,1.94,1.22,1.00,1.90,0.51,0.60,0.61,0.68,0.68
Current Ratio,3.31,2.76,2.62,1.30,1.15,2.16,1.19,1.31,1.05,1.43,1.43
Asset Turnover,1.59,1.75,1.64,0.42,0.53,0.48,0.59,0.49,0.53,0.50,0.50
Interest Coverage,-,-,54.98,9.12,15.95,15.07,18.56,16.75,8.22,17.79,17.79
Return on Equity (ROE),72.10%,82.40%,66.00%,13.70%,13.30%,11.20%,14.10%,15.10%,6.90%,20.20%,20.20%
Return on Assets (ROA),48.60%,53.70%,43.00%,7.50%,8.00%,7.20%,8.10%,7.40%,3.10%,10.00%,10.00%
Return on Capital (ROIC),76.87%,77.95%,56.95%,10.24%,10.01%,9.33%,10.02%,11.20%,4.98%,13.79%,13.79%
Earnings Yield,3.52%,3.81%,3.08%,2.81%,3.85%,2.80%,4.66%,3.79%,1.76%,4.02%,3.84%
FCF Yield,3.97%,3.85%,3.08%,2.38%,4.54%,4.49%,14.07%,3.92%,4.44%,5.47%,5.23%
Dividend Yield,1.20%,1.40%,1.30%,0.80%,1.20%,1.10%,1.70%,1.40%,1.60%,1.20%,1.18%
Payout Ratio,35.30%,35.80%,42.30%,28.10%,30.70%,40.00%,36.40%,36.50%,89.10%,29.30%,30.86%
Buyback Yield / Dilution,2.20%,2.70%,2.05%,-32.06%,-4.37%,0.36%,2.24%,1.92%,0.47%,0.47%,0.47%
Total Shareholder Return,3.40%,4.10%,3.35%,-31.26%,-3.17%,1.46%,3.94%,3.32%,2.07%,1.67%,1.65%
