,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"16,652","16,100","20,730","26,809","24,414","32,089","39,120","52,304","45,310","59,310","63,297"
Market Cap Growth,17.97%,-3.31%,28.75%,29.33%,-8.93%,31.44%,21.91%,33.70%,-13.37%,30.90%,-
Enterprise Value,"17,979","17,154","22,567","28,598","26,693","34,787","41,249","55,862","48,454","61,988","65,974"
PE Ratio,23.48,21.09,25.19,41.21,20.26,27.78,32.51,32.88,23.82,30.76,33.93
PS Ratio,3.12,2.89,3.30,3.82,2.98,3.90,4.55,4.81,3.59,4.72,5.04
PB Ratio,5.73,4.97,5.64,6.72,6.08,7.08,7.27,8.30,6.46,7.11,7.58
P/FCF Ratio,24.58,18.57,23.19,29.09,30.25,26.42,29.46,44.20,25.22,27.46,29.31
P/OCF Ratio,18.90,15.62,19.24,23.43,21.94,21.36,24.57,33.96,20.84,23.45,25.03
EV/Sales Ratio,3.36,3.08,3.59,4.08,3.25,4.23,4.80,5.14,3.84,4.94,5.25
EV/EBITDA Ratio,14.80,13.36,15.88,17.21,13.50,18.15,21.26,22.25,16.29,20.78,22.12
EV/EBIT Ratio,17.18,15.42,18.74,19.94,15.91,21.68,25.27,26.41,18.77,24.06,25.60
EV/FCF Ratio,26.54,19.78,25.25,31.03,33.07,28.64,31.06,47.20,26.97,28.70,30.54
Debt / Equity Ratio,0.91,0.87,0.82,0.89,0.89,0.80,0.72,0.76,0.65,0.52,0.52
Debt / EBITDA Ratio,2.19,2.19,2.12,2.13,1.81,1.88,1.99,1.91,1.54,1.45,1.45
Debt / FCF Ratio,3.92,3.24,3.37,3.84,4.42,2.97,2.91,4.06,2.55,2.01,2.01
Quick Ratio,2.35,2.84,1.54,2.12,1.26,1.24,1.60,1.51,1.52,1.36,1.36
Current Ratio,3.30,3.82,2.20,2.95,1.87,1.98,2.38,2.44,2.42,2.17,2.17
Asset Turnover,0.80,0.76,0.77,0.75,0.85,0.78,0.73,0.76,0.84,0.80,0.80
Interest Coverage,13.02,16.29,16.58,15.54,16.50,13.64,14.14,18.32,20.10,18.47,18.47
Return on Equity (ROE),24.20%,24.60%,23.00%,16.60%,30.70%,27.20%,24.60%,27.20%,28.70%,24.90%,24.90%
Return on Assets (ROA),10.70%,10.50%,10.00%,6.90%,12.50%,10.90%,10.20%,11.10%,12.60%,12.30%,12.30%
Return on Capital (ROIC),13.64%,13.35%,13.11%,9.19%,16.99%,15.46%,14.05%,15.08%,17.30%,15.96%,15.96%
Earnings Yield,4.26%,4.74%,3.97%,2.43%,4.94%,3.60%,3.08%,3.04%,4.20%,3.25%,3.05%
FCF Yield,4.07%,5.39%,4.31%,3.44%,3.31%,3.79%,3.39%,2.26%,3.96%,3.64%,3.41%
Dividend Yield,0.80%,1.00%,0.90%,0.80%,1.10%,0.90%,0.80%,0.90%,1.10%,0.90%,0.83%
Payout Ratio,19.90%,21.50%,21.70%,32.90%,22.00%,24.70%,25.70%,29.30%,25.40%,26.30%,28.30%
Buyback Yield / Dilution,1.26%,1.22%,0.41%,-0.41%,1.23%,1.49%,0.15%,-1.71%,0.72%,0.06%,0.06%
Total Shareholder Return,2.06%,2.22%,1.31%,0.39%,2.33%,2.39%,0.95%,-0.81%,1.82%,0.96%,0.90%
