,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Net Income,-115,"1,156","2,106","1,496","1,958","2,123","2,339","3,024","3,248","2,626"
Depreciation & Amortization,134,157,181,180,206,204,206,178,"1,013","1,143"
Share-Based Compensation,100,78,76,99,94,78,90,122,214,171
Other Operating Activities,"1,108","-1,164",-803,241,-194,371,932,274,"-1,872",-230
Operating Cash Flow,"1,227",227,"1,560","2,016","2,064","2,776","3,567","3,598","2,603","3,710"
Operating Cash Flow Growth,122.69%,-81.50%,587.22%,29.23%,2.38%,34.50%,28.49%,0.87%,-27.65%,42.53%
Capital Expenditures,-92,-139,-115,-123,-113,-115,-76,-35,-89,-143
Acquisitions,12,"-2,382","1,287",-81,-395,-6,-183,-83,"3,719",718
Change in Investments,15,-4,-1,-5,-5,-10,19,-2,-2,-13
Other Investing Activities,320,-,-,-,-,-,-,-,-,-
Investing Cash Flow,255,"-2,525","1,171",-209,-513,-131,-240,-120,"3,628",562
Dividends Paid,-326,-363,-380,-421,-503,-560,-645,-743,"-1,024","-1,147"
Share Issuance / Repurchase,-169,-888,"-1,035",-926,"-1,626","-1,200","-1,148",13,"-11,997","-3,288"
Debt Issued / Paid,0,"2,817",-71,0,86,218,-118,0,"1,665",556
Other Financing Activities,33,-217,-176,-160,-245,-209,-255,-283,30,-401
Financing Cash Flow,-462,"1,349","-1,662","-1,507","-2,288","-1,751","-2,166","-1,013","-11,326","-4,280"
Exchange Rate Effect,-65,-67,-158,87,-84,34,75,-82,-123,12
Net Cash Flow,955,"-1,016",911,387,-821,928,"1,236","2,383","-5,218",4
Free Cash Flow,"1,135",88,"1,445","1,893","1,951","2,661","3,491","3,563","2,514","3,567"
Free Cash Flow Growth,161.52%,-92.25%,1542.05%,31.00%,3.06%,36.39%,31.19%,2.06%,-29.44%,41.89%
Free Cash Flow Margin,22.47%,1.66%,25.53%,31.22%,31.18%,39.72%,46.91%,42.94%,22.48%,28.54%
Free Cash Flow Per Share,4.18,0.32,5.50,7.39,7.78,10.84,14.48,14.80,7.93,11.20
