,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"24,158","26,646","27,864","43,197","42,638","66,733","79,092","113,735","109,123","139,557","133,043"
Market Cap Growth,14.08%,10.30%,4.57%,55.03%,-1.29%,56.51%,18.52%,43.80%,-4.05%,27.89%,-
Enterprise Value,"22,453","28,770","29,028","43,975","44,324","68,387","79,615","111,825","119,355","150,240","143,726"
PE Ratio,-210.07,23.05,13.23,28.88,21.78,31.43,33.82,37.61,33.60,53.14,51.47
PS Ratio,4.78,5.01,4.92,7.13,6.81,9.96,10.63,13.71,9.76,11.17,10.65
PB Ratio,49.50,137.35,42.87,60.93,67.90,139.32,155.39,55.97,3.00,4.08,3.89
P/FCF Ratio,21.28,302.80,19.28,22.82,21.85,25.08,22.66,31.92,43.41,39.12,37.30
P/OCF Ratio,19.69,117.38,17.86,21.43,20.66,24.04,22.17,31.61,41.92,37.62,35.86
EV/Sales Ratio,4.45,5.42,5.13,7.25,7.08,10.21,10.70,13.48,10.67,12.02,11.50
EV/EBITDA Ratio,69.51,14.66,8.47,16.61,15.51,22.10,23.55,26.49,20.78,30.78,29.45
EV/EBIT Ratio,118.80,15.94,8.94,17.82,16.71,23.66,25.08,27.65,25.22,40.19,38.45
EV/FCF Ratio,19.78,326.93,20.09,23.23,22.72,25.70,22.81,31.39,47.48,42.12,40.29
Debt / Equity Ratio,1.63,18.61,5.48,5.03,5.83,9.54,9.14,2.27,0.32,0.35,0.35
Debt / EBITDA Ratio,2.46,1.84,1.04,1.35,1.28,1.48,1.38,1.09,2.01,2.46,2.46
Debt / FCF Ratio,0.70,41.03,2.47,1.89,1.88,1.72,1.33,1.29,4.59,3.36,3.36
Quick Ratio,0.88,0.85,1.35,1.28,1.30,1.45,1.60,2.14,0.63,0.68,0.68
Current Ratio,1.01,1.13,1.41,1.35,1.36,1.52,1.67,2.31,0.95,0.84,0.84
Asset Turnover,0.81,0.76,0.67,0.68,0.69,0.65,0.65,0.60,0.18,0.21,0.21
Interest Coverage,3.20,17.70,17.94,16.56,19.79,20.50,22.51,33.98,15.57,11.19,11.19
Return on Equity (ROE),-9.50%,214.70%,492.60%,178.30%,368.90%,510.30%,1027.00%,195.90%,8.50%,7.40%,7.40%
Return on Assets (ROA),-1.80%,16.60%,24.90%,16.80%,21.40%,20.50%,20.50%,21.80%,5.10%,4.30%,4.30%
Return on Capital (ROIC),-8.41%,34.20%,54.46%,38.95%,50.57%,49.35%,54.03%,48.99%,7.53%,6.65%,6.65%
Earnings Yield,-0.48%,4.34%,7.56%,3.46%,4.59%,3.18%,2.96%,2.66%,2.98%,1.88%,1.97%
FCF Yield,4.70%,0.33%,5.19%,4.38%,4.58%,3.99%,4.41%,3.13%,2.30%,2.56%,2.68%
Dividend Yield,1.30%,1.30%,1.30%,1.00%,1.20%,0.80%,0.80%,0.70%,1.00%,0.80%,0.86%
Payout Ratio,-285.70%,31.00%,18.00%,28.10%,25.60%,26.40%,27.60%,24.50%,32.40%,43.60%,44.23%
Buyback Yield / Dilution,2.97%,-1.14%,3.42%,2.38%,2.20%,2.49%,1.94%,0.12%,-31.72%,-0.13%,-0.13%
Total Shareholder Return,4.27%,0.16%,4.72%,3.38%,3.40%,3.29%,2.74%,0.82%,-30.72%,0.67%,0.73%
