,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"53,069","61,506","71,812","69,403","102,237","129,632","153,814","199,081","235,577","241,184","321,255"
Market Cap Growth,8.63%,15.90%,16.76%,-3.35%,47.31%,26.80%,18.65%,29.43%,18.33%,2.38%,-
Enterprise Value,"50,847","61,222","72,244","70,197","101,555","127,011","150,676","197,039","233,567","234,834","312,738"
PE Ratio,25.79,25.88,30.56,25.91,32.62,35.43,38.43,39.76,40.31,38.33,49.35
PS Ratio,0.47,0.53,0.61,0.54,0.72,0.85,0.92,1.02,1.04,1.00,1.31
PB Ratio,4.31,5.79,5.95,6.44,7.99,8.50,8.41,11.34,11.41,9.63,12.29
P/FCF Ratio,26.65,32.51,111.68,16.43,36.45,38.60,25.42,37.07,67.29,35.76,36.49
P/OCF Ratio,13.32,14.35,21.81,10.32,17.71,20.40,17.36,22.22,31.87,21.79,24.51
EV/Sales Ratio,0.45,0.53,0.61,0.54,0.72,0.83,0.90,1.01,1.03,0.97,1.27
EV/EBITDA Ratio,11.80,12.69,14.50,12.74,16.95,19.96,20.62,22.27,22.89,21.09,27.21
EV/EBIT Ratio,15.50,16.56,19.39,16.96,22.29,26.08,27.55,29.07,29.46,27.16,34.80
EV/FCF Ratio,25.54,32.36,112.35,16.62,36.21,37.82,24.90,36.69,66.71,34.82,35.53
Debt / Equity Ratio,0.41,0.58,0.43,0.61,0.51,0.45,0.56,0.58,0.44,0.35,0.36
Debt / EBITDA Ratio,1.18,1.27,1.04,1.19,1.10,1.07,1.39,1.15,0.89,0.80,0.81
Debt / FCF Ratio,2.56,3.24,8.03,1.56,2.34,2.03,1.68,1.89,2.58,1.32,1.06
Quick Ratio,0.59,0.46,0.38,0.41,0.45,0.47,0.60,0.47,0.42,0.52,0.55
Current Ratio,1.22,1.01,0.98,0.99,1.02,1.01,1.13,1.00,1.02,1.07,1.09
Asset Turnover,3.48,3.45,3.52,3.58,3.57,3.48,3.22,3.38,3.56,3.61,3.56
Interest Coverage,29.03,29.81,28.02,30.88,28.65,32.47,34.19,39.64,50.17,54.04,54.80
Return on Equity (ROE),17.60%,21.70%,20.70%,23.80%,26.20%,25.80%,23.70%,31.00%,29.80%,27.10%,26.70%
Return on Assets (ROA),6.40%,7.10%,7.00%,7.40%,7.90%,8.30%,7.70%,8.60%,9.20%,9.40%,9.40%
Return on Capital (ROIC),12.03%,14.40%,13.93%,15.85%,16.48%,16.64%,14.40%,18.35%,19.75%,17.72%,17.37%
Earnings Yield,3.88%,3.86%,3.27%,3.86%,3.07%,2.82%,2.60%,2.52%,2.48%,2.61%,2.03%
FCF Yield,3.75%,3.08%,0.90%,6.09%,2.74%,2.59%,3.93%,2.70%,1.49%,2.80%,2.74%
Dividend Yield,1.10%,4.70%,1.00%,5.60%,0.90%,0.80%,0.80%,2.90%,0.60%,0.70%,0.56%
Payout Ratio,28.40%,120.30%,31.70%,145.70%,29.90%,29.30%,29.80%,114.90%,25.70%,27.10%,27.81%
Buyback Yield / Dilution,-0.45%,-0.05%,0.33%,0.07%,-0.20%,-0.25%,-0.22%,-0.10%,-0.09%,0.07%,0.03%
Total Shareholder Return,0.65%,4.65%,1.33%,5.67%,0.70%,0.55%,0.58%,2.80%,0.51%,0.77%,0.59%
