,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"20,001","20,288","19,256","21,153","24,317","25,825","20,232","18,857","18,089","15,876","16,618","17,865","19,630","22,167","22,271","21,597","21,550","21,933","26,451","20,107","23,878","31,379","33,014","37,833","30,819","39,579","36,550","45,379","52,844","70,052","84,024","93,995","93,215","64,534","62,134","55,104","65,534","70,516","81,208","99,232","90,872"
Market Cap Growth,77.23%,65.55%,31.20%,11.64%,21.58%,27.29%,5.07%,-10.86%,-25.61%,-38.53%,-17.86%,-5.26%,8.52%,39.63%,34.02%,20.89%,9.78%,-1.05%,18.77%,-6.90%,10.80%,43.06%,24.81%,88.16%,29.07%,26.13%,10.71%,19.95%,71.47%,76.99%,129.89%,107.13%,76.40%,-7.88%,-26.05%,-41.38%,-29.70%,9.27%,30.70%,80.08%,-
Enterprise Value,"29,417","28,096","26,249","28,708","32,332","29,539","25,052","23,177","23,124","21,178","22,143","24,970","27,218","31,671","33,611","34,539","29,252","30,601","34,875","28,073","33,124","41,353","42,537","47,438","39,855","49,161","40,194","49,722","56,457","74,077","87,440","100,589","99,348","70,863","69,216","64,313","76,051","80,568","91,329","99,232","99,232"
PE Ratio,18.82,9.81,19.22,9.59,9.66,48.12,-19.86,23.47,30.14,19.98,13.28,12.14,10.63,16.17,14.47,19.17,14.64,7.39,14.94,-462.53,12.40,25.65,10.59,19.58,-7.22,17.41,11.50,15.15,7.56,13.38,14.98,16.80,9.33,-63.08,4198.27,24.69,77.76,14.65,36.78,0,49.19
PS Ratio,3.37,3.01,2.79,3.24,3.25,3.93,3.78,4.36,6.43,5.76,4.28,4.07,3.80,4.04,3.89,3.65,3.73,3.27,3.88,3.47,3.94,6.17,6.61,6.13,13.32,12.60,8.89,8.67,4.61,5.31,5.53,5.64,5.67,4.84,6.31,7.73,14.39,11.27,10.61,-,14.82
PB Ratio,3.15,3.01,2.87,3.00,3.26,3.62,3.10,3.01,2.97,2.58,2.64,2.77,2.95,3.40,3.38,3.25,3.31,3.11,3.79,3.15,3.69,4.97,4.92,5.40,5.72,6.99,5.91,6.82,6.74,8.33,9.28,9.98,9.65,7.48,8.19,7.20,9.24,9.77,11.39,0,0
P/FCF Ratio,5.88,5.04,6.75,13.02,18.96,18.73,22.40,8.07,9.50,16.12,10.03,-31.73,-31.63,-13.09,-7.35,-8.73,-4.91,-5.17,-13.25,734.77,12.48,10.61,12.23,19.88,11.09,12.74,17.13,24.87,16.97,19.90,16.72,23.97,21.49,12.18,13.51,9.03,17.75,20.08,-,-,46.65
P/OCF Ratio,5.84,5.01,6.68,12.78,18.56,18.29,20.84,7.87,9.18,15.21,9.92,-33.01,-32.79,-13.24,-7.40,-8.82,-4.93,-5.19,-13.33,439.58,12.27,10.46,11.97,19.27,10.88,12.53,16.50,23.44,16.34,19.24,16.44,23.58,21.00,11.89,12.93,8.70,16.63,18.67,-,-,43.72
Debt / Equity Ratio,1.61,1.34,1.18,1.27,1.23,0.82,0.95,0.98,1.05,1.10,1.16,1.38,1.49,1.73,1.92,2.25,1.45,1.47,1.48,1.59,1.67,1.82,1.79,1.68,2.06,2.04,1.02,0.95,0.83,0.77,0.93,0.92,1.04,1.22,1.39,1.76,1.88,1.85,1.84,0,0
Quick Ratio,0.21,0.23,0.18,0.20,0.22,0.35,0.32,0.36,0.33,0.34,0.33,0.37,0.44,0.37,0.34,0.38,0.36,0.36,0.36,0.38,0.34,0.32,0.40,0.40,5.47,5.34,7.37,8.49,8.17,5.15,10.58,7.91,38.43,8.92,7.31,7.65,36.01,5.98,5.08,0,0
Current Ratio,0.14,0.16,0.12,0.13,0.15,0.24,0.21,0.24,0.21,0.22,0.21,0.24,0.30,0.23,0.18,0.22,0.21,0.20,0.21,0.23,0.17,0.16,0.22,0.22,5.47,5.34,7.37,8.49,8.17,5.15,10.58,7.91,35.12,8.92,7.31,7.65,32.72,5.98,5.08,0,0
Asset Turnover,Upgrade,0.05,0.07,0.04,0.06,0.07,0.04,0.00,0.04,0.04,0.04,0.05,0.05,0.06,0.04,0.05,0.04,0.05,0.08,0.05,0.02,0.06,0.04,0.05,0.05,-0.08,0.07,0.10,0.11,0.14,0.12,0.11,0.10,0.09,0.02,0.02,0.04,0.03,0.06,0.06,0
