,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"9,824","11,570","13,027","12,211","10,968","11,878","9,770","9,399","10,391","10,826","9,830"
Market Cap Growth,39.63%,17.77%,12.59%,-6.26%,-10.18%,8.30%,-17.75%,-3.80%,10.55%,4.19%,-
Enterprise Value,"10,121","12,212","13,764","13,368","12,459","13,761","10,662","9,980","11,490","12,206","11,951"
PE Ratio,22.77,24.82,27.19,24.10,27.00,22.17,14.06,23.27,16.47,20.12,22.38
PS Ratio,1.03,1.12,1.23,1.06,1.24,1.26,0.98,0.93,0.84,0.86,0.77
PB Ratio,3.53,4.11,4.52,4.37,3.90,4.01,3.26,2.81,3.03,3.14,2.69
P/FCF Ratio,16.27,22.67,23.95,21.33,22.70,19.36,16.91,17.09,16.47,21.40,15.15
P/OCF Ratio,14.79,19.53,21.16,19.00,20.11,17.35,14.94,15.69,14.64,17.98,12.51
EV/Sales Ratio,1.06,1.18,1.29,1.16,1.40,1.46,1.07,0.99,0.93,0.97,0.94
EV/EBITDA Ratio,13.01,14.23,15.72,14.43,13.84,15.95,9.78,13.75,10.77,12.66,13.49
EV/EBIT Ratio,15.57,17.30,19.21,17.67,16.26,19.13,11.78,18.48,13.41,16.23,18.27
EV/FCF Ratio,16.76,23.93,25.31,23.35,25.79,22.43,18.45,18.15,18.21,24.12,18.41
Debt / Equity Ratio,0.17,0.26,0.28,0.44,0.59,0.66,0.33,0.30,0.36,0.43,0.63
Debt / EBITDA Ratio,0.62,0.85,0.92,1.32,1.85,2.25,0.92,1.38,1.14,1.55,2.58
Debt / FCF Ratio,0.80,1.43,1.49,2.13,3.45,3.16,1.73,1.82,1.93,2.96,3.52
Quick Ratio,0.80,0.68,0.61,0.57,0.60,0.38,0.66,0.81,0.68,0.70,0.83
Current Ratio,1.83,1.64,1.51,1.44,1.44,1.30,1.58,1.66,1.67,1.79,1.97
Asset Turnover,1.80,1.72,1.71,1.74,1.21,1.16,1.40,1.33,1.51,1.49,1.41
Interest Coverage,23.60,29.34,27.55,23.72,15.01,9.46,17.82,13.17,30.61,17.09,8.72
Return on Equity (ROE),16.20%,16.50%,16.80%,17.60%,14.10%,18.20%,24.30%,13.00%,18.60%,15.10%,12.60%
Return on Assets (ROA),8.10%,7.70%,7.70%,7.60%,5.50%,6.60%,9.70%,5.30%,7.70%,6.30%,4.90%
Return on Capital (ROIC),14.35%,13.79%,13.79%,13.45%,8.50%,10.21%,14.62%,9.96%,13.97%,11.48%,8.39%
Earnings Yield,4.39%,4.03%,3.68%,4.15%,3.70%,4.51%,7.11%,4.30%,6.07%,4.97%,4.53%
FCF Yield,6.15%,4.41%,4.17%,4.69%,4.40%,5.16%,5.91%,5.85%,6.07%,4.67%,6.60%
Buyback Yield / Dilution,2.45%,2.15%,1.88%,2.69%,3.37%,2.84%,2.90%,3.92%,1.14%,2.83%,4.12%
Total Shareholder Return,2.45%,2.15%,1.88%,2.69%,3.37%,2.84%,2.90%,3.92%,1.14%,2.83%,4.12%
