,2014-02-01,2014-05-03,2014-08-02,2014-11-01,2015-01-31,2015-05-02,2015-08-01,2015-10-31,2016-01-30,2016-04-30,2016-07-30,2016-10-29,2017-01-28,2017-04-29,2017-07-29,2017-10-28,2018-02-03,2018-05-05,2018-08-04,2018-11-03,2019-02-02,2019-05-04,2019-08-03,2019-11-02,2020-02-01,2020-05-02,2020-08-01,2020-10-31,2021-01-30,2021-05-01,2021-07-31,2021-10-30,2022-01-29,2022-04-30,2022-07-30,2022-10-29,2023-01-28,2023-04-29,2023-07-29,2023-10-28
Cash & Equivalents,419.48,456.71,363.06,295.06,389.15,386.01,325.21,209.55,345.84,239.25,194.08,133.11,385.01,321.73,92.86,46.79,277.45,231.89,237.11,296.94,409.25,326.83,177.4,208.84,392.33,"1,044","1,157",560.9,"1,046",947.46,770.14,605.05,431.56,654.49,434.23,250.63,737.88,636.45,388.63,121.81
Short-Term Investments,0,0,100.15,100,150.21,150.21,150.21,150.21,130,130,110,110,30,150,180,60,120,237.19,149,0,0,195,150,0,110,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash & Cash Equivalents,419.48,456.71,463.2,395.06,539.36,536.22,475.42,359.76,475.84,369.25,304.08,243.11,415.01,471.73,272.86,106.79,397.45,469.08,386.11,296.94,409.25,521.83,327.4,208.84,502.33,"1,154","1,157",560.9,"1,046",947.46,770.14,605.05,431.56,654.49,434.23,250.63,737.88,636.45,388.63,121.81
Cash Growth,30.89%,55.76%,61.84%,63.98%,28.58%,17.41%,2.64%,-8.94%,-11.78%,-31.14%,-36.04%,-32.43%,-12.78%,27.75%,-10.27%,-56.07%,-4.23%,-0.56%,41.50%,178.07%,2.97%,11.25%,-15.21%,-29.67%,22.74%,121.06%,253.49%,168.58%,108.24%,-17.87%,-33.45%,7.87%,-58.74%,-30.92%,-43.62%,-58.58%,70.98%,-2.76%,-10.50%,-51.40%
Receivables,47.05,26.72,42.11,49.4,52.44,43.56,45.28,50.94,64.99,54.11,56,65.71,88.63,62.94,67.59,82.93,99.72,100.27,103.67,102.35,136.17,110.05,107.26,112.89,139.34,88.69,127.99,136.27,193.11,154.34,154.42,169.21,233.68,192.75,180.51,200.3,199.42,190.28,174.44,202.87
Inventory,457.93,531.43,541.51,709.67,581.23,662.94,705.66,884.41,761.79,843.49,930.21,"1,137",943.98,"1,048","1,145","1,350","1,096","1,137","1,220","1,485","1,214","1,250","1,316","1,617","1,294","1,341","1,369","1,439","1,168","1,354","1,444","1,916","1,499","1,571","1,666","2,115","1,603","1,751","1,816","2,321"
Other Current Assets,78.24,75.63,80.87,76.62,87.33,82.49,89.73,93.08,72.55,71.56,85.8,92.63,88.62,89.88,107.34,106.85,100.16,96.53,120.7,142.11,155.11,137.42,169.94,158.82,119.95,146.02,145.34,108.74,107.4,108.39,126.69,143.09,116.72,114.08,162.04,180.21,168.55,108.01,140.64,146.06
Total Current Assets,"1,003","1,090","1,128","1,231","1,260","1,325","1,316","1,388","1,375","1,338","1,376","1,538","1,536","1,673","1,592","1,646","1,694","1,803","1,830","2,026","1,915","2,019","1,921","2,097","2,055","2,729","2,799","2,245","2,515","2,564","2,495","2,834","2,281","2,532","2,443","2,746","2,709","2,686","2,519","2,792"
"Property, Plant & Equipment",595.74,603.93,646.89,686.9,717.16,744.67,791.9,844.24,847.6,870.84,919.6,"1,002","1,004","1,021","1,095","1,173","1,189","1,191","1,213","1,258","1,226","2,685","2,720","2,763","2,743","2,732","2,626","2,552","2,500","2,448","2,380","2,373","2,397","2,398","2,421","2,524","2,571","2,580","2,622","2,696"
Goodwill and Intangibles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.07,15.19,14.96,14.72,14.49,14.26,14.03,13.8,13.57,13.34,13.1,12.87,12.64,12.41,12.18,11.95,11.71,12.18,11.89,11.59,11.46
Other Long-Term Assets,4.29,4.8,5.23,5.12,5.66,8.09,7.92,7.57,8.15,9.7,10.11,10.8,11.28,13.78,14.59,15.9,25.49,28.58,30.21,32.87,35.1,47.02,55.55,53.95,51.21,55.87,58.07,60.13,61.45,62.63,67.11,68.24,74.06,70.41,69.87,50.04,78.39,98.32,95.63,95.32
Total Long-Term Assets,600.03,608.74,652.12,692.02,722.82,752.75,799.83,851.81,855.75,880.53,929.71,"1,013","1,016","1,035","1,110","1,189","1,215","1,220","1,243","1,307","1,276","2,747","2,790","2,831","2,809","2,802","2,698","2,626","2,575","2,524","2,460","2,454","2,483","2,480","2,503","2,586","2,661","2,690","2,730","2,803"
