,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,Upgrade,-,-,"37,425","22,543","22,443","21,425","11,114","19,163","18,361","19,730","19,409"
Market Cap Growth,Upgrade,-,-,-,-39.76%,-0.44%,-4.53%,-48.12%,72.42%,-4.18%,7.46%,-
Enterprise Value,Upgrade,"-3,914","3,034","36,771","23,618","26,308","27,920","19,028","24,683","23,141","24,272","23,951"
PE Ratio,Upgrade,-,-,11.84,65.53,11.76,20.42,-34.52,5.59,21.15,9.74,9.69
PS Ratio,Upgrade,-,-,1.24,0.78,0.73,0.74,0.41,0.69,0.64,0.68,0.67
PB Ratio,Upgrade,-,-,1.19,0.96,1.06,1.25,0.69,0.96,0.92,0.93,0.92
P/FCF Ratio,Upgrade,-,-,16.81,-20.07,20.37,12.33,19.85,5.15,8.86,8.96,8.81
P/OCF Ratio,Upgrade,-,-,7.40,16.89,7.57,5.36,4.96,3.26,4.00,4.46,4.38
EV/Sales Ratio,Upgrade,-0.07,0.10,1.21,0.82,0.85,0.96,0.71,0.89,0.81,0.83,0.82
EV/EBITDA Ratio,Upgrade,-0.58,0.51,4.54,6.18,7.99,6.12,7.94,3.86,6.53,4.85,4.79
EV/EBIT Ratio,Upgrade,-1.50,1.51,8.52,30.59,36.74,13.77,-83.83,6.50,21.75,10.17,10.04
EV/FCF Ratio,Upgrade,-1.00,4.35,16.52,-21.03,23.87,16.06,33.98,6.63,11.16,11.02,10.88
Debt / Equity Ratio,Upgrade,0.04,0.47,0.50,0.60,0.57,0.81,0.99,0.67,0.63,0.58,0.58
Debt / EBITDA Ratio,Upgrade,0.20,2.65,1.94,3.67,3.69,3.03,6.65,2.10,3.52,2.47,2.47
Debt / FCF Ratio,Upgrade,0.35,22.66,7.05,-12.50,11.02,7.95,28.47,3.61,6.01,5.61,5.61
Quick Ratio,Upgrade,0.69,0.97,0.87,0.85,0.67,0.54,0.61,0.58,0.51,0.52,0.52
Current Ratio,Upgrade,1.12,1.36,1.28,1.13,1.00,0.79,0.88,0.91,0.89,0.87,0.87
Asset Turnover,Upgrade,0.82,0.43,0.39,0.42,0.53,0.57,0.49,0.50,0.50,0.52,0.52
Interest Coverage,Upgrade,7.10,8.05,8.10,1.30,1.30,4.28,-1.06,18.00,5.66,15.29,15.29
Return on Equity (ROE),Upgrade,4.40%,7.00%,10.00%,1.20%,8.20%,5.90%,-2.00%,19.60%,4.30%,9.90%,9.90%
Return on Assets (ROA),Upgrade,2.50%,3.40%,4.00%,0.50%,3.30%,2.00%,-0.60%,6.20%,1.50%,3.60%,3.60%
Return on Capital (ROIC),Upgrade,5.03%,6.21%,3.07%,4.23%,70.23%,3.43%,-0.18%,10.56%,3.35%,6.69%,6.69%
Earnings Yield,Upgrade,-,-,8.45%,1.53%,8.50%,4.90%,-2.90%,17.88%,4.73%,10.26%,10.43%
FCF Yield,Upgrade,-,-,5.95%,-4.98%,4.91%,8.11%,5.04%,19.43%,11.29%,11.16%,11.35%
Dividend Yield,Upgrade,-,-,1.00%,1.90%,2.50%,2.70%,5.60%,3.30%,3.40%,3.10%,3.48%
Payout Ratio,Upgrade,0.00%,0.00%,12.00%,123.80%,30.00%,57.80%,-192.00%,18.30%,71.60%,30.80%,33.77%
Buyback Yield / Dilution,Upgrade,-,-,5.18%,3.74%,7.23%,12.04%,5.27%,-2.78%,0.60%,0.45%,0.45%
Total Shareholder Return,Upgrade,-,-,6.18%,5.64%,9.73%,14.74%,10.87%,0.52%,4.00%,3.55%,3.94%
