,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Net Income,137,170,90,125,174,191,172,149,162,165,179,149,172,201,192,233,181,217,210,182,187,241,203,185,241,310,415,259,-61,97,142,69,150,101,85,99,-211,176,22,93
Depreciation & Amortization,43,46,43,42,41,43,41,41,40,43,41,41,39,42,40,41,40,45,44,44,45,47,44,44,45,47,51,53,53,54,55,55,57,57,56,58,60,62,61,57
Share-Based Compensation,6,7,5,4,12,11,9,13,11,12,12,13,13,13,12,11,14,16,8,10,16,9,6,13,18,13,13,22,17,-2,9,16,19,8,10,21,29,13,13,16
Other Operating Activities,34,114,105,-137,-9,134,-75,-165,49,111,-62,-103,-12,127,16,-221,17,122,-3,-46,-94,92,18,-15,4,370,-96,-88,255,234,-165,41,3,169,27,31,463,179,-76,-13
Operating Cash Flow,220,337,243,34,218,379,147,38,262,331,170,100,212,383,260,64,252,400,259,190,154,389,271,227,308,740,383,246,264,383,41,181,229,335,178,209,341,430,20,153
Operating Cash Flow Growth,37.50%,16.21%,36.52%,6.25%,-0.91%,12.46%,-39.51%,11.76%,20.18%,-12.66%,15.65%,163.16%,-19.08%,15.71%,52.94%,-36.00%,18.87%,4.44%,-0.38%,196.88%,-38.89%,-2.75%,4.63%,19.47%,100.00%,90.23%,41.33%,8.37%,-14.29%,-48.24%,-89.30%,-26.42%,-13.26%,-12.53%,334.15%,15.47%,48.91%,28.36%,-88.76%,-26.79%
Capital Expenditures,-24,-50,-29,-31,-23,-42,-28,-40,-45,-59,-59,-58,-44,-70,-49,-40,-37,-68,-36,-50,-49,-71,-54,-57,-47,-96,-69,-82,-81,-99,-52,-57,-63,-79,-46,-42,-56,-84,-24,-52
Acquisitions,0,0,0,0,0,0,0,0,0,-290,0,0,0,0,0,0,0,-681,0,0,0,0,0,0,0,0,-85,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Investing Activities,-3,1,2,1,-,16,12,-,-,20,1,2,22,1,13,2,-1,2,-,9,-,1,12,1,-,-11,3,-25,-2,-12,-4,1,8,17,1,-,1,3,1,19
Investing Cash Flow,-27,-49,-27,-30,-23,-26,-16,-40,-45,-329,-58,-56,-22,-69,-36,-38,-38,-747,-36,-41,-49,-70,-42,-56,-47,-107,-151,-107,-83,-111,-56,-56,-55,-62,-45,-42,-55,-81,-23,-33
Dividends Paid,-93,-91,-95,-96,-97,-97,-99,-99,-100,-100,-104,-102,-103,-103,-108,-109,-109,-124,-122,-123,-123,-122,-133,-133,-133,-134,-140,-140,-140,-138,-142,-143,-143,-143,-145,-146,-146,-146,-149,-149
Share Issuance / Repurchase,-122,17,1,116,-25,-275,-57,46,-29,-4,-95,-71,38,20,-73,29,9,-191,-150,24,-52,-336,-101,-77,82,10,-107,-119,-280,-296,-36,8,3,5,-1,5,6,23,6,-7
Debt Issued / Paid,51,-251,-90,445,-507,24,36,69,-68,89,95,138,-110,-248,5,79,569,-376,80,-47,84,72,51,55,128,-138,0,0,0,0,86,-3,12,-178,111,-139,-71,-89,298,-103
Other Financing Activities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-18,-,-13,-,-5,-,-10,-,-,-,-15,-,-
Financing Cash Flow,-164,-325,-184,465,-629,-348,-120,16,-197,-15,-104,-35,-175,-331,-176,-1,469,-691,-192,-146,-91,-386,-183,-155,77,-262,-247,-277,-420,-447,-92,-143,-128,-326,-35,-280,-211,-227,155,-259
Exchange Rate Effect,-6,2,-6,-5,-7,-1,-10,-7,4,0,-1,-3,2,1,4,-4,2,-5,0,-3,1,0,-2,1,-7,3,3,8,-1,2,-3,0,1,-4,-4,3,1,0,0,-23
Net Cash Flow,23,-35,26,464,-441,4,1,7,24,-13,7,6,17,-16,52,21,685,"-1,043",31,0,15,-67,44,17,331,374,-12,-130,-240,-173,-110,-18,47,-57,94,-110,76,122,152,-162
