,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"11,434","11,753","12,374","13,485","14,481","13,645","14,862","16,373","16,318","17,899","16,207","15,452","17,294","17,161","17,025","19,178","17,225","17,516","19,265","19,676","20,565","19,501","19,097","19,270","21,674","27,626","26,526","25,452","24,263","22,376","20,339","21,422","17,109","17,352","15,813","17,315","19,547","19,661","16,229","17,690","18,746"
Market Cap Growth,-1.38%,7.37%,16.10%,12.65%,26.65%,16.10%,20.11%,21.41%,12.69%,31.18%,9.05%,-5.62%,5.98%,-4.12%,5.05%,24.12%,-0.40%,2.07%,13.16%,2.60%,19.39%,11.33%,-0.88%,-2.07%,5.39%,41.66%,38.91%,32.08%,11.95%,-19.00%,-23.32%,-15.83%,-29.49%,-22.45%,-22.25%,-19.18%,14.25%,13.31%,2.63%,2.17%,-
Enterprise Value,"13,634","13,737","14,243","15,338","16,269","15,454","16,706","18,279","18,132","19,810","18,206","17,587","19,303","18,938","18,757","20,972","18,906","19,868","21,668","22,034","22,994","22,073","22,030","22,240","24,446","29,877","28,779","27,877","26,933","25,223","23,359","24,458","20,111","20,272","18,744","20,230","22,330","22,218","18,914","20,464","21,520"
PE Ratio,20.02,21.06,24.17,25.83,25.91,23.53,22.45,23.87,24.21,27.62,24.74,23.59,26.01,24.48,23.85,24.03,21.34,21.28,22.91,24.91,25.84,23.78,23.49,23.62,24.91,29.42,23.05,20.78,26.29,31.52,46.54,86.73,37.35,37.56,39.04,39.80,264.14,131.95,188.71,221.12,239.76
PS Ratio,2.09,2.13,2.24,2.42,2.59,2.41,2.61,2.88,2.85,3.11,2.79,2.63,2.92,2.87,2.82,3.18,2.83,2.86,3.11,3.15,3.28,3.14,3.10,3.14,3.41,4.11,3.72,3.38,3.23,3.05,2.81,3.03,2.41,2.44,2.25,2.45,2.73,2.66,2.31,2.42,2.56
PB Ratio,215.73,76.32,73.22,47.99,47.95,115.64,124.89,82.69,63.00,60.27,56.08,57.23,42.81,31.66,28.76,25.24,20.58,24.13,28.46,26.52,26.33,34.89,34.72,34.72,31.19,30.43,23.79,21.50,32.66,54.44,55.27,68.44,42.77,31.21,48.51,53.94,6515.53,89.37,-438.61,333.77,353.70
P/FCF Ratio,19.82,18.66,17.86,19.26,20.72,18.22,22.73,25.23,24.32,29.54,27.10,24.07,29.16,27.07,23.20,26.79,22.58,22.40,24.26,21.62,25.71,24.81,24.48,23.79,22.44,21.38,19.10,18.40,18.59,23.68,32.80,36.94,30.39,32.43,23.32,24.01,23.27,21.14,20.44,24.30,25.75
P/OCF Ratio,15.88,15.32,14.87,16.17,17.40,15.61,19.10,20.94,19.76,23.01,20.23,17.90,21.27,19.84,17.83,20.87,17.96,17.95,19.76,17.87,20.50,19.66,19.02,18.51,18.14,17.87,16.00,15.18,14.86,17.54,21.78,24.65,20.51,22.08,17.13,18.21,18.39,16.98,16.23,18.74,19.86
Debt / Equity Ratio,48.38,15.02,13.16,9.51,7.17,18.57,18.71,11.60,8.60,7.78,8.33,9.44,6.04,4.05,3.72,3.00,3.41,3.42,3.79,3.40,3.34,4.80,5.61,5.65,4.70,3.44,2.79,2.67,4.26,7.70,8.78,10.31,8.11,5.58,9.84,9.60,1008.33,13.29,-86.57,59.04,59.04
Quick Ratio,0.50,0.53,0.53,0.74,0.70,0.64,0.63,0.64,0.68,0.62,0.59,0.46,0.50,0.54,0.73,0.74,0.88,0.61,0.59,0.58,0.61,0.52,0.48,0.47,0.68,1.07,1.02,0.78,0.62,0.45,0.33,0.29,0.34,0.48,0.44,0.41,0.46,0.55,0.49,0.51,0.51
