,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,154.39,203.77,179.2,217.85,159.79,139.61,117.1,492.9,128.38,117.95,236.99,458.13,236.48,295.63,291.02,337.89,925.7,442.49,188.19,197.68,165.49,161.48,162,186.78,193.56,152.68,907.18,151.97,205.06,138.94,315.93,161.44,255.83,195.66,144.75,155.22,141.8,146.44,149.49,170.5
Cash & Cash Equivalents,154.39,203.77,179.2,217.85,159.79,139.61,117.1,492.9,128.38,117.95,236.99,458.13,236.48,295.63,291.02,337.89,925.7,442.49,188.19,197.68,165.49,161.48,162,186.78,193.56,152.68,907.18,151.97,205.06,138.94,315.93,161.44,255.83,195.66,144.75,155.22,141.8,146.44,149.49,170.5
Cash Growth,-44.27%,-22.70%,-38.73%,5.93%,3.50%,-31.49%,-34.66%,126.26%,-19.66%,-15.52%,102.39%,-7.05%,84.20%,150.65%,22.80%,-26.25%,291.44%,49.68%,-35.33%,-41.50%,-82.12%,-63.51%,-13.92%,-5.51%,16.96%,-5.44%,460.00%,-18.63%,5.95%,-9.00%,-65.17%,6.23%,24.76%,40.82%,-54.18%,-3.85%,-44.57%,-25.15%,3.28%,9.84%
Receivables,616.8,626.12,636.98,619,604.27,590.03,596.25,573.89,564.4,574.72,710.53,700.24,691.25,721.03,730.37,784.88,835.74,859.11,867.04,847.45,846.89,837.52,852.33,821.93,850.7,831.51,805.9,791.86,859.34,814.98,852.45,884.35,961.42,"1,064","1,116","1,134","1,175","1,174","1,182","1,168"
Other Current Assets,162.42,157.75,146.69,139.54,153.66,157.84,161.38,161.51,165.13,139.23,341.86,308.98,184.37,181.98,184.49,205.45,188.87,223.28,189.1,170.85,195.74,210.85,200.78,195.19,192.08,214.87,184.29,190.19,205.38,220.56,222.23,223.27,224.02,268.31,280.94,268.03,230.43,280.17,279.52,278.89
Total Current Assets,933.61,987.63,962.87,976.39,917.72,887.47,874.73,"1,228",857.91,831.9,"1,289","1,467","1,112","1,199","1,206","1,328","1,950","1,525","1,244","1,216","1,208","1,210","1,215","1,204","1,236","1,199","1,897","1,134","1,270","1,174","1,391","1,269","1,441","1,528","1,542","1,557","1,547","1,601","1,611","1,617"
"Property, Plant & Equipment","2,578","2,562","2,607","2,561","2,551","2,477","2,493","2,429","2,497","2,539","3,196","3,167","3,083","3,112","3,175","3,344","3,418","4,365","4,406","4,425","4,490","6,317","6,352","6,322","6,492","6,428","6,483","6,422","6,699","6,672","6,798","6,897","6,983","7,014","7,131","7,287","7,699","8,010","8,275","8,512"
Goodwill and Intangibles,"3,069","3,086","3,097","3,022","3,032","2,939","2,984","2,922","2,964","3,019","5,151","5,168","5,158","5,234","5,286","5,456","5,471","5,918","5,997","5,996","5,948","5,961","5,940","5,837","5,878","5,736","5,767","5,779","5,885","5,792","5,765","5,703","5,645","6,605","6,432","6,276","6,306","6,277","6,277","6,291"
Other Long-Term Assets,72.3,71.59,68.37,76.89,23.2,68.18,70.67,90.45,31.23,32.05,104.54,103.23,133.82,127.77,147.6,131.5,133.59,189.84,164.53,169.69,212,201.68,213.06,213.78,209.95,203.06,219.44,347.62,295.95,305.64,360.97,365.71,381.62,480.89,517.54,574.94,588.34,578.17,515.74,456.66
Total Long-Term Assets,"5,719","5,719","5,772","5,660","5,606","5,484","5,548","5,442","5,493","5,590","8,452","8,438","8,375","8,473","8,609","8,932","9,022","10,473","10,568","10,590","10,649","12,480","12,506","12,373","12,580","12,367","12,470","12,549","12,879","12,770","12,924","12,965","13,009","14,100","14,080","14,138","14,593","14,865","15,067","15,260"
Total Assets,"6,653","6,707","6,735","6,636","6,523","6,371","6,423","6,670","6,351","6,422","9,741","9,905","9,487","9,672","9,815","10,260","10,972","11,998","11,813","11,806","11,857","13,689","13,721","13,577","13,817","13,566","14,368","13,683","14,149","13,944","14,314","14,234","14,450","15,628","15,622","15,695","16,141","16,466","16,679","16,877"
Accounts Payable,216.46,167.64,162.04,141.65,203.01,184.41,162.24,156.85,219.59,180.26,220.12,233.97,222.2,239.89,247.13,252.96,289.14,251.21,293.29,285.81,318.77,283.71,303.99,289.94,324.71,321.16,296.63,302.62,359.86,327.06,321.29,324.21,369.15,424.06,435.48,432.38,469.2,512.27,482.24,448.32
Deferred Revenue,238.72,227.43,238.32,232.63,197.14,185.2,185.85,182.2,183.11,181.09,212.23,202.17,201.13,223.7,225.13,218.03,241.59,267.93,256.18,237.57,264.82,266.31,268.78,257.33,274.04,260.4,252.03,244.43,295.79,284.97,256.25,257.59,307.47,301.97,302.49,282.69,328.91,335.39,336.07,325.49
Current Debt,52.58,55.08,56.6,60.8,52.1,54.48,70.24,253.73,88.07,89.97,112.51,121.2,172.98,421.23,423.27,180.39,146.3,137.2,123.82,121.7,126.41,125.14,123.53,394.82,389.01,127.56,880.21,392.59,193.76,363.91,106.27,318.14,309.43,91.18,86.79,81.28,87.55,101.61,102.58,107.98
Other Current Liabilities,461.34,417.7,444.75,"1,163",404.49,296.25,333.81,318.01,351.06,297.17,437.17,466.68,450.26,533.65,579.07,580.99,653.15,574.73,599.81,602.27,780.78,839.97,920.49,888.02,961.75,872.15,954.4,951.27,"1,146",951.5,"1,064",926.36,"1,033",883.32,957.51,929.57,"1,032","1,057","1,142","1,109"
Total Current Liabilities,969.1,867.85,901.71,"1,598",856.74,720.33,752.14,910.78,841.83,748.49,982.03,"1,024","1,047","1,418","1,475","1,232","1,330","1,231","1,273","1,247","1,491","1,515","1,617","1,830","1,950","1,581","2,383","1,891","1,996","1,927","1,748","1,826","2,019","1,701","1,782","1,726","1,918","2,007","2,063","1,991"
Long-Term Debt,"4,119","4,289","4,298","4,332","4,564","4,667","4,719","4,921","4,758","4,931","6,103","6,338","6,078","5,923","6,029","6,700","6,897","8,021","7,962","8,109","8,016","10,022","10,046","9,847","10,004","10,468","10,553","10,438","10,554","10,614","10,947","10,980","11,134","12,340","12,364","12,635","12,911","13,376","13,658","14,027"
Other Long-Term Liabilities,513.03,498.99,238.32,238.68,232.22,227.26,229.3,218.7,222.54,221.38,409.94,392.61,425.37,427.14,453.81,458.9,446.42,484.94,520.22,510.56,487.56,391.1,399.55,387.95,398.83,392.74,407.34,416.81,462.69,443.74,471.02,453.22,440.4,828.82,823.88,800.37,675.54,537.53,541.51,595.55
Total Long-Term Liabilities,"4,632","4,788","4,536","4,570","4,797","4,895","4,948","5,139","4,980","5,153","6,513","6,731","6,504","6,350","6,483","7,159","7,343","8,506","8,482","8,620","8,504","10,413","10,445","10,235","10,403","10,861","10,960","10,855","11,017","11,057","11,418","11,433","11,574","13,169","13,188","13,435","13,586","13,914","14,200","14,623"
Total Liabilities,"5,601","5,655","5,438","6,169","5,653","5,615","5,700","6,050","5,822","5,901","7,495","7,755","7,550","7,768","7,957","8,391","8,674","9,737","9,755","9,867","9,995","11,929","12,062","12,065","12,353","12,442","13,343","12,745","13,013","12,985","13,167","13,259","13,593","14,869","14,971","15,161","15,504","15,920","16,262","16,614"
Total Debt,"4,172","4,344","4,355","4,392","4,616","4,722","4,789","5,174","4,846","5,021","6,216","6,459","6,251","6,344","6,452","6,880","7,043","8,158","8,086","8,231","8,143","10,148","10,169","10,242","10,393","10,596","11,433","10,830","10,748","10,977","11,054","11,298","11,443","12,431","12,451","12,716","12,998","13,478","13,761","14,135"
Debt Growth,9.06%,12.83%,10.56%,9.12%,10.66%,8.71%,9.98%,17.80%,4.97%,6.34%,29.78%,24.83%,29.01%,26.34%,3.81%,6.52%,12.67%,28.60%,25.31%,19.63%,15.61%,24.39%,25.77%,24.43%,27.64%,4.42%,12.43%,5.74%,3.41%,3.60%,-3.32%,4.32%,6.47%,13.24%,12.64%,12.55%,13.59%,8.42%,10.52%,11.16%
Common Stock,982.08,986.5,"1,014","1,019","1,591","1,593","1,605","1,616","1,626","1,631","3,495","3,510","3,492","3,495","3,508","3,604","4,167","4,254","4,260","4,264","4,266","4,268","4,284","4,291","4,301","4,307","4,329","4,339","4,343","4,350","4,395","4,410","4,415","4,412","4,435","4,449","4,471","4,462","4,491","4,511"
Retained Earnings,67.82,63.3,276.35,-516.36,-659.55,-719,-766.85,-844.68,-942.22,-982.53,"-1,124.92","-1,246.41","-1,343.31","-1,430.61","-1,498.29","-1,621.54","-1,765.97","-1,919.79","-1,996.37","-2,098.4","-2,139.49","-2,257.49","-2,364.81","-2,433.8","-2,574.9","-2,690.43","-2,876.86","-3,018.14","-2,950.34","-3,083.42","-2,988.9","-3,101.81","-3,221.15","-3,359.88","-3,340.99","-3,330.21","-3,392.27","-3,510.95","-3,692.95","-3,790.79"
Comprehensive Income,-8.66,-6.98,-2.34,-47.23,-75.03,-131.08,-129.75,-163.69,-174.92,-152.16,-149.29,-138.45,-212.57,-161.24,-153.59,-115.34,-103.99,-74.08,-207.45,-228.26,-265.66,-250.96,-261.82,-346.2,-262.58,-493.25,-427.52,-383.18,-255.89,-306.91,-258.65,-334.45,-338.35,-294.36,-446.98,-589.48,-442,-405.77,-382.24,-458
Shareholders' Equity,"1,041","1,043","1,288",455.77,856.36,742.86,708.79,607.2,508.84,496.4,"2,221","2,125","1,937","1,903","1,856","1,867","2,297","2,260","2,056","1,937","1,861","1,759","1,658","1,511","1,464","1,124","1,024",937.36,"1,137",959.71,"1,148",973.88,855.95,757.72,646.95,529.2,636.67,545.46,416.22,262.51
Net Cash / Debt,"-4,017.34","-4,139.92","-4,175.34","-4,174.64","-4,456.66","-4,582.24","-4,672.05","-4,681.4","-4,717.3","-4,903.33","-5,978.58","-6,001.1","-6,014.7","-6,048.35","-6,161.24","-6,542.6","-6,117.57","-7,715.58","-7,897.39","-8,033.2","-7,977.34","-9,986.06","-10,007.19","-10,055.3","-10,199.71","-10,443.37","-10,525.64","-10,678.31","-10,542.85","-10,838.52","-10,737.7","-11,136.43","-11,187.59","-12,235.38","-12,306.44","-12,560.65","-12,856.37","-13,331.17","-13,611.29","-13,964.93"
Net Cash Per Share,-20.85,-21.44,-21.58,-21.42,-22.65,-21.59,-22.03,-22.09,-22.24,-23.08,-24.15,-22.69,-24.32,-22.84,-23.26,-24.58,-22.93,-26.98,-27.56,-27.99,-27.83,-34.74,-34.81,-34.95,-35.45,-36.22,-36.54,-36.97,-36.53,-37.44,-36.89,-38.21,-38.45,-41.92,-42.08,-42.97,-43.96,-45.49,-46.37,-47.56
Working Capital,-35.49,119.78,61.16,-621.92,60.98,167.14,122.59,317.52,16.08,83.4,307.34,443.31,65.55,-219.83,-268.73,95.86,620.14,293.81,-28.77,-31.38,-282.66,-305.28,-401.68,-626.22,-713.17,-382.21,-485.9,-756.88,-725.91,-752.96,-357.59,-557.25,-577.31,-172.84,-240.25,-169.06,-370.42,-405.65,-451.34,-374.24
Book Value Per Share,5.43,5.43,6.70,2.36,4.38,3.53,3.36,2.88,2.41,2.35,9.02,8.07,7.87,7.21,7.02,7.04,8.64,7.92,7.19,6.77,6.51,6.14,5.78,5.26,5.10,3.90,3.56,3.25,3.94,3.32,3.97,3.36,2.96,2.61,2.23,1.82,2.19,1.87,1.43,0.90
