,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"15,688","12,919","19,020","20,345","16,365","17,168","16,126","33,388","34,580",-,"45,623"
Market Cap Growth,-7.89%,-17.65%,47.23%,6.96%,-19.56%,4.91%,-6.07%,107.05%,3.57%,-,-
Enterprise Value,"19,248","15,391","21,332","23,191","19,257","20,016","18,826","36,708","36,991",-,"45,331"
PE Ratio,21.97,36.12,23.89,15.43,6.93,13.51,22.35,4.89,4.55,0,10.30
PS Ratio,0.74,0.79,1.17,1.00,0.65,0.76,0.80,0.92,0.83,-,1.31
PB Ratio,2.02,1.74,2.41,2.33,1.67,1.66,1.49,2.38,1.88,0,2.18
P/FCF Ratio,23.24,7.25,16.79,33.76,11.59,12.89,13.98,7.24,4.26,-,11.14
P/OCF Ratio,11.68,5.99,10.95,19.35,6.84,6.11,5.98,5.36,3.43,-,8.16
EV/Sales Ratio,0.91,0.94,1.32,1.15,0.77,0.89,0.93,1.01,0.89,-,1.31
EV/EBITDA Ratio,9.17,8.42,9.90,8.75,4.59,7.40,7.88,3.57,3.19,-,6.44
EV/EBIT Ratio,14.01,13.65,14.53,12.06,5.54,10.15,11.75,3.90,3.52,-,7.33
EV/FCF Ratio,28.52,8.63,18.83,38.48,13.64,15.03,16.32,7.96,4.55,-,11.07
Debt / Equity Ratio,0.59,0.59,0.55,0.43,0.44,0.42,0.50,0.41,0.36,0,0.33
Debt / EBITDA Ratio,2.10,2.51,2.05,1.64,0.90,1.59,1.84,0.52,0.49,-,0.97
Debt / FCF Ratio,6.53,2.57,3.90,7.23,2.69,3.22,3.80,1.16,0.70,1.37,1.67
Quick Ratio,1.52,2.47,1.60,1.07,1.39,1.62,2.03,1.25,1.95,0,2.20
Current Ratio,3.07,4.15,2.72,2.42,3.08,3.34,3.61,2.48,3.39,0,3.57
Asset Turnover,1.35,1.15,1.06,1.28,1.40,1.23,1.00,1.41,1.28,0,1.03
Interest Coverage,8.04,6.47,8.44,10.84,25.34,16.23,10.46,59.31,61.79,0,-32.72
Return on Equity (ROE),9.34%,4.60%,10.74%,16.73%,27.01%,12.98%,6.97%,63.28%,54.05%,-,21.56%
Return on Assets (ROA),4.70%,2.29%,5.59%,8.66%,14.90%,7.09%,3.93%,33.92%,29.34%,-,12.78%
Return on Capital (ROIC),7.64%,6.35%,8.38%,12.13%,21.05%,10.76%,10.88%,45.22%,42.10%,-,17.37%
Earnings Yield,4.55%,2.77%,4.19%,6.48%,14.43%,7.40%,4.47%,20.45%,22.00%,-,9.90%
FCF Yield,4.30%,13.80%,5.96%,2.96%,8.62%,7.76%,7.15%,13.80%,23.49%,0.00%,8.98%
Dividend Yield,3.03%,3.71%,2.53%,2.39%,2.97%,2.87%,3.05%,1.45%,1.54%,-,1.16%
Payout Ratio,66.55%,134.05%,60.42%,36.80%,20.56%,38.71%,68.15%,7.08%,7.01%,0.00%,11.99%
Buyback Yield / Dilution,-0.27%,-0.18%,0.27%,-0.30%,1.26%,3.55%,0.73%,3.26%,10.30%,-,3.36%
Total Shareholder Return,2.76%,3.53%,2.80%,2.09%,4.23%,6.41%,3.78%,4.71%,11.84%,-,4.52%
