,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"4,207","4,559","5,517","7,253","13,330","17,763","21,893","34,777","30,446","42,201","47,013"
Market Cap Growth,3.17%,8.35%,21.03%,31.46%,83.79%,33.25%,23.25%,58.85%,-12.45%,38.61%,-
Enterprise Value,"4,352","4,747","6,002","7,676","13,456","17,978","21,934","34,247","29,181","39,957","44,515"
PE Ratio,23.55,20.74,20.41,18.40,31.90,30.02,31.28,37.14,27.93,34.10,35.87
PS Ratio,3.62,3.98,4.35,5.01,7.38,8.70,9.93,12.92,8.70,10.91,11.76
PB Ratio,4.19,4.73,7.12,6.61,8.43,9.99,8.79,9.85,6.58,7.05,7.33
P/FCF Ratio,22.87,24.32,34.65,22.62,52.57,61.02,66.67,65.56,36.09,47.87,50.21
P/OCF Ratio,16.02,17.20,16.59,14.74,24.91,27.47,23.85,35.10,25.87,30.93,32.92
EV/Sales Ratio,3.74,4.14,4.73,5.30,7.45,8.80,9.94,12.72,8.34,10.33,11.14
EV/EBITDA Ratio,13.09,11.90,12.79,14.73,20.33,22.25,23.74,27.07,19.50,24.24,25.20
EV/EBIT Ratio,15.61,13.56,14.31,16.55,23.09,24.88,26.76,29.99,21.49,26.85,27.77
EV/FCF Ratio,23.66,25.33,37.69,23.94,53.06,61.75,66.79,64.56,34.59,45.33,47.54
Debt / Equity Ratio,0.30,0.67,0.83,0.58,0.25,0.23,0.21,0.15,0.03,0.02,0.02
Debt / EBITDA Ratio,0.91,1.61,1.37,1.21,0.60,0.50,0.56,0.41,0.08,0.07,0.08
Debt / FCF Ratio,1.65,3.44,4.02,1.97,1.58,1.38,1.58,0.98,0.14,0.14,0.14
Quick Ratio,1.46,3.15,1.51,1.73,2.26,1.96,2.33,3.63,4.45,6.22,5.42
Current Ratio,1.69,3.45,1.79,1.94,2.56,2.44,2.71,4.04,5.00,6.62,5.74
Asset Turnover,0.80,0.63,0.75,0.78,0.83,0.85,0.71,0.65,0.67,0.63,0.61
Interest Coverage,31.80,19.33,17.77,19.51,28.61,41.09,43.44,56.41,81.35,-,-
Return on Equity (ROE),19.60%,20.90%,33.40%,41.40%,30.10%,36.30%,31.70%,30.10%,25.90%,22.90%,22.80%
Return on Assets (ROA),12.30%,12.10%,16.10%,21.30%,19.30%,24.60%,22.40%,22.70%,21.00%,20.10%,20.10%
Return on Capital (ROIC),13.93%,14.17%,19.62%,23.87%,21.92%,27.59%,23.71%,23.44%,23.56%,19.38%,19.09%
Earnings Yield,4.25%,4.82%,4.90%,5.44%,3.13%,3.33%,3.20%,2.69%,3.58%,2.93%,2.82%
FCF Yield,4.37%,4.11%,2.89%,4.42%,1.90%,1.64%,1.50%,1.53%,2.77%,2.09%,1.99%
Buyback Yield / Dilution,-1.12%,-0.15%,7.06%,2.98%,-2.05%,0.59%,0.75%,-0.68%,-0.36%,-0.21%,-0.76%
Total Shareholder Return,-1.12%,-0.15%,7.06%,2.98%,-2.05%,0.59%,0.75%,-0.68%,-0.36%,-0.21%,-0.76%
