,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Revenue,"2,705","2,795","2,678","2,815","2,747","2,682","2,367","2,481","2,701","2,622","2,156","2,535","2,870","3,031","2,533","2,679","1,397","2,536","2,175","2,565","2,826","2,898","2,230","2,758","2,943","3,029","2,526","2,644","3,171","3,259","2,741","3,013","3,844","3,820","3,547","3,617","3,455","6,560","3,335","3,334"
Revenue Growth (YoY),1.39%,5.47%,1.02%,10.35%,1.55%,-4.04%,-11.61%,-11.87%,-1.67%,-2.24%,-8.91%,2.18%,6.26%,15.60%,17.49%,5.68%,-51.32%,-16.33%,-14.13%,-4.26%,102.29%,14.27%,2.53%,7.52%,4.14%,4.52%,13.27%,-4.13%,7.75%,7.59%,8.51%,13.96%,21.22%,17.21%,29.41%,20.05%,-10.12%,71.73%,-5.98%,-7.82%
Cost of Revenue,"1,912","1,982","1,863","1,904","1,940","1,618","1,565","1,693","1,763","1,618","1,738","1,642","1,833","1,820","1,553","1,717",631,"1,429","1,311","1,612","1,721","1,727","1,300","1,471","1,639","1,476","1,340","1,651","1,862","1,691","1,688","1,887","2,293","2,228","2,230","2,358","2,412","4,199","1,846","1,989"
Gross Profit,793,813,815,911,807,"1,064",802,788,938,"1,004",418,893,"1,037","1,211",980,962,766,"1,107",864,953,"1,105","1,171",930,"1,287","1,304","1,553","1,186",993,"1,309","1,568","1,053","1,126","1,551","1,592","1,317","1,259","1,043","2,361","1,489","1,345"
Other Operating Expenses,376,378,380,396,354,389,341,426,430,439,431,305,603,470,540,493,439,489,"1,781",501,-199,513,435,575,522,649,533,584,753,595,601,"2,193",619,747,696,790,680,731,697,732
Operating Expenses,376,378,380,396,354,389,341,426,430,439,431,305,603,470,540,493,439,489,"1,781",501,-199,513,435,575,522,649,533,584,753,595,601,"2,193",619,747,696,790,680,731,697,732
Operating Income,417,435,435,515,453,675,461,362,508,565,-13,588,434,741,440,469,327,618,-917,452,"1,304",658,495,712,782,904,653,409,556,973,452,"-1,067",932,845,621,469,363,"1,630",792,613
Interest Expense / Income,146,136,138,144,136,134,139,143,145,143,142,136,132,169,159,165,129,206,228,222,230,260,258,279,280,280,274,264,263,259,258,259,422,243,271,282,258,366,317,312
Other Expense / Income,-50,-75,-66,-48,11,-59,-72,-44,-71,-39,-66,-452,-182,-164,-146,331,139,-205,-8,-219,2,-121,-200,-477,-145,35,"-2,066",-353,-357,-339,-390,-347,-249,-355,-301,-330,-465,-92,-315,-379
Pretax Income,321,374,363,419,306,600,394,263,434,461,-89,904,484,736,427,-27,59,617,"-1,137",449,"1,072",519,437,910,647,589,"2,445",498,650,"1,053",584,-979,759,957,651,517,570,"1,356",790,680
Income Tax,39,127,93,71,9,163,98,15,65,108,-106,282,105,295,167,-84,560,242,-602,139,172,42,47,61,165,-207,168,99,189,158,139,-342,144,334,80,21,121,376,175,-52
Net Income,282,247,270,348,297,437,296,248,369,353,17,622,379,441,260,57,-501,375,-535,310,900,477,390,849,482,796,"2,277",399,461,895,445,-637,615,623,571,496,449,980,615,732
Preferred Dividends,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,28,26,36,36,36,36,36,35,36,38,48,47,21,21,11,11,11,12,11,11,11,12,11
Net Income Common,282,247,269,348,297,437,295,248,369,353,16,622,379,441,259,57,-501,347,-561,274,864,441,354,813,447,760,"2,239",351,414,874,424,-648,604,612,559,485,438,969,603,721
