,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"13,779","17,403","20,630","17,678","12,131","11,675","9,797","10,063","11,175",-,"13,414"
Market Cap Growth,34.09%,26.31%,18.54%,-14.31%,-31.38%,-3.76%,-16.08%,2.71%,11.05%,-,-
Enterprise Value,"16,341","19,910","32,141","28,573","21,561","20,189","17,302","16,587","17,137",-,"18,769"
PE Ratio,26.81,48.41,10.44,12.50,10.86,48.30,-10.36,10.01,-59.92,0,16.02
PS Ratio,3.28,4.20,5.78,3.62,1.10,1.08,0.93,1.04,1.09,-,1.15
PB Ratio,1.75,2.47,1.81,1.34,0.90,0.87,0.79,0.75,0.88,0,1.02
P/FCF Ratio,13.60,41.30,26.28,13.96,7.22,8.96,8.74,9.58,13.29,-,9.26
P/OCF Ratio,10.83,24.99,18.31,9.47,5.20,6.15,5.78,6.40,7.44,-,6.91
EV/Sales Ratio,3.88,4.80,9.01,5.85,1.96,1.87,1.64,1.72,1.67,-,1.60
EV/EBITDA Ratio,16.55,14.55,26.96,24.39,8.31,10.15,5.69,7.24,7.36,-,10.83
EV/EBIT Ratio,24.24,18.88,39.99,79.68,12.42,17.85,8.17,11.03,10.42,-,17.88
EV/FCF Ratio,16.13,47.25,40.94,22.56,12.84,15.49,15.44,15.78,20.39,-,12.96
Debt / Equity Ratio,0.41,0.42,1.06,0.86,0.78,0.67,0.67,0.53,0.52,0,0.47
Debt / EBITDA Ratio,3.85,2.33,2.46,10.31,4.36,5.27,2.97,3.61,3.07,2.60,3.59
Debt / FCF Ratio,3.75,7.56,3.74,9.53,6.74,8.05,8.06,7.87,8.52,4.66,4.30
Quick Ratio,0.54,0.79,0.43,0.39,0.45,0.36,0.37,0.42,0.43,0,0.40
Current Ratio,0.68,1.03,0.69,0.64,0.64,0.59,0.62,0.77,0.78,0,0.70
Asset Turnover,0.30,0.29,0.17,0.36,0.36,0.37,0.35,0.37,0.41,0,0.44
Interest Coverage,5.01,4.34,12.18,4.94,5.33,7.77,4.98,5.59,7.35,0,0
Return on Equity (ROE),6.57%,6.54%,5.10%,17.30%,10.69%,8.27%,1.80%,-7.65%,7.50%,-1.47%,7.19%
Return on Assets (ROA),3.64%,3.67%,2.93%,6.73%,4.68%,3.71%,0.84%,-3.46%,3.64%,-0.72%,3.60%
Return on Capital (ROIC),5.65%,5.80%,4.57%,9.21%,7.30%,5.67%,4.98%,6.63%,5.75%,9.57%,5.51%
Earnings Yield,3.73%,2.07%,9.58%,8.00%,9.20%,2.07%,-9.65%,9.99%,-1.67%,-,7.07%
FCF Yield,7.35%,2.42%,3.81%,7.17%,13.85%,11.17%,11.44%,10.44%,7.52%,0.00%,10.79%
Dividend Yield,1.99%,1.74%,1.71%,2.00%,2.92%,3.64%,1.28%,1.47%,2.95%,-,2.83%
Payout Ratio,53.23%,84.39%,17.86%,24.99%,31.72%,175.59%,-13.25%,14.70%,-176.57%,0.00%,45.36%
Buyback Yield / Dilution,Upgrade,-1.32%,-1.03%,-0.16%,-14.48%,-1.45%,-0.05%,-0.14%,0.05%,-0.37%,0.32%
Total Shareholder Return,0.67%,0.71%,1.55%,-12.49%,1.47%,3.59%,1.14%,1.51%,2.58%,0.32%,2.83%
