,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"25,900","31,928","42,891","38,764","36,375","35,293","37,200","40,372","65,681","49,212","49,501"
Market Cap Growth,4.09%,23.28%,34.33%,-9.62%,-6.16%,-2.97%,5.40%,8.53%,62.69%,-25.07%,-
Enterprise Value,"26,719","31,805","43,105","38,971","37,373","36,344","38,693","42,659","72,421","55,308","57,901"
PE Ratio,30.66,35.16,40.73,32.74,31.05,23.70,29.23,36.76,37.91,11.88,25.80
PS Ratio,13.18,14.66,18.01,15.14,13.63,12.79,13.03,13.85,19.23,11.77,11.13
PB Ratio,2.95,3.37,4.68,4.12,4.07,3.87,4.11,4.72,7.04,4.89,4.90
P/FCF Ratio,20.38,23.12,29.49,24.32,24.01,22.30,23.31,23.98,32.98,21.00,20.49
P/OCF Ratio,18.11,19.91,24.53,19.93,18.44,17.10,17.99,19.76,25.82,15.79,15.51
EV/Sales Ratio,13.60,14.61,18.10,15.22,14.00,13.17,13.55,14.63,21.20,13.22,13.02
EV/EBITDA Ratio,18.47,20.03,24.80,20.61,19.57,16.32,18.61,21.69,26.26,10.29,18.10
EV/EBIT Ratio,25.23,27.63,32.86,26.73,25.69,20.84,24.71,30.18,35.43,12.33,25.28
EV/FCF Ratio,21.03,23.03,29.64,24.45,24.67,22.96,24.25,25.34,36.37,23.60,23.97
Debt / Equity Ratio,0.10,0.01,0.03,0.04,0.16,0.15,0.21,0.30,0.80,0.68,0.89
Debt / EBITDA Ratio,0.58,0.04,0.18,0.21,0.75,0.63,0.92,1.29,2.71,1.28,2.82
Debt / FCF Ratio,0.66,0.05,0.22,0.25,0.94,0.89,1.19,1.51,3.75,2.93,3.74
Asset Turnover,0.21,0.22,0.25,0.26,0.25,0.26,0.26,0.25,0.23,0.24,0.25
Interest Coverage,164.32,169.74,2150.58,346.27,114.65,53.58,34.32,25.11,22.52,32.90,13.58
Return on Equity (ROE),9.60%,9.80%,11.40%,13.10%,12.90%,16.60%,14.30%,12.60%,19.40%,41.70%,19.10%
Return on Assets (ROA),9.10%,9.30%,10.80%,11.80%,11.20%,13.80%,11.40%,9.30%,11.70%,23.50%,10.60%
Return on Capital (ROIC),9.88%,11.06%,12.98%,14.02%,13.65%,13.43%,13.38%,12.71%,10.00%,12.55%,12.06%
Earnings Yield,3.26%,2.84%,2.46%,3.05%,3.22%,4.22%,3.42%,2.72%,2.64%,8.42%,3.88%
FCF Yield,4.91%,4.33%,3.39%,4.11%,4.16%,4.48%,4.29%,4.17%,3.03%,4.76%,4.88%
Dividend Yield,3.40%,3.00%,2.60%,3.30%,3.80%,4.00%,3.80%,3.50%,2.10%,7.50%,4.26%
Payout Ratio,104.70%,106.30%,106.60%,106.70%,118.50%,93.50%,109.60%,127.20%,80.70%,89.50%,109.99%
Buyback Yield / Dilution,-0.60%,-0.26%,-0.21%,-0.21%,-0.16%,-0.08%,-0.13%,-0.06%,-0.53%,-0.41%,0.10%
Total Shareholder Return,2.80%,2.74%,2.39%,3.09%,3.64%,3.92%,3.67%,3.44%,1.57%,7.09%,4.36%
