,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"3,938","5,239","4,972","5,411","8,803","10,320","15,274","15,954","26,890","16,102","21,478"
Market Cap Growth,121.76%,33.04%,-5.10%,8.84%,62.68%,17.23%,48.00%,4.45%,68.55%,-40.12%,-
Enterprise Value,"4,448","5,901","5,714","6,198","9,275","10,757","17,605","19,869","29,462","18,187","23,943"
PE Ratio,-89.61,-54.31,-75.69,-115.11,-90.16,-584.67,-3128.69,-9.25,-41.31,54.40,63.87
PS Ratio,0.61,0.76,0.69,0.69,0.91,0.96,1.32,8.57,4.29,0.97,1.01
PB Ratio,2.79,4.04,4.02,4.81,7.45,9.39,13.33,-33.82,-46.15,-43.81,96.86
P/FCF Ratio,13.28,34.34,30.07,12.74,22.86,14.71,104.46,-12.30,16.52,10.84,17.60
P/OCF Ratio,9.13,17.93,16.15,9.04,14.12,10.96,32.51,-14.73,15.10,8.79,12.89
EV/Sales Ratio,0.69,0.86,0.79,0.79,0.96,1.00,1.52,10.68,4.70,1.09,1.13
EV/EBITDA Ratio,9.50,15.20,11.67,13.59,20.30,17.11,23.85,-19.08,649.92,16.23,15.48
EV/EBIT Ratio,44.85,293.05,61.77,45.08,109.63,44.45,59.82,-13.02,-79.42,27.12,23.17
EV/FCF Ratio,15.00,38.67,34.55,14.59,24.08,15.33,120.41,-15.32,18.10,12.25,19.62
Debt / Equity Ratio,1.28,1.58,1.65,2.05,1.95,2.56,4.19,-13.70,-12.80,-20.94,37.97
Debt / EBITDA Ratio,3.86,5.26,4.18,5.07,5.03,4.48,6.51,-6.20,164.58,6.87,5.44
Debt / FCF Ratio,6.10,13.39,12.37,5.44,5.97,4.01,32.87,-4.98,4.58,5.18,6.90
Quick Ratio,0.77,0.90,0.84,0.85,0.71,0.86,0.84,0.80,0.87,0.85,0.97
Current Ratio,0.96,1.13,1.09,1.09,0.88,1.03,1.02,0.96,0.98,0.98,1.14
Asset Turnover,1.12,1.09,1.14,1.15,1.23,1.23,1.11,0.17,0.49,1.03,1.14
Interest Coverage,0.89,0.19,0.90,1.29,0.79,1.72,1.87,-6.73,-1.31,2.41,3.13
Return on Equity (ROE),-3.20%,-6.80%,-5.20%,-3.90%,-8.00%,-1.50%,-0.40%,-1094.80%,99.00%,-86.40%,-287.60%
Return on Assets (ROA),-0.80%,-1.50%,-1.00%,-0.70%,-1.20%,-0.20%,0.00%,-15.30%,-5.10%,1.80%,3.10%
Return on Capital (ROIC),4.25%,-0.03%,3.18%,0.51%,2.63%,3.97%,2.76%,-27.29%,-6.13%,7.16%,9.30%
Earnings Yield,-1.12%,-1.84%,-1.32%,-0.87%,-1.11%,-0.17%,-0.03%,-10.81%,-2.42%,1.84%,2.66%
FCF Yield,7.53%,2.91%,3.33%,7.85%,4.37%,6.80%,0.96%,-8.13%,6.05%,9.22%,5.68%
Buyback Yield / Dilution,-3.71%,-2.57%,-1.06%,-0.55%,-1.41%,-1.23%,-1.27%,-1.04%,-2.32%,-6.61%,-0.20%
Total Shareholder Return,-3.71%,-2.57%,-1.06%,-0.55%,-1.41%,-1.23%,-1.27%,-1.04%,-2.32%,-6.61%,-0.20%
