,2016-12-31,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,-,-,-,-,-,"4,954","6,695","4,817","5,257","6,518","11,041","23,836","27,917","41,340","52,350","94,351","155,347","102,976","69,399","56,820","46,259","69,006","59,334","46,317","39,311","33,694"
Market Cap Growth,-,-,-,-,-,-,-,-,-,31.58%,64.91%,394.88%,431.10%,534.20%,374.15%,295.83%,456.46%,149.10%,32.57%,-39.78%,-70.22%,-32.99%,-14.50%,-18.48%,-15.02%,-
Enterprise Value,"-1,046",-741,-,-,"-1,046","3,465","5,620","3,780","4,231","5,547","9,970","21,286","24,847","36,939","44,849","86,794","146,784","92,954","60,025","49,651","38,912","60,108","51,338","38,805","33,010","27,393"
PE Ratio,-,-,-,-,-,-12.33,-14.60,-9.64,-9.83,-12.68,-21.84,-48.90,-46.74,-55.34,87.54,27.00,22.00,8.44,4.74,4.04,3.93,8.25,12.40,38.37,-11.34,-11.34
PS Ratio,-,-,-,-,-,36.68,54.85,45.32,64.44,108.64,212.43,225.10,113.56,51.48,19.16,13.44,13.13,5.58,3.07,2.47,2.16,3.58,3.94,4.35,4.31,3.69
PB Ratio,-,-,-,-,-,3.24,4.63,3.60,4.20,5.55,6.73,8.09,10.12,16.14,13.64,14.07,15.34,7.28,4.06,3.16,2.57,3.61,3.15,2.73,2.92,2.50
P/FCF Ratio,-,-,-,-,-,-11.35,-15.04,-9.99,-10.74,-13.28,-24.47,-63.57,45.55,21.10,10.46,10.39,13.64,7.72,5.33,6.17,7.46,15.06,96.95,-61.43,-14.80,-14.80
P/OCF Ratio,-,-,-,-,-,-14.97,-18.41,-11.36,-11.66,-14.20,-26.24,-70.91,42.05,20.39,10.26,10.27,13.42,7.56,5.17,5.89,6.98,13.85,59.75,-204.94,-18.92,-18.92
Debt / Equity Ratio,-0.04,-0.03,-,-,-0.04,0.02,0.02,0.03,0.03,0.11,0.09,0.06,0.08,0.08,0.06,0.06,0.03,0.05,0.04,0.04,0.06,0.05,0.05,0.06,0.09,0.09
Quick Ratio,6.58,4.02,-,-,5.82,6.89,7.01,6.64,7.22,7.75,9.11,17.02,2.35,1.37,1.30,1.13,1.21,1.52,1.44,1.55,1.62,2.29,2.87,2.78,2.15,2.15
Current Ratio,6.68,4.09,-,-,6.00,7.02,7.17,6.78,7.40,7.89,9.29,17.30,2.43,1.44,1.39,1.24,1.35,1.76,1.77,1.99,2.10,2.73,3.46,3.39,2.46,2.46
Return on Capital (ROIC),,-,7.81%,-,-,41.37%,-26.43%,-32.28%,-38.20%,-44.27%,-41.77%,-29.93%,-16.49%,-20.82%,-27.57%,14.61%,48.98%,67.54%,82.24%,82.18%,75.00%,61.58%,40.87%,21.25%,0.92%,-19.33%
Buyback Yield / Dilution,-,-,-,-,-9.11%,-24.62%,-402.53%,-399.21%,-399.03%,-313.27%,-7.36%,-15.74%,-19.42%,-18.13%,-21.81%,-13.12%,-9.87%,-8.84%,0.93%,2.78%,5.07%,5.57%,4.93%,9.07%,7.52%,7.52%
Total Shareholder Return,-,-,-,-,-9.11%,-24.62%,-402.53%,-399.21%,-399.03%,-313.27%,-7.36%,-15.74%,-19.42%,-18.13%,-21.81%,-13.12%,-9.87%,-8.84%,0.93%,2.78%,5.07%,5.57%,4.93%,9.07%,7.52%,7.52%
