,2016-12-31,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Revenue,-,91.9,29.04,28.85,41.76,35.42,16.03,13.08,17.05,13.85,8,67,157,571,"1,937","4,354","4,969","7,211","6,066","4,749","3,364","5,084","1,862",344,"1,831"
Revenue Growth (YoY),-,-,-,-,-,-61.46%,-44.82%,-54.65%,-59.18%,-60.91%,-50.08%,412.11%,821.04%,4023.93%,24112.50%,6398.51%,3064.97%,1162.87%,213.16%,9.07%,-32.30%,-29.50%,-69.30%,-92.76%,-45.57%
Cost of Revenue,-,0,0,0,0,0,0,0,0,0,0,0,0,8,193,750,722,952,"1,017","1,381","1,100","1,918",792,731,"2,241"
Gross Profit,-,91.9,29.04,28.85,41.76,35.42,16.03,13.08,17.05,13.85,8,67,157,563,"1,744","3,604","4,247","6,259","5,049","3,368","2,264","3,166","1,070",-387,-410
"Selling, General & Admin",-,15.91,16.32,21.39,18.53,38.02,27.25,28.49,28.17,26.09,24,37,48,79,77,121,168,201,268,211,278,375,305,332,442
Research & Development,-,117.83,90.12,104.48,109.05,150.43,130.41,128.31,119.64,117.65,115,152,344,759,401,421,521,648,554,710,820,"1,211","1,131","1,148","1,160"
Operating Expenses,-,133.73,106.44,125.87,127.58,188.45,157.67,156.79,147.81,143.73,139,189,392,838,478,542,689,849,822,921,"1,098","1,586","1,436","1,480","1,602"
Operating Income,-,-41.83,-77.4,-97.02,-85.82,-153.03,-141.64,-143.71,-130.76,-129.89,-131,-122,-235,-275,"1,266","3,062","3,558","5,410","4,227","2,447","1,166","1,580",-366,"-1,867","-2,012"
Other Expense / Income,-,-3.71,-1.55,-3.09,2,-26.22,-9.04,-8.45,-7.37,-6.14,-7,-5,-3,-4,6,-1,6,-,-2,-27,-51,-75,-61,-118,-54
Pretax Income,-,-38.12,-75.86,-93.92,-87.82,-126.81,-132.6,-135.26,-123.39,-123.74,-124,-117,-232,-271,"1,260","3,063","3,552","5,410","4,229","2,474","1,217","1,655",-305,"-1,749","-1,958"
Income Tax,-,-0.17,0,0.16,0,0.17,-0.02,-0.32,-0.18,-0.47,0,0,1,2,39,283,219,542,572,277,174,190,-384,-369,"1,672"
Net Income,-,-37.94,-75.86,-94.08,-87.82,-126.98,-132.58,-134.94,-123.22,-123.27,-124,-117,-233,-273,"1,221","2,780","3,333","4,868","3,657","2,197","1,043","1,465",79,"-1,380","-3,630"
Preferred Dividends,-,3.48,0,0,0,17.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net Income Common,-,-41.43,-75.86,-94.08,-87.82,-144.1,-132.58,-134.94,-123.22,-123.27,-124,-117,-233,-273,"1,221","2,780","3,333","4,868","3,657","2,197","1,043","1,465",79,"-1,380","-3,630"
Net Income Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,199.51%,-20.97%,-68.71%,-69.91%,-97.84%,-,-
Shares Outstanding (Basic),61,65,65,66,66,81,329,329,331,335,353,381,395,396,400,402,404,406,402,396,390,388,386,381,381
Shares Outstanding (Diluted),-,65,65,66,66,81,329,329,331,335,353,381,395,396,430,431,434,431,426,419,412,407,405,381,381
