,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Net Income,-41.43,-75.86,-94.08,-87.82,-144.1,-132.58,-134.94,-123.22,-123.27,-124,-117,-233,-273,"1,221","2,780","3,333","4,868","3,657","2,197","1,043","1,465",79,"-1,380","-3,630"
Depreciation & Amortization,5.92,5.15,5.88,6.48,7.35,7.32,7.48,7.25,8.95,7,8,9,69,15,69,70,78,79,76,113,80,78,92,249
Share-Based Compensation,11.03,11.85,14.35,14.72,31.64,18.5,21.5,20.8,20.2,20,25,22,26,30,35,40,37,44,50,70,62,75,74,77
Other Operating Activities,-81.93,-52.53,25.6,-13.59,-3.04,-37.51,-2.62,-11.94,-4.94,-9,60,"1,095","1,442","1,705","1,179",-167,"-1,673","-1,017","-2,019",-974,55,"-1,457",299,"1,704"
Operating Cash Flow,-102.93,-111.39,-48.25,-80.21,-91.02,-144.27,-108.59,-107.09,-99.05,-106,-24,893,"1,264","2,971","4,063","3,276","3,310","2,763",304,252,"1,662","-1,225",-915,"-1,600"
Operating Cash Flow Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,266.85%,161.87%,-7.00%,-92.52%,-92.31%,-49.79%,-,-,-
Capital Expenditures,-11.96,-31.91,-34.08,-26.14,-13.64,-7.6,-10.59,-6.71,-7.11,-6,-19,-19,-24,-35,-30,-99,-120,-132,-87,-89,-92,-113,-234,-140
Acquisitions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85,0,0
Change in Investments,126.03,-451.8,22.44,142.22,19.81,-4.16,-236.32,120.08,137.4,-310,32,"-1,160",-166,-145,"-3,848","-3,228","-1,018","-3,789","-1,065","1,034",-956,"2,209","2,178",929
Investing Cash Flow,114.07,-483.7,-11.65,116.08,6.17,-11.76,-246.9,113.37,130.29,-316,13,"-1,179",-190,-180,"-3,878","-3,327","-1,138","-3,921","-1,152",945,"-1,048","2,011","1,944",789
Share Issuance / Repurchase,0.1,0.02,0.05,0.29,564.09,0.06,3.93,15.55,31.46,578,"1,381",30,50,28,36,32,-829,-611,"-1,281",-995,-377,-517,-612,7
Debt Issued / Paid,1.44,0.44,-1.27,-1.54,11.82,0.24,0.25,0.26,0.26,0,0,0,-6,-2,-60,-34,-44,-31,-46,-46,-61,-25,-56,-65
Other Financing Activities,-,549.53,111.58,-8.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Financing Cash Flow,1.54,550,110.36,-9.43,575.92,0.29,4.18,15.81,31.72,578,"1,381",30,44,26,-24,-2,-873,-642,"-1,327","-1,041",-438,-542,-668,-58
Net Cash Flow,12.68,-45.09,50.47,26.44,491.07,-155.73,-351.31,22.09,62.96,156,"1,370",-256,"1,118","2,817",161,-53,"1,299","-1,800","-2,175",156,176,244,361,-869
Free Cash Flow,-114.89,-143.29,-82.33,-106.35,-104.66,-151.86,-119.17,-113.8,-106.16,-112,-43,874,"1,240","2,936","4,033","3,177","3,190","2,631",217,163,"1,570","-1,338","-1,149","-1,740"
Free Cash Flow Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,263.50%,157.26%,-10.39%,-94.62%,-94.87%,-50.78%,-,-,-
Free Cash Flow Margin,-125.01%,-493.45%,-285.36%,-254.69%,-295.47%,-947.66%,-910.88%,-667.63%,-766.73%,-1400.00%,-64.18%,556.69%,217.16%,151.57%,92.63%,63.94%,44.24%,43.37%,4.57%,4.85%,30.88%,-71.86%,-334.01%,-95.03%
Free Cash Flow Per Share,-1.76,-2.19,-1.25,-1.60,-1.29,-0.46,-0.36,-0.34,-0.32,-0.32,-0.11,2.21,3.13,7.34,10.03,7.86,7.86,6.54,0.55,0.42,4.05,-3.47,-3.02,-4.57
