,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"2,489","3,393","4,462","7,889","12,394","9,387","14,899","7,646","19,540","24,073","32,113"
Market Cap Growth,251.95%,36.31%,31.53%,76.80%,57.09%,-24.26%,58.72%,-48.68%,155.56%,23.20%,-
Enterprise Value,"2,933","3,920","4,925","7,351","13,865","13,420","20,123","13,658","25,745","30,220","37,850"
PE Ratio,45.60,17.51,-8.10,-47.80,25.71,11.10,62.08,-1.69,8.96,5.49,10.18
PS Ratio,11.97,6.84,9.99,14.97,10.29,4.31,3.76,2.72,2.88,2.50,3.91
PB Ratio,2.94,1.94,2.38,2.13,2.36,0.69,1.13,0.87,1.62,1.60,1.97
P/FCF Ratio,-3.17,-3.11,-9.19,-9.18,-5.14,-4.91,-15.55,125.34,11.99,8.54,31.73
P/OCF Ratio,15.98,9.52,10.71,23.76,13.94,6.00,5.44,3.61,4.95,3.81,5.60
EV/Sales Ratio,14.10,7.91,11.02,13.95,11.51,6.17,5.08,4.86,3.79,3.13,4.61
EV/EBITDA Ratio,18.22,7.73,-10.00,136.49,16.70,7.78,10.52,-3.32,6.01,4.28,6.40
EV/EBIT Ratio,31.07,11.62,-6.93,-59.21,27.56,12.19,43.84,-2.52,8.55,5.28,8.86
EV/FCF Ratio,-3.74,-3.59,-10.14,-8.56,-5.75,-7.02,-21.01,223.90,15.79,10.72,37.40
Debt / Equity Ratio,0.54,0.38,0.26,0.31,0.30,0.33,0.41,0.70,0.57,0.43,0.40
Debt / EBITDA Ratio,2.86,1.33,-0.99,20.95,1.91,2.60,2.82,-1.49,1.61,0.91,1.11
Debt / FCF Ratio,-0.59,-0.62,-1.00,-1.31,-0.66,-2.34,-5.63,100.34,4.23,2.28,6.49
Quick Ratio,0.45,0.92,0.74,8.54,0.60,0.82,0.62,0.36,0.94,0.59,0.85
Current Ratio,0.51,0.94,0.77,8.56,0.62,0.91,0.69,0.49,1.01,0.81,0.90
Asset Turnover,0.19,0.20,0.15,0.14,0.17,0.18,0.17,0.14,0.30,0.40,0.30
Interest Coverage,11.71,9.77,-17.11,-3.05,12.27,12.66,2.67,-27.53,15.14,35.97,24.42
Return on Equity (ROE),7.90%,13.80%,-28.10%,-6.40%,9.80%,11.00%,1.70%,-43.10%,19.30%,31.90%,20.50%
Return on Assets (ROA),4.90%,7.80%,-18.30%,-4.50%,6.80%,7.00%,1.00%,-22.60%,9.70%,18.10%,11.70%
Return on Capital (ROIC),4.61%,5.61%,-31.32%,-1.42%,9.23%,4.64%,3.12%,-36.71%,16.35%,23.93%,15.74%
Earnings Yield,2.19%,5.71%,-12.34%,-2.09%,3.89%,9.01%,1.61%,-59.08%,11.17%,18.22%,9.93%
FCF Yield,-31.51%,-32.16%,-10.88%,-10.89%,-19.47%,-20.36%,-6.43%,0.80%,8.34%,11.71%,3.15%
Dividend Yield,0.00%,0.00%,0.00%,0.00%,0.00%,0.40%,0.70%,3.10%,1.60%,6.60%,0.47%
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,4.60%,46.80%,-5.20%,14.30%,36.40%,4.77%
Buyback Yield / Dilution,-114.23%,-26.13%,-18.24%,-19.13%,-30.12%,-7.41%,-56.15%,3.58%,-11.82%,0.06%,-2.56%
Total Shareholder Return,-114.23%,-26.13%,-18.24%,-19.13%,-30.12%,-7.01%,-55.45%,6.68%,-10.22%,6.66%,-2.09%
