,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"7,466","9,848","10,144","13,258","19,450","23,197","25,800","37,141","40,759","48,017","62,309"
Market Cap Growth,33.48%,31.90%,3.00%,30.70%,46.70%,19.27%,11.22%,43.95%,9.74%,17.81%,-
Enterprise Value,"8,254","10,715","11,229","16,200","21,846","25,950","28,360","39,363","43,637","50,562","65,090"
PE Ratio,19.94,22.87,14.63,27.58,23.08,26.21,29.45,33.43,32.98,35.62,44.57
PS Ratio,1.78,2.25,2.12,2.49,3.00,3.37,3.64,5.22,5.19,5.45,6.78
PB Ratio,3.41,5.10,5.51,5.76,6.45,7.73,7.98,10.07,12.32,12.43,15.60
P/FCF Ratio,16.22,27.16,53.26,27.03,28.09,29.32,24.31,30.51,31.43,37.91,47.09
P/OCF Ratio,12.32,16.97,21.78,17.36,20.17,21.72,19.98,27.29,26.51,30.05,36.47
EV/Sales Ratio,1.97,2.45,2.34,3.04,3.37,3.77,4.00,5.53,5.56,5.74,7.08
EV/EBITDA Ratio,9.94,12.05,9.52,16.30,16.95,16.56,18.39,22.19,21.96,22.84,27.77
EV/EBIT Ratio,12.90,14.60,11.07,20.32,21.63,21.51,24.38,28.40,27.49,28.02,33.90
EV/FCF Ratio,17.93,29.55,58.95,33.02,31.55,32.80,26.72,32.34,33.65,39.92,49.20
Debt / Equity Ratio,0.59,0.67,0.70,1.36,0.84,0.95,0.84,0.74,0.90,0.69,0.72
Debt / EBITDA Ratio,1.57,1.46,1.10,3.15,1.97,1.82,1.75,1.53,1.49,1.21,1.22
Debt / FCF Ratio,2.83,3.59,6.80,6.39,3.66,3.60,2.55,2.23,2.29,2.11,2.17
Quick Ratio,1.62,1.83,0.93,0.82,1.22,0.89,1.15,0.72,0.77,1.04,1.00
Current Ratio,2.87,3.41,1.95,1.73,2.55,1.98,2.61,1.47,1.84,2.39,2.24
Asset Turnover,0.96,0.99,1.14,1.09,0.94,0.93,0.91,0.86,0.98,1.05,1.07
Interest Coverage,9.72,11.26,15.73,9.22,9.17,11.86,11.04,14.11,17.87,16.22,18.16
Return on Equity (ROE),17.10%,20.40%,36.70%,22.60%,30.60%,28.20%,27.60%,30.20%,36.70%,38.10%,36.80%
Return on Assets (ROA),8.50%,9.70%,16.40%,9.90%,12.20%,12.00%,11.30%,13.40%,15.40%,16.00%,16.60%
Return on Capital (ROIC),11.26%,13.62%,17.89%,9.62%,16.02%,15.52%,16.21%,18.66%,20.85%,21.97%,22.05%
Earnings Yield,5.02%,4.37%,6.84%,3.63%,4.33%,3.82%,3.40%,2.99%,3.03%,2.81%,2.30%
FCF Yield,6.17%,3.68%,1.88%,3.70%,3.56%,3.41%,4.11%,3.28%,3.18%,2.64%,2.12%
Dividend Yield,1.20%,1.00%,1.10%,1.10%,0.90%,0.90%,1.00%,1.40%,1.00%,1.00%,0.88%
Payout Ratio,25.00%,23.10%,16.70%,29.60%,20.80%,24.80%,30.50%,47.60%,31.90%,34.80%,39.16%
Buyback Yield / Dilution,1.90%,4.82%,6.46%,1.57%,-1.33%,2.01%,0.50%,-0.96%,2.60%,0.61%,-0.30%
Total Shareholder Return,3.10%,5.82%,7.56%,2.67%,-0.43%,2.91%,1.50%,0.44%,3.60%,1.61%,0.57%
