,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"31,500","39,190","41,065","44,987","61,185","69,681","101,797","99,708","133,209","98,643","87,233"
Market Cap Growth,3.11%,24.41%,4.78%,9.55%,36.01%,13.89%,46.09%,-2.05%,33.60%,-25.95%,-
Enterprise Value,"45,513","53,251","57,721","62,580","80,434","89,536","131,279","134,559","182,874","143,554","131,818"
PE Ratio,57.14,48.93,69.03,52.97,53.14,56.79,53.92,58.98,51.88,55.86,123.93
PS Ratio,9.37,9.56,8.61,7.78,9.18,9.37,13.43,12.40,14.24,9.21,7.89
PB Ratio,8.91,9.91,6.17,6.65,9.80,13.06,20.14,24.36,26.22,17.70,19.24
P/FCF Ratio,36.02,33.78,28.56,22.28,28.83,24.58,36.87,34.99,38.69,54.12,30.78
P/OCF Ratio,19.70,18.36,18.95,16.65,20.91,18.59,27.13,25.69,27.64,26.69,18.31
EV/Sales Ratio,13.54,12.99,12.10,10.82,12.07,12.03,17.32,16.73,19.54,13.40,11.92
EV/EBITDA Ratio,24.35,21.55,21.19,18.59,21.53,22.04,29.30,29.93,30.31,22.85,24.91
EV/EBIT Ratio,42.57,36.28,40.11,34.01,39.83,45.87,48.59,51.48,49.42,49.06,61.14
EV/FCF Ratio,52.04,45.90,40.14,30.99,37.90,31.58,47.54,47.22,53.11,78.76,46.52
Debt / Equity Ratio,4.10,3.68,2.57,2.74,3.24,3.97,6.14,8.97,10.24,8.44,10.33
Debt / EBITDA Ratio,7.75,5.88,6.28,5.51,5.41,5.21,6.93,8.17,8.62,7.49,8.85
Debt / FCF Ratio,16.56,12.53,11.90,9.18,9.52,7.46,11.25,12.88,15.10,25.82,16.52
Quick Ratio,0.66,0.35,0.58,0.77,0.58,0.38,0.37,0.65,0.34,0.35,0.42
Current Ratio,1.06,0.50,0.83,1.04,0.81,0.51,0.47,0.80,0.41,0.44,0.56
Asset Turnover,0.20,0.20,0.18,0.19,0.21,0.22,0.19,0.19,0.16,0.16,0.17
Interest Coverage,2.33,2.53,2.41,2.53,2.69,2.36,3.32,3.29,4.25,2.57,1.60
Return on Equity (ROE),15.50%,19.70%,8.50%,12.50%,17.70%,21.70%,35.80%,44.80%,51.00%,29.20%,13.80%
Return on Assets (ROA),3.30%,3.90%,2.20%,2.80%,3.60%,3.70%,4.70%,4.00%,4.30%,2.60%,1.10%
Return on Capital (ROIC),6.08%,7.47%,5.51%,6.30%,7.37%,7.89%,7.44%,6.57%,4.98%,4.41%,4.32%
Earnings Yield,1.75%,2.04%,1.45%,1.89%,1.88%,1.76%,1.85%,1.70%,1.93%,1.79%,0.82%
FCF Yield,2.78%,2.96%,3.50%,4.49%,3.47%,4.07%,2.71%,2.86%,2.58%,1.85%,3.25%
Dividend Yield,1.40%,1.40%,1.90%,2.10%,1.80%,2.00%,1.60%,2.00%,1.80%,2.80%,3.63%
Payout Ratio,78.60%,69.30%,127.50%,108.50%,97.40%,112.90%,88.50%,118.90%,91.60%,153.00%,450.33%
Buyback Yield / Dilution,0.04%,-0.24%,-5.73%,-1.48%,-0.56%,-2.61%,-0.58%,-0.13%,-1.61%,-2.09%,-0.08%
Total Shareholder Return,1.44%,1.16%,-3.83%,0.62%,1.24%,-0.61%,1.02%,1.87%,0.19%,0.71%,3.56%
