,2014-02-02,2014-05-04,2014-08-03,2014-11-02,2015-02-01,2015-05-03,2015-08-02,2015-11-01,2016-01-31,2016-05-01,2016-07-31,2016-10-30,2017-01-29,2017-04-30,2017-07-30,2017-10-29,2018-02-04,2018-05-06,2018-08-05,2018-11-04,2019-02-03,2019-05-05,2019-08-04,2019-11-03,2020-02-02,2020-05-03,2020-08-02,2020-11-01,2021-01-31,2021-05-02,2021-08-01,2021-10-31,2022-01-30,2022-05-01,2022-07-31,2022-10-30,2023-01-29,2023-04-30,2023-07-30,2023-10-29
Cash & Equivalents,"1,112","1,278","1,277","1,604","2,569","2,508","1,354","1,822","2,169","2,041","1,961","3,097","3,536","4,254","5,249","11,204","7,076","8,187","4,136","4,292","5,093","5,328","5,462","5,055","6,444","9,207","8,857","7,618","9,552","9,518","11,105","12,163","10,219","9,005","9,977","12,416","12,647","11,553","12,055","14,189"
Short-Term Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash & Cash Equivalents,"1,112","1,278","1,277","1,604","2,569","2,508","1,354","1,822","2,169","2,041","1,961","3,097","3,536","4,454","5,449","11,204","7,076","8,187","4,136","4,292","5,093","5,328","5,462","5,055","6,444","9,207","8,857","7,618","9,552","9,518","11,105","12,163","10,219","9,005","9,977","12,416","12,647","11,553","12,055","14,189"
Cash Growth,-3.39%,4.84%,47.97%,62.84%,131.03%,96.24%,6.03%,13.59%,-15.57%,-18.62%,44.83%,69.98%,63.02%,118.23%,177.87%,261.77%,100.11%,83.81%,-24.10%,-61.69%,-28.02%,-34.92%,32.06%,17.78%,26.53%,72.80%,62.16%,50.70%,48.23%,3.38%,25.38%,59.66%,6.98%,-5.39%,-10.16%,2.08%,23.76%,28.30%,20.83%,14.28%
Receivables,323,319,590,782,718,758,809,"1,019","1,060","1,857","2,181","2,181","1,947","2,073","2,417","2,448","2,459","2,749","3,010","3,325","3,677","3,484","3,539","3,259","3,651","3,211","2,684","2,297","2,524","2,425","2,234","2,071","2,539","3,083","2,708","2,958","3,234","3,031","2,914","3,154"
Inventory,286,301,482,519,500,490,507,524,490,"1,467","1,306","1,400","1,336","1,311","1,431","1,447","1,291","1,235","1,216","1,124","1,074","1,034","1,091",874,944,953,"1,081","1,003",952,"1,004","1,160","1,297","1,520","1,668","1,838","1,925","1,899","1,886","1,842","1,898"
Other Current Assets,138,136,"1,491",930,311,320,499,394,252,"1,322",600,447,531,630,646,724,394,303,333,366,760,831,806,729,"1,070",851,"1,059",977,"1,272","1,298","1,137","1,055","1,063","1,054","1,038","1,205","1,056","1,401","1,522","1,606"
Total Current Assets,"1,859","2,034","3,840","3,835","4,098","4,076","3,169","3,759","3,971","6,687","6,048","7,125","7,350","8,468","9,943","15,823","11,220","12,474","8,695","9,107","10,604","10,677","10,898","9,917","12,109","14,222","13,681","11,895","14,300","14,245","15,636","16,586","15,341","14,810","15,561","18,504","18,836","17,871","18,333","20,847"
"Property, Plant & Equipment",684,731,"1,016","1,158","1,269","1,344","1,392","1,460","1,505","2,486","2,573","2,509","2,646","2,762","2,909","2,599","2,747","2,720","2,695","2,635","2,684","2,654","2,611","2,565","2,616","2,618","2,567","2,509","2,496","2,416","2,370","2,348","2,303","2,262","2,250","2,223","2,201","2,209","2,180","2,154"
Goodwill and Intangibles,859,833,"5,078","5,213","5,041","4,876","5,198","4,951","4,774","41,720","40,603","39,800","38,767","37,722","36,633","35,538","40,070","39,254","38,518","37,675","58,140","56,850","55,565","54,268","64,937","63,366","61,804","60,229","58,876","57,525","56,176","54,824","53,694","52,844","51,782","50,725","49,839","49,048","48,273","47,520"
Other Long-Term Assets,70,73,328,285,289,236,229,345,527,514,528,532,854,897,457,458,507,488,464,707,682,735,693,743,"1,344","1,342","1,246","1,300","1,300","1,338","1,698","1,812","1,886","1,803","1,733","1,797","2,100","2,539","2,809","2,340"
Total Long-Term Assets,"1,613","1,637","6,422","6,656","6,599","6,456","6,819","6,756","6,806","44,720","43,704","42,841","42,267","41,381","39,999","38,595","43,324","42,462","41,677","41,017","61,506","60,239","58,869","57,576","68,897","67,326","65,617","64,038","62,672","61,279","60,244","58,984","57,883","56,909","55,765","54,745","54,140","53,796","53,262","52,014"
