,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Revenue,"73,316","61,343","60,787","62,308","67,941","69,620","67,842","68,696","68,770","66,905"
Revenue Growth (YoY),7.50%,-16.33%,-0.91%,2.50%,9.04%,2.47%,-2.55%,1.26%,0.11%,-2.71%
Cost of Revenue,"47,421","40,915","42,757","45,151","47,920","49,136","47,765","48,160","50,547","52,033"
Gross Profit,"25,895","20,428","18,030","17,157","20,021","20,484","20,077","20,536","18,223","14,872"
Other Operating Expenses,"17,091","14,777","13,749","13,621","13,714","13,689","13,150","12,018","11,859","12,710"
Operating Expenses,"17,091","14,777","13,749","13,621","13,714","13,689","13,150","12,018","11,859","12,710"
Operating Income,"8,804","5,651","4,281","3,536","6,307","6,795","6,927","8,518","6,364","2,162"
Other Expense / Income,30,"-1,312","2,738",996,5,10,11,21,18,24
Pretax Income,"8,774","6,963","1,543","2,540","6,302","6,785","6,916","8,497","6,346","2,138"
Income Tax,"2,465","1,590",693,"-1,470","1,179",886,"1,509","1,642","1,062",560
Net Income,"6,309","5,373",850,"4,010","5,123","5,899","5,407","6,855","5,284","1,578"
Preferred Dividends,122,158,103,103,141,178,216,201,185,198
Net Income Common,"6,187","5,215",747,"3,907","4,982","5,721","5,191","6,654","5,099","1,380"
Net Income Growth,90.60%,-15.71%,-85.68%,423.03%,27.51%,14.83%,-9.26%,28.18%,-23.37%,-72.94%
Shares Outstanding (Basic),"1,136","1,112","1,099","1,052",987,920,900,841,785,740
Shares Change,1.34%,-2.15%,-1.12%,-4.26%,-6.22%,-6.81%,-2.14%,-6.53%,-6.72%,-5.66%
EPS (Basic),5.48,4.67,0.68,3.65,4.95,6.10,5.72,7.71,6.35,1.82
EPS (Diluted),5.42,4.62,0.67,3.62,4.91,6.06,5.68,7.65,6.30,1.81
EPS Growth,86.25%,-14.76%,-85.50%,440.30%,35.64%,23.42%,-6.27%,34.68%,-17.65%,-71.27%
Free Cash Flow,"16,376","14,052","14,774","12,283","11,738","13,786","11,639","12,347","13,044","13,721"
Free Cash Flow Per Share,14.41,12.64,13.44,11.67,11.89,14.99,12.93,14.68,16.63,18.54
Dividend Per Share,1.325,1.475,1.575,1.600,1.660,1.740,1.820,1.900,1.980,2.060
Dividend Growth,31.19%,11.32%,6.78%,1.59%,3.75%,4.82%,4.60%,4.40%,4.21%,4.04%
Gross Margin,35.32%,33.30%,29.66%,27.54%,29.47%,29.42%,29.59%,29.89%,26.50%,22.23%
Operating Margin,12.01%,9.21%,7.04%,5.68%,9.28%,9.76%,10.21%,12.40%,9.25%,3.23%
Profit Margin,8.44%,8.50%,1.23%,6.27%,7.33%,8.22%,7.65%,9.69%,7.41%,2.06%
Free Cash Flow Margin,22.34%,22.91%,24.30%,19.71%,17.28%,19.80%,17.16%,17.97%,18.97%,20.51%
Effective Tax Rate,28.09%,22.83%,44.91%,-57.87%,18.71%,13.06%,21.82%,19.32%,16.73%,26.19%
EBITDA,"9,487","7,656","2,195","3,335","6,930","7,415","7,535","9,191","7,019","2,856"
EBITDA Margin,12.94%,12.48%,3.61%,5.35%,10.20%,10.65%,11.11%,13.38%,10.21%,4.27%
Depreciation & Amortization,713,693,652,795,628,630,619,694,673,718
EBIT,"8,774","6,963","1,543","2,540","6,302","6,785","6,916","8,497","6,346","2,138"
EBIT Margin,11.97%,11.35%,2.54%,4.08%,9.28%,9.75%,10.19%,12.37%,9.23%,3.20%
