,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cash & Equivalents,"10,808","12,752","12,651","12,701","15,821","16,598","19,795","20,047","20,195","20,639"
Cash & Cash Equivalents,"10,808","12,752","12,651","12,701","15,821","16,598","19,795","20,047","20,195","20,639"
Cash Growth,42.49%,17.99%,-0.79%,0.40%,24.56%,4.91%,19.26%,1.27%,0.74%,2.20%
Receivables,"22,244","22,702","15,445","18,423","19,644","20,443","17,870","17,149","17,364","28,971"
Goodwill and Intangibles,"9,872","9,477","9,220","9,590","9,422","9,308","10,112","9,535","9,297","9,236"
Total Assets,"902,337","877,933","898,764","719,892","687,538","740,463","795,146","759,708","663,072","687,584"
Accounts Payable,"35,326","36,871","25,873","25,723","24,794","26,745","29,475","31,920","20,937","17,524"
Total Liabilities,"829,678","809,437","831,062","661,022","634,580","674,081","720,329","691,959","632,947","657,331"
Total Debt,"23,775","25,456","21,126","20,428","17,304","17,844","18,994","18,196","18,696","19,465"
Debt Growth,-9.31%,7.07%,-17.01%,-3.30%,-15.29%,3.12%,6.44%,-4.20%,2.75%,4.11%
Common Stock,"29,384","27,659","27,482","24,722","22,093","20,014","19,995","15,366","12,170","9,111"
Retained Earnings,"32,020","35,519","34,683","26,527","28,926","33,078","36,491","41,197","40,332","40,146"
Comprehensive Income,"10,649","4,771","5,366","7,427","1,722","13,052","18,072","10,919","-22,621","-19,242"
Shareholders' Equity,"72,053","67,949","67,531","58,676","52,741","66,144","74,558","67,482","29,881","30,015"
Net Cash / Debt,"-12,967","-12,704","-8,475","-7,727","-1,483","-1,246",801,"1,851","1,499","1,174"
Net Cash / Debt Growth,-,-,-,-,-,-,-,131.09%,-19.02%,-21.68%
Book Value Per Share,63.42,61.13,61.44,55.76,53.44,71.92,82.85,80.22,38.08,40.55
