,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"13,626","17,037","20,034","23,852","32,020","48,657","56,859","80,883","46,128","46,208","52,220"
Market Cap Growth,89.40%,25.03%,17.59%,19.06%,34.25%,51.96%,16.86%,42.25%,-42.97%,0.17%,-
Enterprise Value,"12,786","16,409","19,585","23,551","31,658","47,819","56,151","80,106","45,604","45,258","51,270"
PE Ratio,16.80,34.42,35.18,40.87,44.34,46.48,69.05,53.81,30.31,32.95,37.43
PS Ratio,5.87,6.83,6.76,6.94,8.60,11.19,12.96,15.46,8.57,7.70,8.70
PB Ratio,6.22,6.81,7.65,8.07,10.20,11.73,12.43,13.86,7.94,6.95,7.85
P/FCF Ratio,14.46,38.11,37.92,28.65,46.54,52.40,87.84,57.51,47.38,71.88,81.24
P/OCF Ratio,13.33,30.99,28.44,23.83,34.55,41.13,53.93,46.70,37.87,51.58,58.29
EV/Sales Ratio,5.50,6.58,6.61,6.86,8.50,11.00,12.80,15.31,8.47,7.54,8.54
EV/EBITDA Ratio,10.40,23.26,23.65,20.66,36.44,36.73,52.58,42.53,23.35,25.26,28.61
EV/EBIT Ratio,11.01,25.66,25.87,22.26,40.01,40.28,60.22,46.56,25.53,27.96,31.67
EV/FCF Ratio,13.57,36.71,37.07,28.29,46.01,51.50,86.75,56.96,46.84,70.41,79.76
Debt / Equity Ratio,0.27,0.24,0.31,0.35,0.19,0.16,0.15,0.12,0.12,0.10,0.10
Debt / EBITDA Ratio,0.49,0.85,0.99,0.91,0.68,0.52,0.65,0.37,0.35,0.39,0.39
Debt / FCF Ratio,0.63,1.34,1.56,1.24,0.86,0.73,1.07,0.49,0.71,1.08,1.08
Quick Ratio,4.15,3.35,3.17,1.28,1.70,2.34,2.24,2.07,1.87,2.08,2.08
Current Ratio,5.24,4.30,4.21,1.80,2.61,3.31,3.46,3.08,3.03,3.38,3.38
Asset Turnover,0.72,0.66,0.71,0.65,0.65,0.74,0.66,0.66,0.64,0.66,0.66
Interest Coverage,67.51,37.19,39.43,45.61,26.46,57.35,59.02,93.50,93.05,91.97,91.97
Return on Equity (ROE),43.30%,21.00%,22.60%,19.80%,22.40%,28.10%,19.90%,28.40%,25.60%,21.90%,21.90%
Return on Assets (ROA),25.20%,13.20%,13.60%,11.10%,12.70%,17.80%,12.40%,19.10%,18.00%,15.40%,15.40%
Return on Capital (ROIC),29.55%,16.31%,16.87%,14.54%,18.86%,21.32%,15.53%,21.19%,22.70%,17.98%,17.98%
Earnings Yield,5.95%,2.90%,2.84%,2.45%,2.26%,2.15%,1.45%,1.86%,3.30%,3.04%,2.69%
FCF Yield,6.92%,2.62%,2.64%,3.49%,2.15%,1.91%,1.14%,1.74%,2.11%,1.39%,1.23%
Buyback Yield / Dilution,4.66%,-1.52%,1.13%,0.87%,1.05%,0.66%,0.75%,0.11%,1.11%,2.37%,2.37%
Total Shareholder Return,4.66%,-1.52%,1.13%,0.87%,1.05%,0.66%,0.75%,0.11%,1.11%,2.37%,2.37%
