,2014-01-03,2014-04-04,2014-07-04,2014-10-03,2015-01-02,2015-04-03,2015-07-03,2015-10-02,2016-01-01,2016-04-01,2016-07-01,2016-09-30,2016-12-30,2017-03-31,2017-06-30,2017-09-29,2017-12-29,2018-03-30,2018-06-29,2018-09-28,2018-12-28,2019-03-29,2019-06-28,2019-09-27,2020-01-03,2020-04-03,2020-07-03,2020-10-02,2021-01-01,2021-04-02,2021-07-02,2021-10-01,2021-12-31,2022-04-01,2022-07-01,2022-09-30,2022-12-30,2023-03-31,2023-06-30,2023-09-29
Revenue,599.19,604.7,642.2,584.8,563.8,582.6,585.8,562.3,559.7,583,609.6,584.1,585.4,610.6,659.9,676.2,699.8,742.2,785.5,795.2,785.5,801.6,854.8,783.9,824,792.3,733.6,792.1,829.7,886.5,945.2,901.4,926,993.7,941.2,884.9,856.5,915.4,993.6,957.3
Revenue Growth (YoY),16.23%,8.74%,11.44%,5.08%,-5.91%,-3.65%,-8.78%,-3.85%,-0.73%,0.07%,4.06%,3.88%,4.59%,4.73%,8.25%,15.77%,19.54%,21.55%,19.03%,17.60%,12.25%,8.00%,8.82%,-1.42%,4.90%,-1.16%,-14.18%,1.05%,0.69%,11.89%,28.84%,13.80%,11.61%,12.09%,-0.42%,-1.83%,-7.51%,-7.88%,5.57%,8.18%
Cost of Revenue,279.76,277.8,287.6,268,271.3,275.4,281.9,264.3,266.6,282.4,294,275.1,276.1,286.3,317.3,325,340.3,346,362.8,368.3,350.3,363.3,394.2,361.9,364,351.3,327.9,352.4,361.2,393.2,419.8,396.9,414.5,444.1,403.7,369.5,353.4,354.6,389.1,367.1
Gross Profit,319.43,326.9,354.6,316.8,292.5,307.2,303.9,298,293.1,300.6,315.6,309,309.3,324.3,342.6,351.2,359.5,396.2,422.7,426.9,435.2,438.3,460.6,422,460,441,405.7,439.7,468.5,493.3,525.4,504.5,511.5,549.6,537.5,515.4,503.1,560.8,604.5,590.2
"Selling, General & Admin",152.19,154.8,157,207.2,115.7,161.2,160.4,152.3,156,165,163,147.8,154.9,163.7,175.2,174,188.9,203.7,202.2,211.3,212.4,210.2,208.7,196.9,219,204.7,172.4,191,199.8,207.8,224.8,210.7,232.6,233.4,245.8,246.7,249.9,246.1,296.6,263.4
Research & Development,77.62,76.4,81.8,79,80.8,87.2,84.5,79.6,85.4,87.7,92,86.9,83,88.7,90.8,92.6,98.1,109.3,110.1,114.1,112.6,118.2,119.6,112.3,119.6,118.2,114,117.9,125.8,129.4,138.3,132.5,136.4,140.3,140.1,127,134.7,159.3,174.8,162.5
Other Operating Expenses,22.32,20,18.6,19.5,19.2,19.3,23,20.1,18.8,18,20.1,19,16.7,17.2,17.6,18.3,16.8,19,20.9,24.1,20.6,23.6,22.6,21.1,33.2,19.8,21.7,28.8,21,15.2,17.5,13.8,14.7,19,16.7,19.3,21.8,18.4,39.5,43
Operating Expenses,252.12,251.2,257.4,305.7,215.7,267.7,267.9,252,260.2,270.7,275.1,253.7,254.6,269.6,283.6,284.9,303.8,332,333.2,349.5,345.6,352,350.9,330.3,371.8,342.7,308.1,337.7,346.6,352.4,380.6,357,383.7,392.7,402.6,393,406.4,423.8,510.9,468.9
Operating Income,67.31,75.7,97.2,11.1,76.8,39.5,36,46,32.9,29.9,40.5,55.3,54.7,54.7,59,66.3,55.7,64.2,89.5,77.4,89.6,86.3,109.7,91.7,88.2,98.3,97.6,102,121.9,140.9,144.8,147.5,127.8,156.9,134.9,122.4,96.7,137,93.6,121.3
Interest Expense / Income,4.15,3.7,3.1,3,8.9,6.4,6.3,6.4,6.5,6.6,6.6,6.6,6.1,6.1,6,6.3,6.8,9.5,18.6,22.7,22.4,21.9,20.6,19.7,20.2,20.5,19.6,19.6,17.9,16.9,16.6,15.9,16,16,15.3,15.6,24.2,19.7,46.7,46.8
