,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"13,257","15,312","19,219","16,017","12,308","12,335","14,978","13,249","14,833","13,787","12,356"
Market Cap Growth,-10.06%,15.50%,25.52%,-16.66%,-23.15%,0.22%,21.43%,-11.54%,11.96%,-7.06%,-
Enterprise Value,"17,040","19,141","22,456","19,234","21,775","20,778","20,315","18,238","19,534","18,287","16,971"
PE Ratio,15.31,22.99,34.14,18.06,47.16,58.46,9.20,13.22,19.60,16.07,15.70
PS Ratio,1.60,1.90,2.41,2.74,1.86,1.52,1.72,1.56,1.73,1.47,1.33
PB Ratio,8.21,11.09,12.60,9.78,9.02,11.18,5.84,4.20,4.45,3.77,3.29
P/FCF Ratio,23.10,18.21,16.64,16.86,13.71,12.16,13.65,17.43,15.80,17.84,18.89
P/OCF Ratio,14.75,12.70,12.89,12.44,9.43,8.82,10.73,12.80,12.56,12.06,11.34
EV/Sales Ratio,2.06,2.37,2.82,3.30,3.29,2.56,2.34,2.15,2.28,1.95,1.82
EV/EBITDA Ratio,10.22,14.07,17.65,11.23,23.07,17.85,8.21,9.82,13.01,10.74,10.41
EV/EBIT Ratio,12.51,18.11,23.30,13.80,39.59,28.94,9.46,11.84,16.78,13.90,13.71
EV/FCF Ratio,29.69,22.76,19.44,20.25,24.25,20.49,18.52,24.00,20.80,23.66,25.95
Debt / Equity Ratio,2.49,2.96,2.32,2.16,6.98,7.68,2.42,1.60,1.44,1.28,1.25
Debt / EBITDA Ratio,2.41,3.00,2.78,2.07,10.08,7.28,2.50,2.72,3.20,2.75,2.89
Debt / FCF Ratio,6.99,4.85,3.06,3.72,10.60,8.36,5.65,6.66,5.12,6.07,7.20
Quick Ratio,0.30,0.32,0.36,0.39,0.17,0.18,0.47,0.37,0.23,0.32,0.35
Current Ratio,0.70,0.75,0.75,0.79,0.64,0.58,0.78,0.93,0.68,0.93,0.97
Asset Turnover,1.00,1.01,0.99,0.76,0.59,0.58,0.70,0.70,0.72,0.78,0.77
Interest Coverage,11.16,9.79,8.38,12.12,3.01,2.02,6.22,7.33,6.16,7.00,6.52
Return on Equity (ROE),58.00%,43.50%,36.70%,57.40%,16.30%,16.90%,73.40%,33.90%,22.80%,24.00%,21.80%
Return on Assets (ROA),10.40%,8.30%,7.00%,11.50%,2.30%,1.50%,13.10%,8.30%,6.40%,7.10%,6.60%
Return on Capital (ROIC),15.72%,13.54%,12.59%,19.18%,6.60%,5.96%,11.42%,14.18%,11.09%,11.95%,11.06%
Earnings Yield,6.53%,4.35%,2.93%,5.54%,2.12%,1.71%,10.87%,7.56%,5.10%,6.22%,6.43%
FCF Yield,4.33%,5.49%,6.01%,5.93%,7.30%,8.22%,7.32%,5.74%,6.33%,5.61%,5.29%
Dividend Yield,3.00%,2.50%,2.00%,2.60%,3.40%,3.40%,2.80%,3.30%,3.00%,3.20%,3.57%
Payout Ratio,45.20%,58.60%,68.60%,48.10%,160.90%,200.00%,26.00%,44.10%,59.00%,51.60%,56.06%
Buyback Yield / Dilution,0.32%,0.95%,0.64%,1.29%,1.63%,-,-0.66%,-0.33%,0.98%,0.33%,0.66%
Total Shareholder Return,3.32%,3.45%,2.64%,3.89%,5.03%,3.40%,2.14%,2.97%,3.98%,3.53%,4.24%
