,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
operatingCashflow,-22488000,-21491000,-40758000,-63300000,-64264000,-101026000,-37491000,64079000,-38193000,102346000,129762000,60640000,-25800000,-34508000,261697000,-149404000,-119427000,-155358000,218564000,-334544000,-179188000,148678000,-1551561000,-54056000,-90981000,-300562000,509545000,-398376000,-129664000,1391040000,1235000000,-640000000,864000000,756000000,1425000000,-440000000,964000000,2400000000,3019000000,1641000000,2124000000,3147000000,4585000000,3995000000,2351000000,5100000000,3278000000,2513000000,3065000000,3308000000,4370000000
paymentsForOperatingActivities,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,26200000,None,None,None,None,671000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
proceedsFromOperatingActivities,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
changeInOperatingLiabilities,None,24625000,34693000,29237000,36495000,78567000,110436000,28318000,65533000,-2201000,32158000,145521000,125964000,97826000,213743000,85938000,23926000,39918000,173981000,176658000,500253000,474066000,120081000,8136000,-6234000,248363000,389107000,324782000,609782000,1052082000,302831000,310285000,331084000,296631000,654000000,-229000000,-51000000,1424000000,1774000000,857000000,1061000000,1545000000,2384000000,1598000000,957000000,3976000000,2533000000,1523000000,1696000000,-403000000,1321000000
changeInOperatingAssets,None,-3755000,-9695000,1581000,-2599000,-962000,18644000,21714000,68128000,-60242000,10125000,35078000,37517000,71765000,104428000,47355000,-98447000,22978000,35804000,175323000,-185944000,89081000,130652000,-16037000,52186000,612296000,-372876000,541224000,708035000,578987000,-226125000,926831000,-309115000,207284000,144000000,1109000000,-21000000,459000000,122000000,-441000000,1831000000,964000000,-5755000000,1942000000,2058000000,3363000000,4194000000,2380000000,2099000000,-570000000,524000000
depreciationDepletionAndAmortization,3800000,3700000,4100000,3800000,3700000,6800000,11600000,17400000,20200000,21200000,25100000,28900000,36100000,40200000,50800000,52100000,60800000,71800000,94000000,99200000,111900000,126800000,139400000,160100000,176600000,197500000,235100000,245200000,251800000,300000000,471730000,339508000,369537000,476000000,566000000,417000000,402000000,455000000,875000000,426000000,462000000,496000000,997000000,552000000,578000000,620000000,1162000000,722000000,816000000,897000000,1396000000
capitalExpenditures,54314000,68844000,54262000,67987000,61286000,68472000,41483000,57727000,40515000,76548000,89434000,141364000,175685000,284175000,368661000,426060000,405165000,392403000,411222000,216859000,294720000,247611000,521612000,552624000,959068000,1116434000,786688000,655662000,609813000,510271000,324978000,279932000,255010000,385058000,412000000,455000000,546000000,1010000000,1156000000,2848000000,1505000000,1819000000,1810000000,1767000000,3230000000,303000000,1858000000,2072000000,2060000000,2460000000,2306000000
changeInReceivables,None,-5058000,-8711000,4050000,-2567000,-1858000,17678000,19297000,67405000,-65964000,1179000,23800000,24131000,61241000,74486000,-2175000,-60657000,-15541000,32106000,159327000,-157901000,109084000,102587000,-91541000,14498000,182686000,-81008000,169142000,-70633000,587594000,-189371000,99640000,68672000,-18312000,217000000,14000000,222000000,314000000,102000000,-24000000,307000000,-135000000,-278000000,409000000,-176000000,193000000,698000000,32000000,472000000,-881000000,963000000
changeInInventory,-7483000,2133000,-2807000,-5600000,-12838000,-85594000,-90694000,18220000,-147466000,-229171000,-104853000,-197734000,-260398000,-214531000,-377601000,-307209000,-399011000,-385162000,-482478000,-512671000,-705260000,-580283000,287536000,124514000,269188000,25268000,-239970000,322081000,733475000,55444000,-88000000,809000000,-457000000,133000000,-56000000,-981000000,1516000000,67000000,-180000000,106000000,581000000,488000000,534000000,633000000,1559000000,2300000000,1973000000,1540000000,576000000,-163000000,-758000000
profitLoss,-58903000,-65078000,7835000,-89873000,-105603000,-110804000,23857000,11248000,-30502000,-38496000,156590000,-49800000,-61900000,-74708000,-107629000,-154181000,-184227000,-229858000,-320397000,-282267000,-293188000,21878000,-219469000,-397181000,-401427000,-671163000,-771229000,-784627000,-742706000,254000000,210000000,-668000000,-389000000,150000000,132000000,68000000,129000000,369000000,296000000,464000000,1178000000,1659000000,2343000000,3280000000,2269000000,3331000000,3707000000,2539000000,2614000000,1878000000,7943000000
cashflowFromInvestment,-23122000,-178170000,28923000,-66227000,-15932000,-64014000,-60757000,-55236000,-27174000,-77502000,-89505000,-329180000,2610000,-291643000,-372231000,-432344000,-422837000,-404090000,-414280000,-233819000,-319854000,-268006000,-259406000,-926943000,-1112688000,-1244727000,-911642000,-728637000,-682817000,-560546000,-365000000,-306000000,-241000000,-486000000,-403000000,-480000000,-566000000,-1039000000,-1047000000,-2582000000,-1515000000,-1855000000,-1916000000,-2167000000,-884000000,-2791000000,-6131000000,-2484000000,-3534000000,-4762000000,-4804000000
cashflowFromFinancing,264335000,93609000,53773000,92831000,72180000,40179000,214445000,3684000,597007000,24215000,10516000,1816559000,281492000,33754000,11325000,186156000,218351000,893978000,225038000,715435000,1976584000,-320870000,1372827000,1598749000,428767000,2101506000,285978000,371660000,398622000,-84282000,-112000000,-653000000,2143000000,118000000,-79000000,2708000000,123000000,4450000000,2692000000,-1016000000,-1549000000,-1381000000,-1257000000,-1914000000,-406000000,-712000000,-495000000,-233000000,-328000000,2263000000,887000000
proceedsFromRepaymentsOfShortTermDebt,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,77961000,118574000,163416000,343794000,241763000,142762000,173144000,212040000,186355000,149320000,80752000,94894000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
paymentsForRepurchaseOfCommonStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
paymentsForRepurchaseOfEquity,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,11345000,10847000,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
paymentsForRepurchaseOfPreferredStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
