,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"6,309","8,984","11,067","15,617","23,400","21,979","24,992","39,086","50,193","28,830","41,254"
Market Cap Growth,-24.67%,42.41%,23.17%,41.12%,49.84%,-6.07%,13.71%,56.39%,28.42%,-42.56%,-
Enterprise Value,"11,174","13,605","16,890","21,434","32,035","32,954","35,718","53,751","65,011","46,756","58,467"
PE Ratio,23.23,67.70,50.94,47.03,135.14,87.94,50.69,148.42,29.85,85.56,47.63
PS Ratio,4.26,5.56,6.28,7.29,9.52,7.22,7.79,10.01,11.34,6.15,7.72
PB Ratio,1.75,2.30,2.44,3.07,2.26,2.23,2.53,2.21,2.79,1.64,2.27
P/FCF Ratio,-8.97,-45.72,185.49,101.96,-43.09,365.34,324.93,-109.32,-61.32,-29.31,55.48
P/OCF Ratio,9.61,13.70,13.89,17.14,22.87,15.87,16.51,22.90,29.49,17.37,25.33
EV/Sales Ratio,7.54,8.42,9.58,10.01,13.03,10.82,11.13,13.77,14.68,9.97,10.95
EV/EBITDA Ratio,12.38,15.95,17.43,17.98,28.87,23.12,16.94,25.67,18.25,20.45,19.00
EV/EBIT Ratio,22.12,34.31,33.47,31.85,62.23,50.32,37.80,73.89,31.32,66.01,42.60
EV/FCF Ratio,-15.88,-69.24,283.11,139.94,-58.99,547.76,464.39,-150.34,-79.42,-47.53,78.63
Debt / Equity Ratio,1.37,1.20,1.30,1.15,0.84,1.13,1.09,0.83,0.83,1.03,1.00
Debt / EBITDA Ratio,5.50,5.48,6.09,4.90,7.79,7.79,5.13,7.06,4.20,7.90,5.94
Debt / FCF Ratio,-7.05,-23.78,98.88,38.12,-15.93,184.53,140.62,-41.32,-18.28,-18.37,24.58
Asset Turnover,0.16,0.17,0.18,0.18,0.15,0.14,0.14,0.11,0.12,0.12,0.13
Interest Coverage,2.67,2.08,2.50,2.85,1.99,2.04,2.68,2.18,7.06,2.37,3.34
Return on Equity (ROE),7.70%,3.30%,5.40%,7.00%,2.20%,2.50%,5.10%,1.50%,9.60%,1.90%,5.00%
Return on Assets (ROA),2.90%,1.40%,2.20%,2.80%,1.00%,1.10%,2.10%,0.80%,4.70%,0.90%,2.10%
Return on Capital (ROIC),4.42%,2.85%,3.36%,4.44%,2.30%,2.61%,2.81%,1.55%,2.02%,1.53%,1.35%
Earnings Yield,4.30%,1.48%,1.96%,2.13%,0.74%,1.14%,1.97%,0.67%,3.35%,1.17%,2.14%
FCF Yield,-11.15%,-2.19%,0.54%,0.98%,-2.32%,0.27%,0.31%,-0.91%,-1.63%,-3.41%,1.80%
Dividend Yield,6.40%,5.00%,4.50%,3.60%,3.30%,3.80%,3.60%,3.20%,2.60%,4.90%,3.58%
Payout Ratio,147.20%,332.00%,216.60%,159.30%,375.80%,333.90%,182.30%,443.60%,78.00%,413.60%,170.63%
Buyback Yield / Dilution,-10.45%,-4.30%,-3.91%,-8.51%,-16.07%,-18.17%,-1.35%,-25.33%,-7.88%,-5.19%,-5.04%
Total Shareholder Return,-4.05%,0.70%,0.59%,-4.91%,-12.77%,-14.37%,2.25%,-22.13%,-5.28%,-0.29%,-1.45%
