,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"16,277","14,709","12,673","13,243","8,542","9,731","13,149","11,592","6,728","9,565","11,159"
Market Cap Growth,20.76%,-9.63%,-13.84%,4.50%,-35.50%,13.92%,35.12%,-11.84%,-41.96%,42.17%,-
Enterprise Value,"23,393","21,932","20,796","22,028","18,226","19,687","23,821","22,990","18,134","20,205","21,799"
PE Ratio,22.51,54.53,14.40,19.96,53.59,12.00,17.00,11.85,12.01,13.83,16.47
PS Ratio,1.27,1.47,1.18,1.22,0.75,0.85,1.14,1.00,0.58,0.79,0.92
PB Ratio,3.15,3.02,2.73,2.82,2.31,4.56,9.50,15.34,9.45,9.06,10.57
P/FCF Ratio,19.90,17.32,11.09,13.14,10.89,7.45,10.08,8.99,7.00,6.41,7.48
P/OCF Ratio,11.15,9.45,6.43,6.92,4.82,4.70,6.64,6.00,4.30,4.65,5.42
EV/Sales Ratio,1.83,2.20,1.94,2.03,1.60,1.73,2.06,1.98,1.56,1.66,1.80
EV/EBITDA Ratio,10.78,14.39,8.50,10.03,12.18,9.16,11.78,10.21,9.81,9.83,10.60
EV/EBIT Ratio,14.81,24.76,12.05,15.53,20.13,12.83,17.12,14.64,16.26,15.42,16.64
EV/FCF Ratio,28.59,25.83,18.19,21.85,23.23,15.08,18.26,17.83,18.87,13.55,14.62
Debt / Equity Ratio,1.63,1.87,1.96,1.99,2.73,5.24,8.09,15.85,16.60,10.53,10.53
Debt / EBITDA Ratio,3.88,5.99,3.72,4.25,6.75,5.20,5.54,5.32,6.40,5.41,5.41
Debt / FCF Ratio,10.29,10.75,7.97,9.26,12.88,8.56,8.58,9.29,12.30,7.46,7.46
Quick Ratio,1.55,1.70,1.02,0.87,0.56,1.48,1.17,1.23,1.13,1.09,1.09
Current Ratio,1.74,1.88,1.47,2.86,1.72,1.56,1.27,1.32,1.20,1.19,1.19
Asset Turnover,0.72,0.53,0.57,0.57,0.59,0.59,0.65,0.66,0.68,0.72,0.72
Interest Coverage,3.85,2.17,4.17,3.29,1.86,3.46,4.58,5.51,3.12,3.29,3.29
Return on Equity (ROE),14.80%,5.40%,18.50%,13.50%,3.90%,26.20%,43.80%,88.30%,83.20%,67.50%,67.50%
Return on Assets (ROA),4.10%,1.40%,4.70%,3.50%,0.80%,4.20%,4.40%,5.60%,3.30%,4.10%,4.10%
Return on Capital (ROIC),8.15%,4.53%,9.82%,8.73%,4.23%,9.11%,9.43%,10.59%,7.74%,9.81%,9.81%
Earnings Yield,4.44%,1.83%,6.94%,5.01%,1.87%,8.33%,5.88%,8.44%,8.33%,7.23%,6.20%
FCF Yield,5.03%,5.77%,9.02%,7.61%,9.18%,13.42%,9.92%,11.12%,14.29%,15.59%,13.36%
Buyback Yield / Dilution,-1.01%,0.31%,5.25%,6.62%,9.92%,10.76%,20.28%,10.34%,12.84%,2.77%,2.77%
Total Shareholder Return,-1.01%,0.31%,5.25%,6.62%,9.92%,10.76%,20.28%,10.34%,12.84%,2.77%,2.77%
