,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"203,674","158,781","133,507","157,832","142,035","103,303","118,711","112,166","119,866","127,382","171,338"
Market Cap Growth,-5.90%,-22.04%,-15.92%,18.22%,-10.01%,-27.27%,14.92%,-5.51%,6.86%,6.27%,-
Enterprise Value,"212,539","171,192","146,182","172,467","154,296","114,505","163,668","152,494","160,228","165,703","213,834"
PE Ratio,12.36,13.21,10.12,13.30,24.69,11.84,12.59,20.07,20.87,77.72,24.85
PS Ratio,2.07,1.71,1.63,1.98,1.80,1.30,2.06,2.03,2.09,2.10,2.80
PB Ratio,8.94,13.38,9.36,8.65,8.07,6.15,5.70,5.45,6.34,5.81,7.42
P/FCF Ratio,14.85,12.13,9.91,11.82,10.59,8.96,9.57,7.40,11.51,14.86,14.69
P/OCF Ratio,11.65,9.41,7.74,9.24,8.49,6.78,8.04,6.16,9.37,12.21,12.75
EV/Sales Ratio,2.16,1.84,1.79,2.16,1.95,1.44,2.84,2.76,2.79,2.74,3.50
EV/EBITDA Ratio,8.53,8.06,7.27,9.95,9.32,6.92,9.69,12.49,11.92,23.57,15.31
EV/EBIT Ratio,10.50,10.23,9.00,13.32,12.85,9.49,15.11,27.64,22.82,74.34,22.31
EV/FCF Ratio,15.49,13.08,10.85,12.91,11.51,9.93,13.20,10.06,15.38,19.33,18.33
Debt / Equity Ratio,1.74,3.43,2.80,2.31,2.66,2.73,3.27,3.16,2.92,2.46,2.54
Debt / EBITDA Ratio,1.59,1.92,1.99,2.43,2.83,2.77,4.03,5.33,4.10,7.68,4.19
Debt / FCF Ratio,2.90,3.11,2.96,3.16,3.49,3.97,5.50,4.29,5.29,6.30,5.02
Quick Ratio,1.07,1.02,1.07,1.04,1.19,1.12,0.87,0.78,0.67,0.73,0.73
Current Ratio,1.28,1.20,1.24,1.21,1.33,1.29,1.02,0.98,0.88,0.92,0.91
Asset Turnover,0.83,0.77,0.74,0.68,0.65,0.65,0.39,0.36,0.40,0.47,0.47
Interest Coverage,50.37,34.59,34.70,20.56,19.53,16.69,8.06,4.28,6.08,1.83,6.33
Return on Equity (ROE),82.90%,80.00%,98.80%,72.00%,31.10%,47.70%,51.70%,27.20%,27.20%,8.10%,31.20%
Return on Assets (ROA),13.80%,10.00%,11.90%,10.10%,4.70%,7.10%,6.40%,3.60%,4.00%,1.30%,5.30%
Return on Capital (ROIC),27.43%,28.79%,25.35%,20.67%,9.42%,14.82%,9.55%,5.95%,7.92%,5.05%,10.26%
Earnings Yield,8.09%,7.57%,9.88%,7.52%,4.05%,8.45%,7.94%,4.98%,4.79%,1.29%,4.04%
FCF Yield,6.73%,8.24%,10.09%,8.46%,9.44%,11.16%,10.45%,13.51%,8.69%,6.73%,6.81%
Dividend Yield,2.00%,2.60%,3.60%,3.30%,3.80%,5.50%,4.80%,5.20%,4.90%,4.70%,3.54%
Payout Ratio,24.60%,35.50%,37.10%,44.20%,95.60%,64.90%,60.50%,103.70%,102.20%,364.10%,81.77%
Buyback Yield / Dilution,4.54%,8.44%,2.70%,2.44%,2.22%,2.25%,2.56%,-0.42%,-0.90%,-0.84%,-2.17%
Total Shareholder Return,6.54%,11.04%,6.30%,5.74%,6.02%,7.75%,7.36%,4.78%,4.00%,3.86%,1.37%
