,2014-05-02,2014-08-01,2014-10-31,2015-01-30,2015-04-03,2015-07-03,2015-10-02,2016-01-01,2016-04-01,2016-07-01,2016-09-30,2016-12-30,2017-03-31,2017-06-30,2017-09-29,2017-12-29,2018-03-30,2018-06-29,2018-09-28,2018-12-28,2019-03-29,2019-06-28,2019-09-27,2020-01-03,2020-04-03,2020-07-03,2020-10-02,2021-01-01,2021-04-02,2021-07-02,2021-10-01,2021-12-31,2022-04-01,2022-07-01,2022-09-30,2022-12-30,2023-03-31,2023-06-30,2023-09-29,2023-12-29,Current
Market Capitalization,"2,924","2,741","2,708","3,066","3,125","3,006","3,036","4,056","3,709","3,538","3,151","7,690","7,689","7,807","8,955","9,768","9,905","8,955","10,408","7,847","9,367","11,515","12,227","14,083","12,435","13,301","12,853","14,961","13,686","14,504","13,793","12,476","15,217","14,001","11,943","14,378","12,606","12,137","12,658","14,884","17,027"
Market Cap Growth,-42.64%,-48.87%,-33.35%,-21.02%,6.88%,9.67%,12.13%,32.27%,18.67%,17.71%,3.78%,89.59%,107.33%,120.63%,184.20%,27.03%,28.83%,14.71%,16.23%,-19.66%,-5.43%,28.59%,17.48%,79.46%,32.75%,15.51%,5.12%,6.23%,10.06%,9.04%,7.31%,-16.61%,11.19%,-3.47%,-13.41%,15.25%,-17.15%,-13.32%,5.99%,3.51%,-
Enterprise Value,"4,074","3,715","3,519","3,789","3,906","3,770","3,546","4,481","4,191","3,961","6,172","10,601","10,755","10,776","11,775","12,489","12,778","11,713","12,934","10,644","12,168","14,159","14,903","16,727","16,727","18,244","17,416","19,745","18,632","19,886","18,921","17,414","20,627","19,452","16,729","19,352","17,803","17,250","17,120","19,305","21,448"
PE Ratio,24.37,-7.61,-8.38,-9.49,-9.80,19.27,17.76,16.76,14.60,13.72,10.50,31.52,29.24,24.40,28.79,26.69,25.01,20.26,20.53,13.51,14.02,17.45,18.14,21.11,20.97,21.81,21.00,23.82,19.06,19.76,17.77,16.57,21.05,19.31,17.51,20.99,18.76,17.14,86.11,74.79,85.99
PS Ratio,0.53,0.52,0.52,0.61,0.63,0.61,0.61,0.86,0.78,0.74,0.59,1.09,0.93,0.81,0.88,0.96,0.99,0.90,1.03,0.77,0.91,1.09,1.13,1.27,1.09,1.15,1.07,1.22,1.08,1.09,1.02,0.91,1.09,1.00,0.84,1.00,0.86,0.82,0.84,0.96,1.10
PB Ratio,2.08,2.86,2.77,3.07,3.13,3.27,3.18,3.80,3.37,3.15,1.01,2.45,2.42,2.42,2.72,2.90,2.89,2.62,3.01,2.37,2.84,3.43,3.77,4.13,3.71,3.76,3.47,3.87,3.48,3.54,3.35,2.91,3.85,3.50,2.92,3.35,2.86,2.64,3.05,3.54,4.05
P/FCF Ratio,6.83,9.45,7.80,8.03,8.59,7.42,6.02,9.50,8.35,9.77,8.93,18.18,21.36,17.43,20.40,21.56,18.41,14.01,14.12,11.29,8.99,12.07,13.06,14.56,13.21,11.60,9.24,12.86,13.06,21.71,21.65,13.43,19.48,17.18,12.24,16.55,18.90,15.95,15.74,15.54,17.77
P/OCF Ratio,6.75,8.18,6.85,7.46,8.10,7.24,5.92,10.82,9.51,11.38,10.10,17.13,19.61,16.06,18.54,18.57,16.00,12.37,12.57,10.22,9.06,12.13,13.19,14.20,11.56,10.14,8.27,11.21,11.40,18.22,17.94,12.08,17.16,15.30,11.07,14.49,15.74,13.19,12.84,12.78,14.62
Debt / Equity Ratio,0.95,1.39,1.26,1.17,1.16,1.23,1.20,1.01,0.99,0.97,1.11,1.05,1.03,1.00,0.94,0.92,0.90,0.90,0.88,0.94,1.01,0.98,1.02,0.97,1.41,1.56,1.37,1.37,1.35,1.40,1.39,1.32,1.44,1.45,1.37,1.28,1.26,1.18,1.26,1.24,1.24
Quick Ratio,1.28,1.47,1.44,1.41,1.37,1.30,1.42,1.52,1.48,1.61,1.07,1.01,1.03,1.10,1.03,1.01,1.01,1.03,1.11,1.07,1.05,1.11,0.95,1.03,0.52,0.69,0.70,0.92,0.87,0.84,0.86,0.90,0.78,0.71,0.75,0.73,0.92,0.98,1.05,1.07,1.07
