,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Revenue,"6,313","6,795","6,986","7,071","7,739","9,132","5,852","9,466","8,299","7,662"
Revenue Growth (YoY),12.21%,7.64%,2.81%,1.22%,9.45%,18.00%,-35.92%,61.76%,-12.33%,-7.68%
Gross Profit,"6,313","6,795","6,986","7,071","7,739","9,132","5,852","9,466","8,299","7,662"
"Selling, General & Admin","1,326","1,475","1,621","1,802","1,955","2,004","1,828","1,987","2,168","2,411"
Other Operating Expenses,"1,601","1,789","1,795","1,945","2,140","2,241","2,227","1,976","2,169","2,347"
Operating Expenses,"2,927","3,264","3,416","3,747","4,095","4,245","4,055","3,963","4,337","4,758"
Operating Income,"3,386","3,531","3,570","3,324","3,644","4,887","1,797","5,503","3,962","2,904"
Other Expense / Income,-,-,-,-,-,-,42,42,42,42
Pretax Income,"3,386","3,531","3,570","3,324","3,644","4,887","1,755","5,461","3,920","2,862"
Income Tax,"1,277","1,317","1,319","1,389",854,"1,140",412,"1,282",946,666
Net Income,"2,109","2,214","2,251","1,935","2,790","3,747","1,343","4,179","2,974","2,196"
Net Income Growth,6.57%,4.98%,1.67%,-14.04%,44.19%,34.30%,-64.16%,211.17%,-28.83%,-26.16%
Shares Outstanding (Basic),834,834,825,783,719,646,584,547,451,414
Shares Change,0.42%,0.01%,-1.00%,-5.19%,-8.16%,-10.09%,-9.66%,-6.26%,-17.67%,-8.15%
EPS (Basic),2.78,2.66,2.71,2.43,3.76,5.59,2.28,7.40,6.19,5.21
EPS (Diluted),2.78,2.65,2.71,2.42,3.74,5.56,2.27,7.34,6.15,5.19
EPS Growth,-1.07%,-4.68%,2.26%,-10.70%,54.55%,48.66%,-59.17%,223.35%,-16.21%,-15.61%
Free Cash Flow,"5,340","6,184","6,511","8,575","9,342","8,990","7,487","7,099","6,694","8,593"
Free Cash Flow Per Share,6.41,7.42,7.89,10.96,13.00,13.91,12.82,12.97,14.86,20.77
Dividend Per Share,-,-,0.260,0.560,0.720,0.860,0.880,0.880,0.900,0.960
Dividend Growth,-,-,-,115.38%,28.57%,19.44%,2.33%,0%,2.27%,6.67%
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,53.64%,51.96%,51.10%,47.01%,47.09%,53.52%,30.71%,58.13%,47.74%,37.90%
Profit Margin,33.41%,32.58%,32.22%,27.37%,36.05%,41.03%,22.95%,44.15%,35.84%,28.66%
Free Cash Flow Margin,84.59%,91.01%,93.20%,121.27%,120.71%,98.45%,127.94%,74.99%,80.66%,112.15%
Effective Tax Rate,37.71%,37.30%,36.95%,41.79%,23.44%,23.33%,23.48%,23.48%,24.13%,23.27%
EBITDA,"3,517","3,705","3,789","3,578","3,946","5,254","2,138","5,851","4,339","3,320"
EBITDA Margin,55.71%,54.53%,54.24%,50.60%,50.99%,57.53%,36.53%,61.81%,52.28%,43.33%
Depreciation & Amortization,131,174,219,254,302,367,383,390,419,458
EBIT,"3,386","3,531","3,570","3,324","3,644","4,887","1,755","5,461","3,920","2,862"
EBIT Margin,53.64%,51.96%,51.10%,47.01%,47.09%,53.52%,29.99%,57.69%,47.23%,37.35%
