,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cash & Equivalents,"11,828","12,325","9,321","11,602","9,396","12,147","11,524","8,337","10,294","14,259"
Cash & Cash Equivalents,"11,828","12,325","9,321","11,602","9,396","12,147","11,524","8,337","10,294","14,259"
Cash Growth,410.05%,4.20%,-24.37%,24.47%,-19.01%,29.28%,-5.13%,-27.66%,23.47%,38.52%
Goodwill and Intangibles,"1,468","1,650","1,661","1,740","2,161","2,343","2,203","2,273","1,847","1,833"
Total Assets,"75,707","83,990","90,207","95,808","106,792","104,826","95,948","95,748","104,564","117,479"
Total Liabilities,"65,229","71,386","76,011","81,574","92,114","89,738","83,247","82,093","91,691","103,576"
Total Debt,"27,460","24,279","20,147","20,799","23,996","19,866","15,775","14,507","14,191","15,982"
Debt Growth,12.91%,-11.58%,-17.02%,3.24%,15.37%,-17.21%,-20.59%,-8.04%,-2.18%,12.62%
Common Stock,"9,407","9,340","8,904","7,461","5,749","2,996","2,077",-568,"-3,712","-4,688"
Retained Earnings,"1,079","3,293","5,330","6,809","8,986","12,117","10,621","14,245","16,716","18,662"
Comprehensive Income,-8,-29,-38,-36,-57,-25,3,-22,-131,-71
Shareholders' Equity,"10,478","12,604","14,196","14,234","14,678","15,088","12,701","13,655","12,873","13,903"
Net Cash / Debt,"-15,632","-11,954","-10,826","-9,197","-14,600","-7,719","-4,251","-6,170","-3,897","-1,723"
Book Value Per Share,12.57,15.12,17.20,18.19,20.42,23.35,21.76,24.95,28.57,33.60
