,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"1,346","2,224","2,734","4,755","7,177","15,462","26,462","24,922","18,625","12,450","11,010"
Market Cap Growth,-,65.27%,22.95%,73.90%,50.93%,115.43%,71.15%,-5.82%,-25.27%,-33.15%,-
Enterprise Value,"1,347","2,199","2,704","4,744","7,166","15,361","26,341","24,673","18,253","12,156","10,716"
PE Ratio,237.65,106.19,38.83,38.51,52.36,85.62,184.47,127.18,66.19,36.53,32.45
PS Ratio,8.92,9.90,8.31,10.98,12.67,20.96,31.45,23.61,13.54,7.35,6.50
PB Ratio,18.15,22.62,23.47,16.91,21.44,29.36,40.36,27.89,15.75,9.56,8.45
P/FCF Ratio,166.83,84.17,49.44,67.20,57.46,117.73,198.81,125.44,80.13,42.56,37.63
P/OCF Ratio,60.25,51.76,27.67,36.54,38.83,68.94,116.47,78.04,51.01,25.67,22.70
EV/Sales Ratio,8.93,9.79,8.22,10.96,12.65,20.82,31.31,23.38,13.27,7.18,6.33
EV/EBITDA Ratio,66.57,49.56,23.38,32.05,34.93,57.05,110.06,76.34,37.65,20.66,18.22
EV/EBIT Ratio,103.02,62.92,26.50,36.88,40.84,67.66,141.66,96.39,46.55,25.63,22.59
EV/FCF Ratio,167.01,83.23,48.89,67.05,57.37,116.96,197.90,124.19,78.53,41.55,36.63
Debt / Equity Ratio,0.36,0.26,0.26,0.13,0.10,0.06,0.05,0.03,0.02,-,-
Debt / EBITDA Ratio,1.33,0.58,0.26,0.24,0.17,0.12,0.13,0.09,0.06,-,-
Debt / FCF Ratio,3.34,0.97,0.54,0.50,0.28,0.25,0.23,0.15,0.12,-,-
Quick Ratio,0.04,0.07,0.07,0.04,0.05,0.08,0.09,0.14,0.18,0.12,0.12
Current Ratio,1.02,1.05,1.03,1.03,1.03,1.07,1.09,1.13,1.16,1.11,1.11
Asset Turnover,0.26,0.29,0.29,0.36,0.38,0.37,0.36,0.30,0.31,0.42,0.42
Interest Coverage,3.82,24.49,98.50,141.21,229.08,241.52,9787.11,-,154.62,246.15,246.15
Return on Equity (ROE),10.40%,23.50%,56.90%,67.70%,40.40%,39.40%,23.20%,24.10%,26.40%,24.90%,24.90%
Return on Assets (ROA),1.00%,2.70%,6.30%,10.10%,9.10%,9.10%,6.20%,5.60%,6.40%,8.40%,8.40%
Return on Capital (ROIC),9.11%,17.34%,48.46%,39.61%,36.92%,32.31%,20.92%,21.04%,22.57%,24.99%,24.99%
Earnings Yield,0.42%,0.94%,2.58%,2.60%,1.91%,1.17%,0.54%,0.79%,1.51%,2.74%,3.10%
FCF Yield,0.60%,1.19%,2.02%,1.49%,1.74%,0.85%,0.50%,0.80%,1.25%,2.35%,2.66%
Dividend Yield,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.50%,0.79%
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.00%,25.51%
Buyback Yield / Dilution,-7.90%,-11.69%,-1.81%,0.30%,0.35%,0.32%,0.19%,0.16%,0.03%,0.35%,0.35%
Total Shareholder Return,-7.90%,-11.69%,-1.81%,0.30%,0.35%,0.32%,0.19%,0.16%,0.03%,0.85%,1.13%
