,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Net Income,5.66,20.95,70.42,123.49,137.07,180.58,143.45,195.96,281.39,340.79
Depreciation & Amortization,7.16,9.42,13.63,19.4,29.66,42.21,53.37,67.22,92.7,113.95
Share-Based Compensation,0.71,3.22,20.72,36.08,36.58,47.27,90.11,97.51,94.9,129.81
Other Operating Activities,8.8,9.39,-5.96,-48.81,-18.48,-45.79,-59.73,-41.33,-103.88,-99.51
Operating Cash Flow,22.34,42.97,98.82,130.15,184.82,224.26,227.21,319.36,365.1,485.04
Operating Cash Flow Growth,31.52%,92.38%,129.96%,31.71%,42.00%,21.34%,1.31%,40.56%,14.32%,32.85%
Capital Expenditures,-14.27,-16.55,-43.51,-59.39,-59.91,-92.93,-94.1,-120.69,-132.68,-192.47
Change in Investments,0,0,-97.66,74.97,10.49,-126.61,-23.78,-131.48,113.51,0
Other Investing Activities,-204.78,-35.78,-63.75,-,-,-,-,-5.5,-4.12,-4.24
Investing Cash Flow,-219.05,-52.32,-204.92,15.58,-49.42,-219.55,-117.88,-257.67,-23.29,-196.71
Dividends Paid,0,0,0,0,0,0,0,0,0,-64.84
Share Issuance / Repurchase,62.84,0,-35.56,-56.88,-105.19,0,-52.04,0,-94.65,-286.62
Debt Issued / Paid,-59.12,-1.22,3.96,4.44,-0.95,-1.79,-1.78,-1.78,-6.72,-29.65
Other Financing Activities,204.78,36.15,147.15,198.11,-141.66,652.46,-112.09,167.5,355.96,106.44
Financing Cash Flow,208.5,34.92,115.54,145.67,-247.8,650.67,-165.91,165.72,254.59,-274.66
Net Cash Flow,11.78,25.57,9.44,291.4,-112.4,655.39,-56.58,227.42,596.4,13.67
Free Cash Flow,8.07,26.42,55.31,70.76,124.91,131.33,133.11,198.67,232.43,292.57
Free Cash Flow Growth,12122.73%,227.54%,109.32%,27.94%,76.53%,5.14%,1.35%,49.26%,16.99%,25.88%
Free Cash Flow Margin,5.34%,11.76%,16.80%,16.34%,22.06%,17.80%,15.82%,18.82%,16.90%,17.27%
Free Cash Flow Per Share,0.16,0.47,0.96,1.22,2.16,2.28,2.31,3.43,4.01,5.07
