,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"9,451","9,979","11,324","13,309","13,444","9,206","3,465","11,896","7,761","9,921","10,530"
Market Cap Growth,-41.09%,5.60%,13.47%,17.52%,1.02%,-31.52%,-62.36%,243.32%,-34.76%,27.84%,-
Enterprise Value,"8,723","9,344","10,881","11,805","13,795","9,575","6,527","13,316","10,069","12,471","12,408"
PE Ratio,12.10,24.80,24.59,22.52,33.82,14.31,-5.31,14.26,9.06,10.60,11.59
PS Ratio,1.97,2.38,2.52,2.97,2.29,1.53,0.70,2.07,1.16,1.49,1.57
PB Ratio,3.90,4.01,4.22,4.43,4.14,2.62,1.52,3.65,3.40,4.36,3.96
P/FCF Ratio,12.34,13.52,31.26,19.10,18.41,17.77,17.19,9.66,10.22,12.54,8.13
P/OCF Ratio,9.59,10.65,14.93,15.59,13.48,11.62,8.51,8.99,9.10,10.17,7.44
EV/Sales Ratio,1.81,2.23,2.42,2.63,2.35,1.59,1.32,2.32,1.51,1.87,1.84
EV/EBITDA Ratio,6.66,11.54,12.59,11.80,14.82,8.85,-20.67,11.21,7.74,9.22,8.95
EV/EBIT Ratio,7.79,15.12,16.65,14.99,20.56,11.76,-11.57,13.75,9.11,10.65,10.28
EV/FCF Ratio,11.39,12.66,30.04,16.94,18.89,18.48,32.37,10.81,13.26,15.77,9.58
Debt / Equity Ratio,0.06,0.36,0.33,0.53,0.49,0.46,1.97,1.05,1.43,1.45,3.51
Debt / EBITDA Ratio,0.11,1.10,1.01,1.58,1.72,1.48,-14.21,2.89,2.51,2.43,6.74
Debt / FCF Ratio,0.18,1.21,2.42,2.27,2.19,3.09,22.26,2.79,4.30,4.16,7.21
Quick Ratio,1.31,2.09,1.89,4.45,1.67,1.67,0.93,1.55,0.82,0.74,5.32
Current Ratio,2.28,3.00,2.63,5.24,2.59,2.79,1.47,2.37,1.75,1.84,6.25
Asset Turnover,1.35,1.02,0.96,0.91,0.83,0.87,0.61,0.70,0.88,0.94,0.77
Interest Coverage,-,96.56,24.29,27.73,9.06,17.00,-9.39,13.57,18.84,42.42,16.13
Return on Equity (ROE),32.50%,16.10%,17.80%,20.70%,13.00%,18.60%,-23.20%,28.50%,31.40%,41.10%,38.60%
Return on Assets (ROA),21.90%,9.80%,9.80%,12.00%,5.60%,9.30%,-7.90%,10.20%,11.20%,13.20%,10.60%
Return on Capital (ROIC),30.45%,12.03%,13.49%,13.38%,9.24%,13.45%,-8.14%,13.44%,17.34%,17.24%,8.21%
Earnings Yield,8.27%,4.03%,4.07%,4.44%,2.96%,6.99%,-18.82%,7.01%,11.03%,9.43%,8.81%
FCF Yield,8.10%,7.40%,3.20%,5.23%,5.43%,5.63%,5.82%,10.35%,9.78%,7.97%,12.30%
Dividend Yield,3.90%,3.70%,3.30%,2.90%,2.90%,4.30%,8.10%,0.00%,3.20%,2.80%,3.05%
Payout Ratio,48.00%,92.50%,81.40%,64.00%,97.30%,60.80%,-43.30%,0.00%,30.90%,30.30%,35.35%
Buyback Yield / Dilution,2.06%,1.14%,-0.76%,-1.25%,-2.05%,-0.76%,4.20%,-1.58%,4.56%,10.66%,4.77%
Total Shareholder Return,5.96%,4.84%,2.54%,1.65%,0.85%,3.54%,12.30%,-1.58%,7.76%,13.46%,7.82%
