,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"24,065","23,507","22,890","29,352","30,640","31,145","31,476","47,248","35,297","38,781","43,973"
Market Cap Growth,11.99%,-2.32%,-2.62%,28.23%,4.39%,1.65%,1.06%,50.11%,-25.29%,9.87%,-
Enterprise Value,"25,466","24,062","26,313","32,478","33,792","34,183","34,677","50,137","38,415","41,331","47,001"
PE Ratio,13.51,9.71,11.39,17.44,11.95,16.89,-130.60,20.90,14.54,20.30,13.50
PS Ratio,2.01,1.92,2.02,2.41,2.19,2.32,2.59,3.17,2.17,2.42,2.74
PB Ratio,2.67,2.45,2.70,3.01,2.83,2.95,3.36,4.44,3.27,3.36,3.35
P/FCF Ratio,15.26,17.45,16.93,17.67,19.91,18.15,21.72,22.80,19.54,16.13,17.08
P/OCF Ratio,11.55,12.18,11.76,12.65,12.50,12.86,15.80,17.66,14.30,12.38,13.45
EV/Sales Ratio,2.13,1.97,2.32,2.67,2.42,2.54,2.85,3.36,2.36,2.58,2.93
EV/EBITDA Ratio,9.78,6.86,14.07,12.47,11.28,13.21,26.65,15.62,10.72,13.13,13.96
EV/EBIT Ratio,12.40,8.32,20.09,16.30,14.52,18.02,58.77,20.55,13.72,17.56,18.32
EV/FCF Ratio,16.15,17.86,19.46,19.55,21.96,19.92,23.93,24.20,21.27,17.19,18.25
Debt / Equity Ratio,0.43,0.41,0.48,0.45,0.37,0.38,0.44,0.38,0.39,0.36,0.32
Debt / EBITDA Ratio,1.48,1.11,2.18,1.67,1.34,1.53,3.19,1.28,1.17,1.34,1.25
Debt / FCF Ratio,2.45,2.88,3.01,2.62,2.60,2.31,2.86,1.97,2.33,1.75,1.63
Quick Ratio,1.39,1.79,0.88,0.87,0.73,0.92,0.90,0.89,0.85,1.04,1.00
Current Ratio,2.22,2.21,1.56,1.54,1.41,1.57,1.57,1.56,1.57,1.77,1.86
Asset Turnover,0.63,0.60,0.63,0.66,0.72,0.69,0.63,0.71,0.77,0.74,0.73
Interest Coverage,16.17,21.27,10.31,15.33,21.76,27.90,12.29,43.57,42.42,29.43,33.31
Return on Equity (ROE),20.40%,26.30%,24.60%,18.50%,26.00%,17.80%,-2.50%,22.50%,22.70%,16.90%,28.20%
Return on Assets (ROA),9.40%,11.90%,11.10%,9.10%,13.20%,9.50%,-1.20%,10.80%,11.40%,8.90%,15.10%
Return on Capital (ROIC),12.97%,11.40%,24.46%,12.02%,18.15%,13.72%,-1.76%,15.68%,16.31%,12.28%,19.22%
Earnings Yield,7.40%,10.29%,8.78%,5.73%,8.37%,5.92%,-0.77%,4.79%,6.88%,4.93%,7.54%
FCF Yield,6.55%,5.73%,5.91%,5.66%,5.02%,5.51%,4.60%,4.39%,5.12%,6.20%,5.86%
Dividend Yield,13.70%,2.10%,2.20%,1.90%,1.90%,1.90%,2.00%,1.40%,1.90%,1.90%,1.66%
Payout Ratio,186.20%,20.70%,25.50%,32.50%,22.90%,33.00%,-257.50%,28.60%,28.20%,38.00%,22.37%
Buyback Yield / Dilution,1.42%,1.44%,10.22%,2.98%,1.40%,3.68%,2.35%,-0.30%,2.40%,2.46%,1.88%
Total Shareholder Return,15.12%,3.54%,12.42%,4.88%,3.30%,5.58%,4.35%,1.10%,4.30%,4.36%,3.54%
